Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x6][0xc],3 [0x3][0x12],4 [0x3][0x13],5 [0x19][0x16],6 [0x3][0x14],7 [0x7][0x8],8 [0x4][0x10],9 [0x3][0x15]
0,"","",0,0,0,false,0,0,0,0
1,"ＶＩＴアップ","ＶＩＴが2上昇する。",5130,1,8,false,0,0,2,38
2,"ランパート効果アップ","ランパートの被ダメージ軽減効果を20％に上昇する。",5201,1,14,false,0,0,0,38
3,"ＶＩＴアップII","ＶＩＴが4上昇する。",5131,1,16,false,0,0,4,38
4,"アウェアネス効果時間延長","アウェアネスの効果時間を25秒に延長する。",5208,1,44,false,0,0,0,38
5,"ＶＩＴアップIII","ＶＩＴが6上昇する。",5132,1,24,false,0,0,6,38
6,"フラッシュ効果アップ","フラッシュに<color #FF7B1A>「暗闇」</color>の効果を追加する。　効果時間：12秒",5203,1,20,false,0,0,0,38
7,"コンバレセンス効果アップ","コンバレセンスの被ヒール量上昇効果を30％に上昇する。",5206,1,32,false,0,0,0,38
8,"センチネル効果アップ","センチネルの被ダメージ軽減効果を40％に上昇する。",5202,1,48,false,0,0,0,38
9,"レイジ・オブ・ハルオーネ効果アップ","レイジ・オブ・ハルオーネのＳＴＲ減少効果を10％に上昇する。",5207,1,40,false,0,0,0,38
10,"シールドバッシュ効果時間延長","シールドバッシュの効果時間を6秒に延長する。",5204,1,36,false,0,0,0,38
11,"ファイト・オア・フライト効果時間延長","ファイト・オア・フライトの効果時間を30秒に延長する。",5205,1,28,false,0,0,0,38
12,"ＶＩＴアップ","ＶＩＴが2上昇する。",5130,3,8,false,0,0,2,44
13,"ＶＩＴアップII","ＶＩＴが4上昇する。",5131,3,16,false,0,0,4,44
14,"ブラッドバス効果時間延長","ブラッドバスの効果時間を30秒に延長する。",5252,3,20,false,0,0,0,44
15,"フォーサイトリキャストタイム短縮","フォーサイトのリキャストタイムを90秒に短縮する。",5251,3,14,false,0,0,0,44
16,"ＶＩＴアップIII","ＶＩＴが6上昇する。",5132,3,24,false,0,0,6,44
17,"メイム効果時間延長","メイムの効果時間を24秒に延長する。",5254,3,48,false,0,0,0,44
18,"バーサク効果時間延長","バーサクの効果時間を20秒に延長する。",5253,3,36,false,0,0,0,44
19,"ブルータルスウィング効果時間延長","ブルータルスウィングの効果時間を5秒に延長する。",5255,3,32,false,0,0,0,44
20,"マーシーストロークリキャストタイム短縮","マーシーストロークのリキャストタイムを40秒に短縮する。",5257,3,40,false,0,0,0,44
