Index,0 [0x0][0x0],1 [0x3][0x4],2 [0x19][0x5],3 [0x1a][0x5]
0,"",0,true,false
1,"全般",1,true,false
2,"ダンジョン",1,true,false
3,"討伐・討滅戦",1,true,false
4,"レイド",1,true,false
5,"コロセウム",1,true,false
6,"フロントライン",1,true,false
7,"モブハント",1,true,false
8,"トレジャーハント",1,true,false
9,"全般",2,true,false
10,"ファイター",2,true,false
11,"ソーサラー",2,true,false
12,"クラフター",2,true,false
13,"ギャザラー",2,true,false
14,"PvP",2,true,false
15,"MIP",2,true,false
16,"ゴールドソーサー",2,true,false
17,"全般",4,true,false
18,"通貨",4,true,false
19,"分解",4,true,false
20,"蒐集品",4,true,false
21,"マテリア",4,true,false
22,"木工師",5,true,false
23,"鍛冶師",5,true,false
24,"甲冑師",5,true,false
25,"彫金師",5,true,false
26,"革細工師",5,true,false
27,"裁縫師",5,true,false
28,"錬金術師",5,true,false
29,"調理師",5,true,false
30,"採掘師",6,true,false
31,"園芸師",6,true,false
32,"漁師",6,true,false
33,"全般",8,true,false
34,"リーヴ",8,true,false
35,"蛮族クエスト",8,true,false
36,"シーズナルイベント",8,true,true
37,"ラノシア",11,true,false
38,"黒衣森",11,true,false
39,"ザナラーン",11,true,false
40,"クルザス",11,true,false
41,"モードゥナ",11,true,false
42,"アバラシア",11,true,false
43,"ドラヴァニア",11,true,false
44,"全般",12,true,false
45,"黒渦団",12,true,false
46,"双蛇党",12,true,false
47,"不滅隊",12,true,false
48,"バトル",13,true,false
49,"通貨",13,true,false
50,"採集",13,true,false
51,"クエスト",13,true,false
52,"シーズナルイベント",13,true,false
53,"ダンジョン",13,true,false
54,"探検",13,true,false
55,"グランドカンパニー",13,true,false
56,"",0,true,false
57,"",0,true,false
58,"",0,true,false
59,"",0,true,false
60,"",0,true,false
61,"",0,true,false
62,"",0,true,false
63,"",0,true,false
64,"",0,true,false
65,"",0,true,false
66,"",0,true,false
