Index,0 [0x5][0x10],1 [0x3][0x16],2 [0x7][0x0],3 [0x7][0x4],4 [0x7][0x8],5 [0x7][0xc],6 [0x5][0x12],7 [0x5][0x14]
0,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
2,80,1,0,0,0,0,0,10
3,0,2,65983,66213,0,0,0,0
4,0,1,0,0,0,0,0,10
5,0,1,0,0,0,0,2,0
6,40,1,0,0,0,0,0,12
7,0,1,0,0,0,0,0,0
8,0,1,66087,0,0,0,0,0
9,120,2,66043,66064,66082,0,0,0
10,80,2,66043,66064,66082,0,0,0
11,40,1,0,0,0,0,0,15
12,40,1,0,0,0,0,0,30
13,40,1,0,0,0,0,0,0
14,40,1,0,0,0,0,0,15
15,0,1,66338,0,0,0,0,0
16,40,1,0,0,0,0,0,0
17,0,1,0,0,0,0,0,0
18,0,1,0,0,0,0,0,0
19,0,1,65985,0,0,0,0,0
20,0,1,66081,0,0,0,0,0
21,0,1,66045,0,0,65879,0,0
22,40,1,66498,0,0,0,0,0
23,40,1,0,0,0,0,0,0
24,0,1,66748,0,0,0,0,0
25,0,1,66750,0,0,0,0,0
26,0,1,66749,0,0,0,0,0
27,0,1,65638,0,0,0,0,0
28,0,1,65748,0,0,0,0,0
29,0,1,65970,0,0,0,0,0
30,120,1,0,0,0,0,0,0
31,0,1,67670,0,0,0,0,0
