Index,0 [0x0][0x0],1 [0x2][0x14],2 [0x0][0x4],3 [0x2][0x15],4 [0x2][0x16],5 [0x2][0x17],6 [0x2][0x18],7 [0x2][0x19],8 [0x0][0x8],9 [0x0][0xc],10 [0x0][0x10],11 [0x6][0x58],12 [0x5][0x6c],13 [0x3][0x78],14 [0x3][0x79],15 [0x3][0x7a],16 [0x5][0x6e],17 [0x5][0x70],18 [0x9][0x28],19 [0x9][0x40],20 [0x9][0x2c],21 [0x9][0x44],22 [0x9][0x30],23 [0x9][0x48],24 [0x9][0x34],25 [0x9][0x4c],26 [0x9][0x38],27 [0x9][0x50],28 [0x9][0x3c],29 [0x9][0x54],30 [0x5][0x72],31 [0x0][0x1c],32 [0x0][0x20],33 [0x0][0x24],34 [0x3][0x7b],35 [0x3][0x7c],36 [0x19][0x83],37 [0x6][0x5c],38 [0x6][0x60],39 [0x6][0x64],40 [0x6][0x68],41 [0x2][0x82],42 [0x5][0x74],43 [0x3][0x7d],44 [0x3][0x7e],45 [0x3][0x7f],46 [0x3][0x80],47 [0x3][0x81],48 [0x5][0x76],49 [0x1a][0x83],50 [0x1b][0x83],51 [0x1c][0x83]
0,"",0,"",0,0,1,0,0,"","","",0,0,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,"","","",10,10,true,0,0,0,0,-1,0,0,100,0,0,0,0,false,false,false
1,"マイチョコボ",0,"",0,0,1,0,0,"マイチョコボに騎乗する。\nグランドカンパニーから支給された軍用チョコボ","イシュガルド産の軍用チョコボ。一般的なラウンシー種だけでなく、ルガディン族の騎乗にも堪えられる大柄のデストリア種や、ララフェル族用に品種改良されたベラフディアン・ジェニット種などが存在する","クエーッ！",1,2,2,45,15,374,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,true,65536,65536,65537,0,0,4401,1,100,0,0,0,0,false,false,false
2,"",0,"",0,0,1,0,0,"","","",1,3,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,61,"","","SE_Bt_Etc_ChocoboBye",20,20,true,65537,65537,65537,65537,-1,0,0,100,0,0,0,0,false,false,false
3,"",0,"",0,0,1,0,0,"","","",1,3,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,61,"","","SE_Bt_Etc_ChocoboBye",2,9,true,65552,65552,65537,0,-1,0,0,100,0,0,0,0,false,false,false
4,"グゥーブー",0,"",0,0,1,0,0,"グゥーブーに騎乗する。\n不思議なホルンによって呼び出されるグゥーブー","異邦の詩人が冒険者に感謝の印として贈った「魔法の角笛」によって、呼び寄せることができるグゥーブー。本来、温厚ではない獣だが、詩人が紡ぐ詩を気に入ったらしく、エオルゼアに迷い込んだ彼と共に旅を続けていた","ンゴォォォ",200,4,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,true,0,1,0,0,1,4403,4,100,0,0,0,1,false,true,false
5,"レガシーチョコボ",0,"",0,0,1,0,0,"レガシーチョコボに騎乗する。\n時を越えて巡り会った名チョコボ","賢者ルイゾワの秘術によって、次元の狭間へと送られていた冒険者が、5年の時を越えて巡り会った名チョコボ。長らく主なしで放浪の旅を続けていたらしく、たくましさと独特の風格を兼ね備えている","クエーッ！！",1,2,2,45,15,374,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,true,65545,65545,65545,65545,2,4402,1,100,0,0,0,0,false,false,false
6,"魔導アーマー",0,"",0,0,1,0,0,"魔導アーマーに騎乗する。\nシドが改良したガーロンド・アイアンワークスカスタム","ガレマール帝国軍が制式採用している騎乗型魔導アーマー「リーパー」。これを鹵獲したシドたちが、魔法人形のコアを制御装置として組み込むなど改造を施し、ガーロンド・アイアンワークスカスタムとして新生させた","ウィーン、ガシャン！",2,2,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,262,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,true,0,131073,0,0,3,4406,3,77,0,0,0,2,false,true,false
7,"",0,"",0,0,1,0,0,"","","",311,5,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"","","",0,0,true,0,1,0,0,-1,0,0,100,0,0,0,0,false,false,false
8,"クァール",0,"",0,0,1,0,0,"クァールに騎乗する。\n訓練された若く俊敏なクァール","若く俊敏なクァール。野生のクァールは非常に獰猛な魔獣として知られる存在だが、原産地である近東では独自の調教法が確立されているという。この個体は、サベネア島で騎獣として訓練されたものらしい","グルルルル…",70,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.1,0.82,121,"SE_Bt_Etc_CuahrWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_CuahrBye",20,10,true,0,1,0,0,4,4405,5,60,0,0,0,0,false,false,false
9,"アーリマン",0,"",0,0,1,0,0,"アーリマンに騎乗する。\n魔法によって操ることを可能にした妖異アーリマン","単眼有翼の魔物。妖異学者が分類するところによると、妖異十二階位の第五位に位置する中位の妖異らしい。動物の眼を依代に異界から召喚したものを、強力な呪術によって縛り付けることで、操ることを可能にしている","ギロリ！",167,2,0,45,15,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,121,"SE_Bt_Etc_AhrimanWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_AhrimanBye",20,10,true,0,1,0,0,5,4404,6,100,0,0,0,0,true,false,false
