Index,0 [0x3][0xc],1 [0x5][0x8],2 [0x5][0xa],3 [0x3][0xd],4 [0x3][0xe],5 [0x3][0xf],6 [0x0][0x0],7 [0x0][0x4]
0,0,65535,65535,0,0,0,"None",""
1,10,65535,65535,1,1,1,"Say","Squall Leonhart : こんにちは！"
2,11,65535,65535,1,3,1,"Shout","Butz Klauser : こんにちは！"
3,12,65535,65535,1,4,1,"Tell",">> Cloud Strife : こんにちは！\nTifa Lockhart >> こんにちは！"
4,14,65535,65535,1,5,1,"Party","(Cecil Harvey) こんにちは！"
5,29,65535,65535,1,16,1,"感情表現/エモート","Rinoa Heartillyはアピールしてみせた。"
6,28,65535,65535,1,17,1,"オリジナルの感情表現","Celes Chereは自分の顔をバシッとたたいた。"
7,24,65535,65535,1,7,1,"フリーカンパニー","[FC]<Tina Branford> こんにちは！"
8,16,65535,65535,1,8,1,"Linkshell[1]","[1]<Rosa Farrell> こんにちは！"
9,17,65535,65535,1,9,1,"Linkshell[2]","[2]<Kain Highwind> こんにちは！"
10,18,65535,65535,1,10,1,"Linkshell[3]","[3]<Lenna Tycoon> こんにちは！"
11,19,65535,65535,1,11,1,"Linkshell[4]","[4]<Faris Scherwiz> こんにちは！"
12,20,65535,65535,1,12,1,"Linkshell[5]","[5]<Vivi Ornitier> こんにちは！"
13,21,65535,65535,1,13,1,"Linkshell[6]","[6]<Serah Farron> こんにちは！"
14,22,65535,65535,1,14,1,"Linkshell[7]","[7]<Semih Lafihna> こんにちは！"
15,23,65535,65535,1,15,1,"Linkshell[8]","[8]<Nanaa Mihgo> こんにちは！"
16,30,65535,65535,1,2,1,"Yell","Lock Cole : こんにちは！"
17,15,65535,65535,1,6,1,"アライアンス","((Snow Villiers)) こんにちは！"
18,0,0,0,0,0,0,"",""
19,0,0,0,0,0,0,"",""
20,0,0,0,0,0,0,"",""
21,57,65535,65535,2,1,1,"システムメッセージ","Playerをパーティに誘いました。"
22,0,0,0,0,0,0,"",""
23,59,65535,65535,2,4,1,"採集に関するシステムメッセージ","この地域に採掘場、岩場は存在しないようだ。"
24,60,65535,65535,2,5,1,"エラーメッセージ","PlayerへのTellの送信に失敗しました。"
25,56,65535,65535,2,6,1,"/echoで出力するテキスト","エコー"
26,61,65535,65535,2,10,4,"NPC会話","NPC SAMPLE : こんにちは！"
27,62,65535,65535,2,12,1,"戦利品の通知","Playerは「＜アイテム＞」を手に入れた。"
28,64,258,65535,2,13,1,"自分の成長/修得情報","レベルアップ！ Playerは、レベル50になった。"
29,64,2289,65535,2,15,1,"他人の成長/修得情報","レベルアップ！ Other Playerは、レベル50になった。"
30,65,2,65535,2,16,1,"自分のロットイン情報","Playerは「＜アイテム＞」にNEEDのダイスで50を出した。"
31,65,65532,65535,2,17,1,"他人のロットイン情報","Other Playerは「＜アイテム＞」にNEEDのダイスで50を出した。"
32,66,2,65535,2,18,1,"自分の製作過程/結果","Playerは「＜アイテム＞」を完成させた！"
33,66,28,65535,2,19,1,"他人の製作結果","Other Playerは「＜アイテム＞」を完成させた！"
34,0,0,0,0,0,0,"",""
35,67,3,65535,2,20,1,"自分の採集過程/結果","Playerは採掘を開始した。"
36,67,252,65535,2,21,0,"他人の釣果","Other Playerは<color #F3F3F3>ロミンサンアンチョビ</color>（3.3イルム）を釣り上げた。"
37,58,1806,65535,2,2,2,"自分の戦闘に関するシステムメッセージ","Playerは、Enemyを倒した。"
38,58,2065,65535,2,3,0,"他人の戦闘に関するシステムメッセージ","Other Playerは、Enemyを倒した。"
39,68,65535,65535,2,11,1,"NPC会話（アナウンス）","NPC SAMPLE : こんにちは！"
40,69,65535,65535,2,7,1,"フリーカンパニーアナウンス","FreeCompany - 階級の序列を変更しました。"
41,70,65535,65535,2,8,1,"フリーカンパニーメンバーのログイン通知","FreeCompany - Playerがログインしました。"
42,64,1548,65535,2,14,1,"パーティの成長/修得情報","レベルアップ！ Party Memberは、レベル50になった。"
43,71,65535,65535,2,9,1,"マーケットの売上メッセージ","グリダニアマーケットに100ギルで出品した＜アイテム＞が売れ、95ギルを入手しました。"
44,72,65535,65535,2,22,1,"パーティ募集の新着情報","現在パーティ募集は12件、うち検索条件に見合った募集が3件あります。"
45,73,65535,65535,2,23,1,"マーカー設定情報","PlayerがPlayerに『汎用マル』を設定しました。"
46,74,65535,65535,2,24,1,"ダイスメッセージ","ダイス！ Playerは、<icon:74>999を出した！"
47,0,0,0,0,0,0,"",""
48,0,0,0,0,0,0,"",""
49,0,0,0,0,0,0,"",""
50,0,0,0,0,0,0,"",""
51,41,2,65535,4,1,2,"自分がダメージを与えた","Playerの攻撃  Enemyに123ダメージ。"
52,42,2,65535,4,2,2,"自分が攻撃に失敗した","Playerの攻撃  Enemyにミス！"
53,43,2,65535,4,3,2,"自分からのアクションの開始/中断","Playerは「＜アクション＞」を唱えた。\nPlayerは「＜アクション＞」の詠唱を中断した。"
54,44,2,65535,4,4,2,"自分からのアイテムの使用/中断","Playerは「＜アイテム＞」を使用した。\nPlayerは「＜アイテム＞」の使用を中断した。"
55,45,2,65535,4,5,2,"自分が回復を与えた"," Party Memberは123HP回復。"
56,46,2,65535,4,6,2,"自分がバフステータスを与えた"," Party Memberは「＜バフステータス＞」の効果。"
57,47,2,65535,4,7,2,"自分がデバフステータスを与えた"," Enemyは「＜デバフステータス＞」の効果。"
58,41,65535,2,4,8,2,"自分がダメージを受けた","Enemyの攻撃  Playerに123ダメージ。"
59,42,65535,2,4,9,2,"自分が攻撃を回避した","Enemyの攻撃  Playerにミス！"
60,43,65535,2,4,10,2,"自分へのアクションの開始/中断","Playerは「＜アクション＞」を唱えた。\nPlayerは「＜アクション＞」の詠唱を中断した。"
61,44,65535,2,4,11,2,"自分へのアイテムの使用/中断","Playerは「＜アイテム＞」を使用した。\nPlayerは「＜アイテム＞」の使用を中断した。"
62,45,65535,2,4,12,2,"自分が回復を受けた"," Playerは123HP回復。"
63,46,65535,2,4,13,2,"自分がバフステータスを受けた"," Playerは「＜バフステータス＞」の効果。"
64,47,65535,2,4,14,2,"自分がデバフステータスを受けた"," Playerは「＜デバフステータス＞」の効果。"
65,48,65535,2,4,15,2,"自分のバフステータスが切れた","Playerの「＜バフステータス＞」が切れた。"
66,49,65535,2,4,16,2,"自分のデバフステータスが切れた","Playerの「＜デバフステータス＞」が切れた。"
67,0,0,0,0,0,0,"",""
68,0,0,0,0,0,0,"",""
69,0,0,0,0,0,0,"",""
70,0,0,0,0,0,0,"",""
71,41,4,65535,5,1,2,"パーティがダメージを与えた","Party Memberの攻撃  Enemyに123ダメージ。"
72,42,4,65535,5,2,2,"パーティが攻撃に失敗した","Party Memberの攻撃  Enemyにミス！"
73,43,4,65535,5,3,2,"パーティからのアクションの開始/中断","Party Memberは「＜アクション＞」を唱えた。\nParty Memberは「＜アクション＞」の詠唱を中断した。"
74,44,4,65535,5,4,2,"パーティからのアイテムの使用/中断","Party Memberは「＜アイテム＞」を使用した。\nParty Memberは「＜アイテム＞」の使用を中断した。"
75,45,4,65535,5,5,2,"パーティが回復を与えた"," Playerは123HP回復。"
76,46,4,65535,5,6,2,"パーティがバフステータスを与えた"," Playerは「＜バフステータス＞」の効果。"
77,47,4,65535,5,7,2,"パーティがデバフステータスを与えた"," Enemyは「＜デバフステータス＞」の効果。"
78,41,65535,4,5,8,2,"パーティがダメージを受けた","Enemyの攻撃  Party Memberに123ダメージ。"
79,42,65535,4,5,9,2,"パーティが攻撃を回避した","Enemyの攻撃  Party Memberにミス！"
80,43,65535,4,5,10,2,"パーティへのアクションの開始/中断","Party Memberは「＜アクション＞」を唱えた。\nParty Memberは「＜アクション＞」の詠唱を中断した。"
81,44,65535,4,5,11,2,"パーティへのアイテムの使用/中断","Party Memberは「＜アイテム＞」を使用した。\nParty Memberは「＜アイテム＞」の使用を中断した。"
82,45,65535,4,5,12,2,"パーティが回復を受けた"," Party Memberは123HP回復。"
83,46,65535,4,5,13,2,"パーティがバフステータスを受けた"," Party Memberは「＜バフステータス＞」の効果。"
84,47,65535,4,5,14,2,"パーティがデバフステータスを受けた"," Party Memberは「＜デバフステータス＞」の効果。"
85,48,65535,4,5,15,2,"パーティのバフステータスが切れた","Party Memberの「＜バフステータス＞」が切れた。"
86,49,65535,4,5,16,2,"パーティのデバフステータスが切れた","Party Memberの「＜デバフステータス＞」が切れた。"
