Index,0 [0x5][0x8],1 [0x5][0xa],2 [0x5][0xc],3 [0x5][0xe],4 [0x3][0x10],5 [0x3][0x11],6 [0x3][0x12],7 [0x3][0x13],8 [0x7][0x4],9 [0x0][0x0]
10001,1,0,0,0,3,0,0,0,75,"剣術士01"
10002,206,0,0,0,3,0,0,0,180,"剣術士02"
10003,208,0,0,0,3,0,0,0,360,"剣術士03"
10004,209,0,0,0,3,0,0,0,410,"剣術士04"
10005,211,0,0,0,3,0,0,0,530,"剣術士05"
10006,213,0,0,0,3,0,0,0,980,"剣術士06"
10007,210,0,0,0,3,0,0,0,1100,"剣術士07"
10008,217,0,0,0,3,0,0,0,1300,"剣術士08"
10009,220,0,0,0,3,0,0,0,1600,"剣術士09"
10010,223,224,0,0,3,3,0,0,1700,"剣術士10"
10011,228,229,0,0,3,3,0,0,2300,"剣術士11"
10012,227,0,0,0,3,0,0,0,3200,"剣術士12"
10013,230,0,0,0,3,0,0,0,4000,"剣術士13"
10014,232,0,0,0,3,0,0,0,4500,"剣術士14"
10015,234,0,0,0,3,0,0,0,5000,"剣術士15"
10016,235,0,0,0,3,0,0,0,5300,"剣術士16"
10017,237,0,0,0,3,0,0,0,5500,"剣術士17"
10018,240,0,0,0,3,0,0,0,5700,"剣術士18"
10019,238,0,0,0,3,0,0,0,5900,"剣術士19"
10020,242,244,0,0,3,3,0,0,6100,"剣術士20"
10021,32,137,0,0,4,3,0,0,6300,"剣術士21"
10022,245,0,0,0,4,0,0,0,6500,"剣術士22"
10023,138,0,0,0,4,0,0,0,6700,"剣術士23"
10024,34,0,0,0,4,0,0,0,6900,"剣術士24"
10025,150,0,0,0,4,0,0,0,7100,"剣術士25"
10026,252,0,0,0,4,0,0,0,7600,"剣術士26"
10027,255,0,0,0,4,0,0,0,8600,"剣術士27"
10028,158,0,0,0,4,0,0,0,9400,"剣術士28"
10029,161,0,0,0,4,0,0,0,9700,"剣術士29"
10030,37,38,0,0,4,3,0,0,10000,"剣術士30"
10031,165,42,0,0,4,3,0,0,11000,"剣術士31"
10032,39,166,0,0,4,3,0,0,12000,"剣術士32"
10033,265,0,0,0,4,0,0,0,12500,"剣術士33"
10034,171,0,0,0,4,0,0,0,13000,"剣術士34"
10035,64,0,0,0,4,0,0,0,13500,"剣術士35"
10036,271,0,0,0,4,0,0,0,14000,"剣術士36"
10037,294,0,0,0,4,0,0,0,14500,"剣術士37"
10038,176,0,0,0,4,0,0,0,15000,"剣術士38"
10039,301,0,0,0,4,0,0,0,16000,"剣術士39"
10040,306,66,0,0,4,3,0,0,16500,"剣術士40"
10041,67,72,0,0,5,2,0,0,17000,"剣術士41"
10042,179,184,0,0,5,2,0,0,17500,"剣術士42"
10043,73,187,0,0,5,2,0,0,18000,"剣術士43"
10044,319,0,0,0,5,0,0,0,18500,"剣術士44"
10045,311,0,0,0,5,0,0,0,19000,"剣術士45"
10046,313,0,0,0,3,0,0,0,19500,"剣術士46"
10047,280,0,0,0,5,0,0,0,20000,"剣術士47"
10048,200,0,0,0,5,0,0,0,20500,"剣術士48"
10049,290,0,0,0,5,0,0,0,21000,"剣術士49"
10050,332,90,0,0,5,5,0,0,21500,"剣術士50"
20001,207,0,0,0,4,0,0,0,75,"格闘士01"
20002,206,0,0,0,4,0,0,0,180,"格闘士02"
20003,208,0,0,0,4,0,0,0,360,"格闘士03"
20004,209,0,0,0,4,0,0,0,410,"格闘士04"
20005,214,0,0,0,4,0,0,0,530,"格闘士05"
20006,9,0,0,0,4,0,0,0,980,"格闘士06"
20007,217,0,0,0,4,0,0,0,1100,"格闘士07"
20008,218,0,0,0,4,0,0,0,1300,"格闘士08"
20009,219,0,0,0,4,0,0,0,1600,"格闘士09"
20010,225,226,222,0,2,2,2,0,1700,"格闘士10"
20011,228,0,0,0,4,0,0,0,2300,"格闘士11"
20012,227,0,0,0,4,0,0,0,3200,"格闘士12"
20013,233,0,0,0,4,0,0,0,4000,"格闘士13"
20014,232,0,0,0,4,0,0,0,4500,"格闘士14"
20015,115,234,235,0,2,2,2,0,5000,"格闘士15"
20016,237,0,0,0,4,0,0,0,5300,"格闘士16"
20017,241,0,0,0,4,0,0,0,5500,"格闘士17"
20018,239,0,0,0,4,0,0,0,5700,"格闘士18"
20019,238,0,0,0,4,0,0,0,5900,"格闘士19"
20020,243,242,244,0,2,2,2,0,6100,"格闘士20"
20021,134,0,0,0,5,0,0,0,6300,"格闘士21"
20022,136,0,0,0,5,0,0,0,6500,"格闘士22"
20023,33,0,0,0,5,0,0,0,6700,"格闘士23"
20024,34,0,0,0,5,0,0,0,6900,"格闘士24"
20025,139,149,258,0,3,3,3,0,7100,"格闘士25"
20026,157,0,0,0,5,0,0,0,7600,"格闘士26"
20027,260,0,0,0,5,0,0,0,8600,"格闘士27"
20028,156,0,0,0,5,0,0,0,9400,"格闘士28"
20029,160,0,0,0,5,0,0,0,9700,"格闘士29"
20030,37,169,167,0,3,3,3,0,10000,"格闘士30"
20031,41,0,0,0,5,0,0,0,11000,"格闘士31"
20032,264,0,0,0,5,0,0,0,12000,"格闘士32"
20033,269,0,0,0,5,0,0,0,12500,"格闘士33"
20034,171,0,0,0,5,0,0,0,13000,"格闘士34"
20035,51,56,58,0,3,3,3,0,13500,"格闘士35"
20036,64,0,0,0,5,0,0,0,14000,"格闘士36"
20037,296,0,0,0,5,0,0,0,14500,"格闘士37"
20038,298,0,0,0,5,0,0,0,15000,"格闘士38"
20039,300,0,0,0,5,0,0,0,16000,"格闘士39"
20040,303,177,178,0,3,3,3,0,16500,"格闘士40"
20041,275,0,0,0,6,0,0,0,17000,"格闘士41"
20042,73,0,0,0,6,0,0,0,17500,"格闘士42"
20043,189,0,0,0,2,0,0,0,18000,"格闘士43"
20044,190,0,0,0,6,0,0,0,18500,"格闘士44"
20045,334,309,317,0,3,3,3,0,19000,"格闘士45"
20046,312,0,0,0,6,0,0,0,19500,"格闘士46"
20047,321,0,0,0,6,0,0,0,20000,"格闘士47"
20048,193,0,0,0,6,0,0,0,20500,"格闘士48"
20049,326,0,0,0,6,0,0,0,21000,"格闘士49"
20050,282,290,88,0,3,3,4,0,21500,"格闘士50"
30001,1,0,0,0,3,0,0,0,75,"斧術士01"
30002,2,0,0,0,3,0,0,0,180,"斧術士02"
30003,3,0,0,0,3,0,0,0,360,"斧術士03"
30004,7,0,0,0,3,0,0,0,410,"斧術士04"
30005,6,0,0,0,3,0,0,0,530,"斧術士05"
30006,8,0,0,0,3,0,0,0,980,"斧術士06"
30007,11,0,0,0,3,0,0,0,1100,"斧術士07"
