Index,0 [0x19][0x9],1 [0x3][0x8],2 [0x0][0x0],3 [0x7][0x4]
0,false,0,"",0
1,false,0,"Producteur",61531
2,false,0,"Maître de jeu",61524
3,false,0,"Maître de jeu",61532
4,false,0,"Maître de jeu",61533
5,false,0,"Déconnecté(e)",61503
6,true,1,"En attente de réponse (requête d'ami)",61501
7,true,2,"En attente de réponse (linkshell)",61501
8,true,3,"En attente de réponse (compagnie libre)",61501
9,true,4,"Pas trouvé(e)",61502
10,true,5,"Hors ligne",61504
11,true,6,"Occupé(e)",61509
12,true,7,"JcJ",61510
13,true,8,"Triple Triade",61539
14,true,9,"Cinématique",61508
15,true,11,"À dos de chocobo de relais",61534
16,true,12,"Absent(e)",61511
17,true,13,"Cherche un réparateur",61512
18,true,14,"Cherche à réparer",61513
19,true,15,"Sertisseur(se) de matérias",61514
20,true,16,"Cherche une équipe",61515
21,true,17,"Mercenaire",61516
22,true,18,"Enregistré(e) dans l'outil de mission",61517
23,true,19,"Recrute des équipiers",61536
24,true,26,"Nouvel(le) aventurier(ère)",61523
25,true,20,"Chef d'alliance",61518
26,true,21,"Chef d'équipe d'une alliance",61519
27,true,22,"Membre d'une alliance",61520
28,true,23,"Chef d'équipe",61521
29,true,24,"Membre d'une équipe",61522
30,true,25,"En mission (inter-Mondes)",61535
31,false,0,"En mission commune",61506
32,false,0,"En mission identique (autre groupe)",61507
33,true,10,"En mission",61510
34,true,28,"Aventurier à l'essai",61525
35,false,0,"Compagnie libre",0
36,false,0,"Grande compagnie",0
37,true,27,"En ligne",61505
