Index,0 [0x3][0xc],1 [0x5][0x8],2 [0x5][0xa],3 [0x3][0xd],4 [0x3][0xe],5 [0x3][0xf],6 [0x0][0x0],7 [0x0][0x4]
0,0,65535,65535,0,0,0,"None",""
1,10,65535,65535,1,1,1,"Sagen","Nachrichten an alle Spieler in einem kleinen Umkreis."
2,11,65535,65535,1,3,1,"Schreien","Nachrichten an alle Spieler im gesamten Areal."
3,12,65535,65535,1,4,1,"Flüstern","Nachrichten an einen bestimmten Spieler."
4,14,65535,65535,1,5,1,"Gruppe","Nachrichten an die Gruppenmitglieder."
5,29,65535,65535,1,16,1,"Emotes","Nachrichten über Emotes."
6,28,65535,65535,1,17,1,"Persönliche Emotes","Nachrichten über Spieler-Emotes, bei denen keine Bewegung ausgeführt wird."
7,24,65535,65535,1,7,1,"Freie Gesellschaft","Nachrichten an die Mitglieder der Freien Gesellschaft."
8,16,65535,65535,1,8,1,"Kontaktkreis 1","Nachrichten an die Mitglieder von Kontaktkreis 1."
9,17,65535,65535,1,9,1,"Kontaktkreis 2","Nachrichten an die Mitglieder von Kontaktkreis 2."
10,18,65535,65535,1,10,1,"Kontaktkreis 3","Nachrichten an die Mitglieder von Kontaktkreis 3."
11,19,65535,65535,1,11,1,"Kontaktkreis 4","Nachrichten an die Mitglieder von Kontaktkreis 4."
12,20,65535,65535,1,12,1,"Kontaktkreis 5","Nachrichten an die Mitglieder von Kontaktkreis 5."
13,21,65535,65535,1,13,1,"Kontaktkreis 6","Nachrichten an die Mitglieder von Kontaktkreis 6."
14,22,65535,65535,1,14,1,"Kontaktkreis 7","Nachrichten an die Mitglieder von Kontaktkreis 7."
15,23,65535,65535,1,15,1,"Kontaktkreis 8","Nachrichten an die Mitglieder von Kontaktkreis 8."
16,30,65535,65535,1,2,1,"Rufen","Nachrichten an alle Spieler in einem großen Umkreis."
17,15,65535,65535,1,6,1,"Allianz","Nachrichten an die Mitglieder deiner Allianz."
18,0,0,0,0,0,0,"",""
19,0,0,0,0,0,0,"",""
20,0,0,0,0,0,0,"",""
21,57,65535,65535,2,1,1,"Systemnachrichten","Nachrichten, die automatisch vom System generiert werden."
22,0,0,0,0,0,0,"",""
23,59,65535,65535,2,4,1,"Systemnachrichten - Sammeln","Auf das Sammeln bezogene Nachrichten, die automatisch vom System generiert werden."
24,60,65535,65535,2,5,1,"System-Fehlermeldungen","Fehlermeldungen, die automatisch vom System generiert werden."
25,56,65535,65535,2,6,1,"Echo","Eigene Nachrichten."
