Index,0 [0x0][0x0],1 [0x2][0xc],2 [0x0][0x4],3 [0x2][0xd],4 [0x2][0xe],5 [0x2][0xf],6 [0x2][0x10],7 [0x2][0x11],8 [0x0][0x8],9 [0x3][0x14]
0,"",0,"",0,0,1,0,0,"",0
1,"",0,"",0,0,0,0,0,"",0
2,"",0,"",0,0,0,0,0,"",0
3,"",0,"",0,0,0,0,0,"",0
4,"",0,"",0,0,0,0,0,"",0
5,"",0,"",0,0,0,0,0,"",0
6,"",0,"",0,0,0,0,0,"",0
7,"",0,"",0,0,0,0,0,"",0
8,"",0,"",0,0,0,0,0,"",0
9,"",0,"",0,0,0,0,0,"",0
10,"",0,"",0,0,0,0,0,"",0
11,"",0,"",0,0,0,0,0,"",0
12,"",0,"",0,0,0,0,0,"",0
13,"",0,"",0,0,0,0,0,"",0
14,"",0,"",0,0,0,0,0,"",0
15,"",0,"",0,0,0,0,0,"",0
16,"",0,"",0,0,0,0,0,"",0
17,"",0,"",0,0,0,0,0,"",0
18,"Levemete",0,"levemete",0,0,1,0,0,"",0
19,"",0,"",0,0,1,0,0,"",0
20,"Hydaelyn",1,"Hydaelyn",0,0,1,0,1,"",0
21,"Eorzea",1,"Eorzea",0,0,1,0,1,"",0
22,"La Noscea",1,"La Noscea",0,0,1,0,1,"",0
23,"The Black Shroud",1,"Black Shroud",0,0,1,0,0,"",0
24,"Thanalan",1,"Thanalan",0,0,1,0,1,"",0
25,"Coerthas",1,"Coerthas",0,0,1,0,1,"",0
26,"Mor Dhona",1,"Mor Dhona",0,0,1,0,1,"",0
27,"Limsa Lominsa",1,"Limsa Lominsa",0,0,1,0,1,"",0
28,"Limsa Lominsa Upper Decks",2,"Limsa Lominsa upper decks",0,0,1,0,0,"",0
29,"Limsa Lominsa Lower Decks",2,"Limsa Lominsa lower decks",0,0,1,0,0,"",0
30,"Middle La Noscea",1,"middle La Noscea",0,0,1,0,1,"",0
31,"Lower La Noscea",1,"lower La Noscea",0,0,1,0,1,"",0
32,"Eastern La Noscea",1,"eastern La Noscea",0,0,1,0,1,"",0
33,"Western La Noscea",1,"western La Noscea",0,0,1,0,1,"",0
34,"Upper La Noscea",1,"upper La Noscea",0,0,1,0,1,"",0
35,"Sastasha",0,"Sastasha",0,0,1,0,1,"",0
36,"Brayflox's Longstop",0,"Brayflox's Longstop",0,0,1,0,1,"",0
37,"The Wanderer's Palace",0,"Wanderer's Palace",0,0,1,0,0,"",0
38,"",0,"",0,0,0,0,0,"",0
39,"Ul'dah",1,"Ul'dah",0,0,1,0,1,"",0
40,"Ul'dah - Steps of Nald",2,"Ul'dah - Steps of Nald",0,0,1,0,1,"",0
41,"Ul'dah - Steps of Thal",2,"Ul'dah - Steps of Thal",0,0,1,0,1,"",0
42,"Western Thanalan",1,"western Thanalan",0,0,1,0,1,"",0
43,"Central Thanalan",1,"central Thanalan",0,0,1,0,1,"",0
44,"Eastern Thanalan",1,"eastern Thanalan",0,0,1,0,1,"",0
45,"Southern Thanalan",1,"southern Thanalan",0,0,1,0,1,"",0
46,"Northern Thanalan",1,"northern Thanalan",0,0,1,0,1,"",0
47,"Cutter's Cry",0,"Cutter's Cry",0,0,1,0,1,"",0
48,"Copperbell Mines",1,"Copperbell Mines",0,0,1,0,1,"",0
49,"Halatali",1,"Halatali",0,0,1,0,1,"",0
50,"The Sunken Temple of Qarn",0,"Sunken Temple of Qarn",0,0,1,0,0,"",0
51,"Gridania",1,"Gridania",0,0,1,0,1,"",0
52,"New Gridania",1,"New Gridania",0,0,1,0,1,"",0
53,"Old Gridania",1,"Old Gridania",0,0,1,0,1,"",0
54,"Central Shroud",1,"Central Shroud",0,0,1,0,0,"",0
55,"East Shroud",1,"East Shroud",0,0,1,0,0,"",0
56,"South Shroud",1,"South Shroud",0,0,1,0,0,"",0
57,"North Shroud",1,"North Shroud",0,0,1,0,0,"",0
58,"The Tam-Tara Deepcroft",0,"Tam-Tara Deepcroft",0,0,1,0,0,"",0
59,"Haukke Manor",0,"Haukke Manor",0,0,1,0,1,"",0
60,"",0,"",0,0,0,0,0,"",0
61,"The Thousand Maws of Toto-Rak",0,"Thousand Maws of Toto-Rak",0,0,1,0,0,"",0
62,"Ishgard",1,"Ishgard",0,0,1,0,1,"",0
63,"Coerthas Central Highlands",1,"Coerthas central highlands",0,0,1,0,0,"",0
64,"Dzemael Darkhold",0,"Dzemael Darkhold",0,0,1,0,1,"",0
65,"Aurum Vale",1,"Aurum Vale",0,0,1,0,0,"",0
66,"",0,"",0,0,0,0,0,"",0
