Index,0 [0x3][0x4],1 [0x0][0x0]
0,1,"Jeu de rôle"
1,2,"Gain d'expérience"
2,3,"Jeu décontracté"
3,4,"Jeu intense"
4,6,"Opérations de guilde"
5,7,"Défis"
6,5,"Donjons"
7,8,"Raids"
8,9,"JcJ"
9,0,""
10,0,""
11,0,""
12,0,""
13,0,""
14,0,""
15,0,""
16,51,"Tanks"
17,52,"Soigneurs"
18,53,"DPS"
19,54,"Artisans"
20,55,"Récolteurs"
21,0,""
22,0,""
23,0,""
24,0,""
25,0,""
26,0,""
27,0,""
28,0,""
29,0,""
30,0,""
31,0,""
32,101,"En semaine"
33,101,"Week-end"
34,0,""
35,0,""
36,0,""
37,0,""
38,0,""
39,0,""
40,151,"Candidatures"
41,152,"Candidature envoyée"
42,0,""
43,0,""
44,0,""
45,0,""
46,0,""
47,0,""
48,0,""
49,0,""
50,0,""
51,0,""
52,0,""
53,0,""
54,0,""
55,0,""
56,0,""
57,0,""
58,0,""
59,0,""
60,0,""
61,0,""
62,0,""
63,0,""
