Index,0 [0x0][0x0],1 [0x2][0x10],2 [0x0][0x4],3 [0x2][0x11],4 [0x2][0x12],5 [0x2][0x13],6 [0x2][0x14],7 [0x2][0x15],8 [0x0][0x8],9 [0x0][0xc]
0,"",0,"",0,0,0,0,0,"",""
1,"二等牙兵",0,"",0,0,0,0,0,"",""
2,"一等牙兵",0,"",0,0,0,0,0,"",""
3,"上等牙兵",0,"",0,0,0,0,0,"",""
4,"牙兵長",0,"",0,0,0,0,0,"",""
5,"牙伍長",0,"",0,0,0,0,0,"",""
6,"牙軍曹",0,"",0,0,0,0,0,"",""
7,"牙曹長",0,"",0,0,0,0,0,"",""
8,"准牙士",0,"",0,0,0,0,0,"",""
9,"少牙士",0,"",0,0,0,0,0,"",""
10,"中牙士",0,"",0,0,0,0,0,"",""
11,"大牙士",0,"",0,0,0,0,0,"",""
12,"少牙佐",0,"",0,0,0,0,0,"",""
13,"中牙佐",0,"",0,0,0,0,0,"",""
14,"大牙佐",0,"",0,0,0,0,0,"",""
15,"准牙将",0,"",0,0,0,0,0,"",""
16,"少牙将",0,"",0,0,0,0,0,"",""
17,"中牙将",0,"",0,0,0,0,0,"",""
18,"大牙将",0,"",0,0,0,0,0,"",""
19,"蛇将",0,"",0,0,0,0,0,"",""
