Index,0 [0x7][0x0],1 [0x7][0x4],2 [0x3][0xa],3 [0x5][0x8]
0,0,0,0,80
1,3285041,1179649,0,80
2,3670519,1179657,1,5
3,3785716,1179650,1,5
4,3726228,1179651,2,15
5,3678413,0,0,80
6,3789988,1179650,2,15
7,3788598,0,0,80
8,3678107,1179653,3,50
9,3683313,0,0,80
10,3792098,1179650,3,50
11,3787757,0,0,80
12,3678107,1179654,3,50
13,3683317,0,0,80
14,3792103,1179650,3,50
15,3787757,0,0,80
16,3683319,1179655,1,15
17,3792910,1179650,1,15
18,3684400,1179656,1,30
19,3792951,1179650,1,30
20,3791809,1179652,1,15
21,3679096,1179654,1,15
22,3791810,1179653,1,15
23,3683224,1179654,1,15
24,3683318,1179653,1,15
25,3792350,1179652,1,15
26,3684611,1179655,1,15
27,3793021,1179656,1,15
28,3684728,1179661,1,15
29,3796328,1179658,1,15
30,3685085,1179660,2,30
31,3796331,1179658,2,30
32,3685089,1179659,1,5
33,3796333,1179658,1,5
34,3685104,1179661,2,15
35,3796335,1179659,2,15
36,3685123,1179660,1,15
37,3796336,1179659,1,15
38,3686224,1179666,2,50
39,3687802,0,0,80
40,3799753,1179658,2,50
41,3799203,0,0,80
42,3686241,1179662,1,15
43,3799209,1179658,1,15
44,3686244,1179663,3,30
45,3686765,0,0,80
46,4011313,1179658,3,30
47,3799215,0,0,80
48,3686587,1179664,2,30
49,3687659,0,0,80
50,3799673,1179658,2,30
51,3799222,0,0,80
52,3686587,1179665,3,50
53,3687687,0,0,80
54,3799690,1179658,3,50
55,3799222,0,0,80
56,3686766,1179667,1,15
57,4011314,1179663,1,15
58,3687768,1179665,3,30
59,3799704,1179664,3,30
60,3687831,1179668,1,50
61,3799773,1179666,1,50
62,3688372,1179670,1,15
63,3799814,1179669,1,15
64,3688421,1179671,2,15
65,3688841,0,0,80
66,4002341,1179669,2,15
67,3799902,0,0,80
68,3688421,1179672,3,30
69,3689074,0,0,80
70,4002347,1179669,3,30
71,3799902,0,0,80
72,3688713,1179673,3,50
73,3689140,0,0,80
74,3800718,1179669,3,50
75,3800178,0,0,80
76,3688713,1179674,5,60
77,3689143,0,0,80
78,3748533,0,0,80
79,3816905,1179669,5,60
80,3800740,0,0,80
81,3800178,0,0,80
82,3688011,1179677,2,30
83,3689194,0,0,80
84,3800783,1179669,2,30
85,3800541,0,0,80
86,3687963,1179675,2,5
87,3800538,1179669,2,5
88,3687981,1179676,2,15
89,3800539,1179669,2,15
90,3688101,1179676,2,15
91,3800543,1179675,2,15
92,3689100,1179671,1,15
93,4002348,1179672,1,15
94,4295343,1179680,2,80
95,3694555,0,0,80
96,4291379,1179656,2,80
97,4295441,0,0,80
98,3694714,1179680,1,60
99,4284357,1179679,1,60
100,4291437,1179680,2,80
101,3694725,1179681,2,80
102,4291567,1179682,3,100
103,4573761,0,0,80
104,4573720,1179680,3,100
105,3694739,0,0,80
106,3689275,1179683,1,80
107,4285231,1179682,1,80
108,4297046,1179663,3,60
109,4297310,0,0,80
110,4300113,1179654,3,60
111,4297105,0,0,80
112,5882421,1179686,1,105
113,5883296,1179685,1,105
114,5883350,1179687,2,130
115,5883463,0,0,80
116,5883469,1179685,2,130
117,5883378,0,0,80
118,5883333,1179687,1,115
119,5883467,0,0,80
120,5891567,1179686,1,115
121,5883376,0,0,80
122,5883501,1179688,1,120
123,5883512,1179687,1,120
124,5883529,1179689,2,150
125,5887475,0,0,80
126,5887481,1179687,2,150
127,5887492,0,0,80
128,5883521,1179689,2,140
129,5887472,0,0,80
130,5887480,1179688,2,140
131,5887491,0,0,80
132,5887494,1179692,1,135
133,5887512,1179691,1,120
134,5887500,1179691,1,125
135,5887502,1179690,1,125
136,5887505,1179692,1,120
137,5887496,1179690,1,135
138,5887516,1179694,1,145
139,5887517,1179693,1,145
140,5922735,1179685,1,5
141,5922736,1179684,1,5
142,5923178,0,1,80
