Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x0][0x8]
0,"ホットバー 1","Hotbar1","hot1"
1,"ホットバー 2","Hotbar2","hot2"
2,"ホットバー 3","Hotbar3","hot3"
3,"ホットバー 4","Hotbar4","hot4"
4,"ホットバー 5","Hotbar5","hot5"
5,"ホットバー 6","Hotbar6","hot6"
6,"ホットバー 7","Hotbar7","hot7"
7,"ホットバー 8","Hotbar8","hot8"
8,"ホットバー 9","Hotbar9","hot9"
9,"ホットバー 10","Hotbar10","hot10"
10,"EXホットバー","HotbarEx","hotex"
11,"クロスホットバー","CrossHotbar","cross"
12,"キャストバー","CastBar","cast"
13,"ターゲット情報","TargetInfo","target"
14,"フォーカスターゲット情報","FocusTarget","focus"
15,"パーティリスト","PartyList","party"
16,"敵対リスト","EnemyList","enemy"
17,"キャラクターパラメータ","MyParam","param"
18,"通知","Notification","Notices"
19,"ナビマップ","NaviMap","navi"
20,"メインコマンド","MainCommand","main"
21,"基本情報","GeneralInfo","dtr"
22,"所持金","CurrencyStatus","gil"
23,"装備・所持品サイン","ItemSign","bag"
24,"目的リスト/コンテンツ情報","ToDoList","todo"
25,"アイテム詳細","ItemHelp","item"
26,"アクション詳細","ActionHelp","action"
27,"リミットブレイクゲージ","LimitBreak","limit"
28,"経験値バー","ExpBar","exp"
29,"バフ・デバフステータス情報","BuffDebuffStatus","buff"
30,"アライアンスリスト1","AllianceList1","alist1"
31,"アライアンスリスト2","AllianceList2","alist2"
32,"目的リスト","DutyList","dlist"
33,"コンテンツ情報","ContentsInfo","cinfo"
34,"","",""
35,"","",""
36,"","",""
37,"","",""
38,"","",""
39,"","",""
40,"","",""
