Index,0 [0x6][0x0],1 [0x3][0x20],2 [0x6][0x4],3 [0x3][0x21],4 [0x6][0x8],5 [0x3][0x22],6 [0x6][0xc],7 [0x3][0x23],8 [0x6][0x10],9 [0x3][0x24],10 [0x6][0x14],11 [0x3][0x25],12 [0x6][0x18],13 [0x3][0x26],14 [0x6][0x1c],15 [0x3][0x27]
0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,5,7,15,4,10,3,10,2,15,1,30,2,15,0,0
2,7,5,7,15,4,10,3,10,2,15,1,30,2,15,0,0
3,9,5,7,15,4,10,3,10,2,15,1,30,2,15,0,0
4,9,5,7,15,4,10,3,10,2,15,1,30,2,15,0,0
5,4,5,10,5,9,15,4,5,3,10,2,30,1,30,0,0
6,4,5,8,5,7,15,4,5,3,10,2,30,1,30,0,0
7,1,40,2,20,3,25,4,10,7,5,0,0,0,0,0,0
8,1,40,2,20,3,25,4,10,7,5,0,0,0,0,0,0
9,1,40,2,20,3,25,4,10,7,5,0,0,0,0,0,0
10,11,15,1,40,2,20,3,10,4,10,7,5,0,0,0,0
11,1,40,2,20,3,10,4,10,7,5,8,15,0,0,0,0
12,14,20,1,40,2,20,3,10,4,10,0,0,0,0,0,0
13,1,5,2,15,3,30,4,50,0,0,0,0,0,0,0,0
14,3,20,1,30,2,30,4,10,7,10,0,0,0,0,0,0
15,3,20,1,30,2,30,4,10,7,10,0,0,0,0,0,0
16,3,20,1,30,2,20,5,10,4,10,7,10,0,0,0,0
17,3,20,1,30,2,20,5,10,4,10,7,10,0,0,0,0
18,4,5,1,45,2,30,3,10,7,5,8,5,0,0,0,0
19,4,10,1,30,2,20,3,20,5,10,6,10,0,0,0,0
20,1,30,2,20,3,20,4,10,9,10,10,10,0,0,0,0
21,16,20,15,40,2,10,1,5,3,15,4,10,0,0,0,0
22,3,15,4,15,17,30,1,15,2,25,0,0,0,0,0,0
23,29,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,30,2,20,3,20,4,15,7,15,0,0,0,0,0,0
25,26,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,28,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3,20,1,30,2,30,4,10,10,10,0,0,0,0,0,0
30,27,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,25,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,20,1,30,2,20,2,10,4,10,7,10,0,0,0,0
33,1,40,2,20,3,25,4,10,7,5,0,0,0,0,0,0
34,3,5,7,15,4,10,3,10,2,15,1,30,2,15,0,0
35,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,23,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,24,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,11,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,16,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,22,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,36,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,20,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,35,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,15,60,2,10,1,5,3,15,4,10,0,0,0,0,0,0
48,15,60,2,10,1,5,3,15,4,10,0,0,0,0,0,0
49,16,20,15,40,2,10,1,5,3,15,4,10,0,0,0,0
50,3,10,4,10,9,10,11,10,1,30,2,30,0,0,0,0
51,3,10,4,10,7,10,8,10,1,30,2,30,0,0,0,0
52,3,10,6,10,50,20,1,30,2,30,0,0,0,0,0,0
53,1,30,2,30,3,10,4,10,5,10,49,10,0,0,0,0
54,2,35,3,35,9,30,0,0,0,0,0,0,0,0,0,0
55,3,10,4,10,7,10,8,10,1,30,2,30,0,0,0,0
56,44,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,51,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,4,15,7,25,2,60,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
