Index,0 [0x0][0x0]
0,"on"
1,"on"
2,"off"
3,"off"
4,"add"
5,"add"
6,"leave"
7,"leave"
8,"kick"
9,"kick"
10,"leader"
11,"leader"
12,"breakup"
13,"disband"
14,"remove"
15,"delete"
16,"accept"
17,"join"
18,"deny"
19,"decline"
20,"text"
21,"text"
22,"motion"
23,"motion"
24,"both"
25,"both"
26,"main"
27,"メインアーム"
28,"sub"
29,"サブアーム"
30,"throwing"
31,"投擲武器"
32,"pack"
33,"携帯（メイン）"
34,"pouch"
35,"携帯（サブ）"
36,"head"
37,"頭"
38,"shirt"
39,"胴（インナー）"
40,"body"
41,"胴"
42,"garment"
43,"脚（インナー）"
44,"legs"
45,"脚"
46,"hands"
47,"手"
48,"feet"
49,"足"
50,"waist"
51,"帯"
52,"neck"
53,"首"
54,"R.ear"
55,"右耳"
56,"L.ear"
57,"左耳"
58,"R.wrist"
59,"右腕"
60,"L.wrist"
61,"左腕"
62,"R.index"
63,"右人差指"
64,"L.index"
65,"左人差指"
66,"R.ring"
67,"右薬指"
68,"L.ring"
69,"左薬指"
70,"all"
71,"all"
72,"reset"
73,"reset"
74,"a"
75,"a"
76,"b"
77,"b"
78,"c"
79,"c"
80,"attack"
81,"攻撃"
82,"attack1"
83,"攻撃1"
84,"attack2"
85,"攻撃2"
86,"attack3"
87,"攻撃3"
88,"attack4"
89,"攻撃4"
90,"attack5"
91,"攻撃5"
92,"bind"
93,"足止め"
94,"bind1"
95,"足止め1"
96,"bind2"
97,"足止め2"
98,"bind3"
99,"足止め3"
100,"stop"
101,"禁止"
102,"stop1"
103,"禁止1"
104,"stop2"
105,"禁止2"
106,"square"
107,"汎用シカク"
108,"circle"
109,"汎用マル"
110,"cross"
111,"汎用バツ"
112,"triangle"
113,"汎用サンカク"
114,"save"
115,"save"
116,"load"
117,"load"
118,"copy"
119,"copy"
120,"paste"
121,"paste"
122,"equip"
123,"eq"
124,"change"
125,"chg"
126,"status"
127,"stat"
128,"create"
129,"make"
130,"set"
131,"set"
132,"view"
133,"view"
134,"LDL"
135,"LD1"
136,"LDU"
137,"LD2"
138,"LDR"
139,"LD3"
140,"LDD"
141,"LD4"
142,"LAL"
143,"LA1"
144,"LAU"
145,"LA2"
146,"LAR"
147,"LA3"
148,"LAD"
149,"LA4"
150,"RDL"
151,"RD1"
152,"RDU"
153,"RD2"
154,"RDR"
155,"RD3"
156,"RDD"
157,"RD4"
158,"RAL"
159,"RA1"
160,"RAU"
161,"RA2"
162,"RAR"
163,"RA3"
164,"RAD"
165,"RA4"
166,"share"
167,"share"
168,"display"
169,"show"
170,"ex"
171,"ex"
172,"time"
173,"time"
174,"call"
175,"ring"
176,"name"
177,"names"
178,"fontsize"
179,"font"
180,"local"
181,"l"
182,"server"
183,"s"
184,"self"
185,"me"
186,"party"
187,"p"
188,"other"
189,"oth"
190,"full"
191,"high"
192,"simple"
193,"middle"
194,"firstname"
195,"名"
196,"familyname"
197,"姓"
198,"lookingforparty"
199,"パーティ希望"
200,"leader"
201,"パーティリーダー"
202,"lookingformeld"
203,"マテリア装着請負中"
204,"away"
205,"離席"
206,"contents"
207,"コンテンツ中"
208,"event"
209,"イベント中"
210,"busy"
211,"取り込み中"
212,""
213,""
214,""
215,""
216,""
217,""
218,""
219,""
220,""
221,""
222,""
223,""
224,""
225,""
226,""
227,""
228,""
229,""
230,"ja"
231,"日本語"
232,"en"
233,"英語"
234,"de"
235,"ドイツ語"
236,"fr"
237,"フランス語"
238,"Maelstrom"
239,"黒渦団"
240,"Order of the Twin Adder"
241,"双蛇党"
242,"Immortal Flames"
243,"不滅隊"
244,""
245,""
246,""
247,""
248,"item"
249,"item"
250,"execute"
251,"execute"
252,"condition"
253,"condition"
254,"clear"
255,"clear"
256,"Inventory"
257,"所持品"
258,"ArmouryChest"
259,"アーマリーチェスト"
260,"Retainer"
261,"リテイナー所持品"
262,"category"
263,"アイテムカテゴリー"
264,"level"
265,"装備レベル"
266,"itemlevel"
267,"アイテムレベル"
268,"stack"
269,"スタック数"
270,"id"
271,"アイテムid"
272,"tab"
273,"tab"
274,"spiritbond"
275,"錬精度"
276,"hq"
277,"hq"
278,"materia"
279,"マテリア数"
280,"asc"
281,"昇順"
282,"des"
283,"降順"
284,"ears"
285,"耳"
286,"wrists"
287,"腕"
288,"rings"
289,"指"
290,"soul"
291,"ソウルクリスタル"
292,"physicaldamage"
293,"物理基本性能"
294,"magicdamage"
295,"魔法基本性能"
296,"delay"
297,"攻撃間隔"
298,"physicalautoattack"
299,"物理オートアタック"
300,"blockrate"
301,"ブロック発動力"
302,"blockstrength"
303,"ブロック性能"
304,"defense"
305,"物理防御力"
306,"magicdefense"
307,"魔法防御力"
308,"str"
309,"str"
310,"dex"
311,"dex"
312,"vit"
313,"vit"
314,"int"
315,"int"
316,"mnd"
317,"mnd"
318,"pie"
319,"pie"
320,"craftsmanship"
321,"作業精度"
322,"control"
323,"加工精度"
324,"gathering"
325,"獲得力"
326,"perception"
327,"識質力"
328,"recruitingparty"
329,"パーティ募集中"
330,"newadventurer"
331,"ビギナー"
332,""
333,""
334,""
335,""
336,""
337,""
338,""
339,""
340,"pet"
341,"pet"
342,"buddy"
343,"buddy"
344,"minion"
345,"minion"
346,"mount"
347,"mount"
348,"general"
349,"general"
350,"action"
351,"action"
352,"gearset"
353,"gearset"
354,"emote"
355,"emote"
356,"marking"
357,"marking"
358,"waymark"
359,"fieldmarking"
360,"<wait>"
361,"<wait>"
362,"classjob"
363,"classjob"
364,"current"
365,"current"
366,""
367,""
368,""
369,""
370,"tell"
371,"t"
372,"alliance"
373,"al"
374,"freecompany"
375,"fc"
376,"linkshell1"
377,"l1"
378,"linkshell2"
379,"l2"
380,"linkshell3"
381,"l3"
382,"linkshell4"
383,"l4"
384,"linkshell5"
385,"l5"
386,"linkshell6"
387,"l6"
388,"linkshell7"
389,"l7"
390,"linkshell8"
391,"l8"
392,"party"
393,"パーティ"
394,"alliance"
395,"アライアンス"
396,"freecompany"
397,"フリーカンパニー"
398,"linkshell1"
399,"リンクシェル1"
400,"linkshell2"
401,"リンクシェル2"
402,"linkshell3"
403,"リンクシェル3"
404,"linkshell4"
405,"リンクシェル4"
406,"linkshell5"
407,"リンクシェル5"
408,"linkshell6"
