Index,0 [0x0][0x0],1 [0x2][0x14],2 [0x0][0x4],3 [0x2][0x15],4 [0x2][0x16],5 [0x2][0x17],6 [0x2][0x18],7 [0x2][0x19],8 [0x0][0x8],9 [0x0][0xc],10 [0x0][0x10],11 [0x5][0x24],12 [0x3][0x30],13 [0x3][0x31],14 [0x3][0x32],15 [0x3][0x33],16 [0x3][0x34],17 [0x3][0x35],18 [0x3][0x36],19 [0x3][0x37],20 [0x3][0x38],21 [0x19][0x40],22 [0x1a][0x40],23 [0x1b][0x40],24 [0x1c][0x40],25 [0x5][0x26],26 [0x1d][0x40],27 [0x1e][0x40],28 [0x5][0x28],29 [0x5][0x2a],30 [0x1f][0x40],31 [0x3][0x39],32 [0x3][0x3a],33 [0x5][0x2c],34 [0x3][0x3b],35 [0x3][0x3c],36 [0x3][0x3d],37 [0x20][0x40],38 [0x19][0x41],39 [0x1a][0x41],40 [0x1b][0x41],41 [0x1c][0x41],42 [0x3][0x3e],43 [0x5][0x2e],44 [0x3][0x3f],45 [0x0][0x1c],46 [0x0][0x20]
0,"",0,"",0,0,1,0,0,"","","",0,100,0,0,0,0,0,0,8,0,false,false,false,false,0,false,true,0,0,false,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
1,"Kirschbomber",4,"Kirschbomber",2,0,1,0,0,"Du rufst deinen Kirschbomber als Begleiter herbei. Garantie gegen Selbstzerstöung, ansonsten Gil zurück.","Um die weißglühenden Temperaturen in ihren Kernen aufrechtzuerhalten, verschlingen die Bomber so gut wie jedes brennbare Material, einschließlich Holz, Kohle, Feuerkristalle und sogar Drachenpfeffer.","Bald ist eure Zeit zur Explosion gekommen! Hihi! Das wird schön ...\n<i>Ba Go, Akolyth des 789. Ordens</i>",427,100,30,0,0,0,2,0,8,1,true,true,false,false,0,false,true,4503,3,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
2,"Marionette Nr. 001",3,"Marionetten Nr. 001",1,0,1,1,0,"Du rufst deine Marionette Nr. 001 als Begleiter herbei. Eine voll funktionstüchtige Puppe, die in Zusammenarbeit der Alchemisten mit der Goldschmiedegilde erschaffen wurde.","Das Standardmodell 001 ist nicht nur ein Verkaufs-\nschlager, sondern auch die Vorlage, auf der alle anderen Uhrwerk-Diener basieren.","Marionetten haben auch Gefühle.\n<i>Serendipity</i>",419,100,30,0,0,0,1,0,8,2,false,false,false,false,0,false,true,4501,200,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
3,"Chocobo-Küken",4,"Chocobo-Küken",1,0,1,2,0,"Du rufst dein Chocobo-Küken als Begleiter herbei. Solange es seine Mutter nicht findet, musst du als Ersatz herhalten.","Selbst wenn dieser Waisenvogel zufällig auf seine Eltern träfe, würde er sie höchstwahrscheinlich nicht zur Kenntnis nehmen. Schließlich ist bekannt, dass Chocobos das erste Lebewesen, das sie erblicken, als ihre Mutter annehmen -\nund das wärest somit du.","Ein wilder Bengel, aber er ist der Stolz unseres Gestüts.\n<i>Keitha</i>",423,100,30,0,30,0,2,0,8,3,true,true,false,true,0,false,true,4502,1,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
4,"Cait Sith-Puppe",3,"Cait Sith-Puppen",1,0,1,1,0,"Du rufst deine Cait Sith-Puppe als Begleiter herbei. Der extra lange Schwanz hilft dem Kätzchen dabei, das Gleichgewicht zu halten.","Die Uhrwerk-Ausgabe eines schillernden Katzengeistes aus der Mythologie der Wiesländer. Die Gildenmeisterin der Goldschmiede, Serendipity, hat diese lebensechte Figur angefertigt, um den Kindern, die durch die Katastrophe\nzu Waisen wurden, eine\nFreude zu machen.","Im Kämpfen war ich immer eine Niete.\n<i>Cait Sith</i>",430,100,30,0,0,0,1,0,8,0,false,false,false,false,0,false,true,4504,201,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
5,"Baby-Behemoth",3,"Baby-Behemoth",1,0,1,0,0,"Du rufst deinen Baby-Behemoth als Begleiter herbei. Hoffentlich sucht seine Mutter nicht schon nach ihm.","Da sie auf dem Saphirstraßenmarkt für nicht mehr als eine Handvoll Gil feilgeboten wird, ist die Abstammung dieser kleinen Bestie äußerst fraglich. Sie trägt zwar Züge, die einem Behemoth ähneln, aber ihr ständiges Gequieke\nerinnert dann doch eher\nan ein Wildschweinchen.","Tja, so läuft's halt manchmal im Leben. Mal verspeist\nman den Behemoth, und manchmal wird man vom\nBehemoth verspeist ...\n<i>Wymond</i>",428,100,30,0,0,0,2,0,8,5,true,true,false,true,0,false,true,4505,5,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
6,"Marionette Nr. 003L",3,"Marionetten Nr. 003L",1,0,1,1,0,"Du rufst deine Marionette Nr. 003L als Begleiter herbei. Eine voll funktionstüchtige Puppe, die für den Mahlstrom gebaut wurde.","Diese handgefertigten Marionetten sollten eigentlich als Flaggenträger bei Paraden des Mahlstroms dienen. Sie wurden jedoch schnell wieder außer Dienst gestellt, da aufgrund ihrer kleinen Statur niemand die\nFlaggen sehen konnte.","Marionetten haben auch Gefühle.\n<i>Serendipity</i>",420,100,30,0,0,0,1,0,8,2,false,false,false,false,0,false,true,4506,200,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
7,"Marionette Nr. 003G",3,"Marionetten Nr. 003G",1,0,1,1,0,"Du rufst deine Marionette Nr. 003G als Begleiter herbei. Eine voll funktionstüchtige Puppe, die für die Bruderschaft der Morgenviper gebaut wurde.","Diese handgefertigten Marionetten sollten eigentlich als Flaggenträger bei Paraden der Bruderschaft der Morgenviper dienen. Sie wurden jedoch schnell wieder außer Dienst gestellt, da aufgrund ihrer kleinen Statur niemand die\nFlaggen sehen konnte.","Marionetten haben auch Gefühle.\n<i>Serendipity</i>",421,100,30,0,0,0,1,0,8,2,false,false,false,false,0,false,true,4507,200,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
8,"Marionette Nr. 003U",3,"Marionetten Nr. 003U",1,0,1,1,0,"Du rufst deine Marionette Nr. 003L als Begleiter herbei. Eine voll funktionstüchtige Puppe, die für die Legion der Unsterblichen gebaut wurde.","Diese handgefertigten Marionetten sollten eigentlich als Flaggenträger bei Paraden der Legion der Unsterblichen dienen. Sie wurden jedoch schnell wieder außer Dienst gestellt, da aufgrund ihrer kleinen Statur niemand die\nFlaggen sehen konnte.","Marionetten haben auch Gefühle.\n<i>Serendipity</i>",422,100,30,0,0,0,1,0,8,2,false,false,false,false,0,false,true,4508,200,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
9,"Mahlstrom-Küken",4,"Mahlstrom-Küken",1,0,1,2,0,"Du rufst dein Mahlstrom-Küken als Begleiter herbei. Kaum geschlüpft, fließt schon das rote Blut des Mahlstroms in seinen Adern. Bis die See es im Tod umfängt!","Von einem Sturmmariner aufgezogen, der ein verwahrlostes Ei in den Stallungen der Gesellschaft fand, die er saubermachen sollte. Dieses niedliche Küken ist ein Symbol des Neuanfangs für den mächtigen Mahlstrom.","Habe ich dir schon erzählt, dass ein prächtiges\nKüken aus Leias Ei geschlüpft ist? Was für eine Freude!\n<i>Luquelot</i>",424,100,30,0,30,0,2,0,8,3,true,true,false,true,0,false,true,4509,1,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
