Index,0 [0x0][0x0],1 [0x5][0x4],2 [0x3][0xc],3 [0x5][0x6],4 [0x5][0x8],5 [0x5][0xa]
0,"",1,0,0,0,0
1,"Interaction",61103,2,80,81,82
2,"Interaction",61103,2,80,81,82
3,"Interaction",61103,5,80,81,82
4,"Interaction",61103,10,80,81,82
5,"Interaction",61103,15,80,81,82
6,"Interaction",61103,2,80,81,82
7,"Interaction",61103,5,80,81,82
8,"Interaction",61103,10,80,81,82
9,"Interaction",61103,15,80,81,82
10,"En attente",61104,2,175,176,177
11,"En attente",61104,2,175,176,177
12,"En attente",61104,5,175,176,177
13,"En attente",61104,10,175,176,177
14,"Interaction",61103,2,80,81,82
15,"Interaction",61103,2,80,81,82
16,"Interaction",61103,5,80,81,82
17,"Interaction",61103,10,80,81,82
18,"Interaction",61103,2,80,81,82
19,"Harmonisation",61105,5,169,170,171
20,"Interaction",61103,1,80,81,82
21,"Interaction",61103,2,80,81,82
22,"Interaction",61103,5,80,81,82
23,"Interaction",61103,1,172,173,174
24,"Interaction",61103,2,172,173,174
25,"Interaction",61103,5,172,173,174
26,"Aide",61103,2,184,185,186
27,"Sifflement",61104,2,178,179,180
28,"Surveille",61104,10,175,176,177
29,"Enregistrement",61103,1,172,173,174
30,"Sifflement",61103,2,178,179,180
31,"Interaction",61103,2,181,182,183
32,"Interaction",61103,5,181,182,183
33,"Interaction",61103,10,181,182,183
34,"Aide",61103,2,184,185,186
35,"Aide",61103,5,184,185,186
36,"Aide",61103,10,184,185,186
37,"Interaction",61103,2,178,179,180
38,"Aide",61103,2,172,173,174
39,"Aide",61103,5,172,173,174
40,"Aide",61103,10,172,173,174
41,"Interaction",61104,10,175,176,177
42,"Délie",61103,10,181,182,183
43,"Interaction",61103,10,172,173,174
44,"Interaction",61103,10,184,185,186
45,"Interaction",61103,2,172,173,174
46,"Interaction",61103,5,172,173,174
47,"Interaction",61103,10,172,173,174
48,"Effrayer",61103,5,181,182,183
49,"Interaction",61103,5,181,182,183
50,"Observation",61104,5,175,176,177
51,"Ouverture de la valve",61103,5,181,182,183
52,"Interaction",61103,1,80,81,82
53,"Interaction",61103,2,181,182,183
54,"Interaction",61103,5,181,182,183
55,"Interaction",61103,10,181,182,183
56,"Surveille",61104,5,175,176,177
57,"Occupation",61103,2,172,173,174
58,"Occupation",61103,5,172,173,174
59,"Occupation",61103,10,172,173,174
60,"Communion",61103,5,172,173,174
61,"Interaction",61103,2,0,0,0
