Index,0 [0x0][0x0],1 [0x6][0x4],2 [0x3][0xe],3 [0x3][0xf],4 [0x6][0x8],5 [0x19][0x10],6 [0x5][0xc]
0,"",0,0,0,0,true,0
1,"<i>Fucus malmus</i>\nCette grande algue marine est très commune. Son nom lui vient d'un spécimen trouvé autrefois dont la longueur dépassait un malm, soit 5082 fulms.",4776,4,0,128,true,0
2,"<i>Astacus leptodactylus</i>\nCe crustacé décapode est si glouton qu'on peut le pêcher même sans appât. Il tente d'attraper d'un coup de pince n'importe quel objet qui bouge que l'on place devant lui.",4925,2,2,148,true,0
3,"<i>Zacco platypus</i>\nCe poisson prend de superbes couleurs à la saison des amours. Il devient alors très populaire chez les aquariophiles.",4926,3,2,134,true,0
4,"<i>Gobius merlthorus</i>\nCe poisson est un maillon important de la chaîne alimentaire, puisqu'il est chassé par de nombreuses espèces plus grandes. Les pêcheurs exploitent depuis longtemps cette caractéristique en prenant la chair de gobie comme appât pour la pêche au gros.",4869,3,0,134,true,0
5,"<i>Engraulis anchoita</i>\nOn raconte que la technique pour saler et conserver ce poisson aurait été découverte par hasard par des marins qiqirns, qui ont goûté et apprécié ces poissons saumurés alors qu'ils manquaient de provisions en mer.",4870,3,0,134,true,0
6,"<i>Ptereleotris zebra</i>\nD'après une légende folklorique du Coerthas, ce poisson volait autrefois dans le ciel. Mais trop orgueilleux, il fut puni par les Dieux qui le condamnèrent à vivre au fond des mers.",4927,4,2,148,true,0
7,"<i>Mystus clamosus</i>\nCe poisson émet parfois un bruit strident lorsqu'il est pêché, en frottant ses nageoires, comme s'il était amer de s'être laissé prendre.",4928,4,2,134,true,0
8,"<i>Palaemon digitorum</i>\nUne petite crevette de l'épaisseur d'un doigt, surnommée pour cette raison “crevette phalange”. Elle est fréquemment utilisée comme appât et sert également en cuisine.",4871,4,0,134,true,0
9,"<i>Procambarus perlucidus</i>\nCe crustacé doit sa carapace translucide au fait qu'il vit dans des milieux souterrains inéclairés. Lorsqu'il laisse derrière lui une mue, celle-ci est si transparente qu'elle en devient presque invisible à l'œil nu.",4929,5,2,148,true,0
10,"<i>Eunicella singularis</i>\nBien qu'il semble inanimé, le corail blanc est bel et bien un organisme vivant et non un minéral. Une fois poli, il possède un lustre gracieux qui lui vaut le surnom de “gemme de la mer”",5460,5,0,134,true,0
11,"<i>Salmo trutta princeps</i>\nCe poisson est populaire chez les pêcheurs débutants désireux de s'essayer à la pêche à la truite. Mais même les vétérans apprécient parfois de la pêcher comme un retour aux sources.",4930,5,2,134,true,0
12,"<i>Aurelia eorzeana</i>\nLa méduse la plus commune en Éorzéa. D'après des études sharlayanaises, elle connaîtrait pas moins de neuf transformations au cours de sa croissance.",4872,6,0,134,true,0
13,"<i>Gobius crepusculus</i>\nUn “poisson terrestre” qui s'est retrouvé enfermé à l'intérieur des terres dans la région de Vylbrand. Les gobies peuvent avoir diverses couleurs selon les variétés.",4931,6,2,134,true,0
14,"<i>Cucumaria planci mazlayae</i>\nSon apparence rebute nombre de gens, mais les locaux de la mer de Jade et de l'île de Mazlaya les apprécient sous forme séchée.",4873,7,0,135,true,0
15,"<i>Clupea nauta</i>\nCe poisson de mer a pour habitude de rôder dans les eaux bordant les ports, aussi il est très facile à pêcher. C'est un poisson très fréquemment consommé à Limsa Lominsa.",4874,7,0,134,true,0
16,"<i>Pipira pipira</i>\nCe poisson carnivore est connu pour sa grande férocité. Les enfants se baignant dans les cours d'eau se feraient souvent mordre, d'après la rumeur. Cuit à la vapeur, il est très savoureux. ",4932,7,2,148,true,0
17,"<i>Procambarus rubrum</i>\nCette écrevisse de couleur rouge est gris bleuté lorsqu'elle est jeune. C'est en devenant adulte qu'elle prend sa belle couleur écarlate si caractéristique. ",4933,8,2,137,true,0
18,"<i>Venerupis bianaquensis</i>\nUn bivalve connu pour le goût délicieux de sa chair. Elle est utilisée dans de nombreuses recettes de cuisine familiale dans les régions littorales.",4875,8,0,135,true,0
19,"<i>Gobio gobio</i>\nCe petit poisson a l'habitude de se cacher dans le sable au fond des rivières. C'est pourquoi dans l'argot noscéen, on traite de “goujon” une personne lâche.",4934,8,2,134,true,0
20,"<i>Chaetodon auripes corallium</i>\nCe poisson papillon est très apprécié pour sa magnifique couleur jaune striée. Il est apprécié comme poisson d'aquarium dans la Cité d'Ul'dah, où sa couleur dorée semble plaire aux riches citadins.",4876,9,0,134,true,0
21,"<i>Barbatula aerata</i>\nCe poisson d'eau douce de forme allongée est particulièrement apprécié en cuisine lalafelle, même si beaucoup lui reprochent un fumet terreux.",4935,9,3,152,true,0
22,"<i>Platichthys moribius</i>\nLa légende raconte qu'Oschon le Vagabond aurait malencontreusement écrasé ce poisson de rivière. La déesse Llymlaen, prenant pitié du malheureux animal, l'aurait ressuscité en tant que poisson de mer, en lui laissant son apparence aplatie.",4877,10,0,135,true,0
23,"<i>Opalus carpio</i>\nCe poisson omnivore est très facile à pêcher, ce qui le rend populaire chez les pêcheurs débutants. Il est de plus délicieux une fois grillé sur le feu et salé.",4936,10,2,148,true,0
24,"<i>Osmerus abalathicus</i>\nCe petit poisson est important dans l'alimentation des habitants du Coerthas. Beaucoup de gens le dégustent sur place, grillé.",4937,35,2,155,true,0
25,"<i>Amblyopsis vylbrandicus</i>\nL'obscurité dans laquelle vit ce poisson a entraîné la dégénérescence de son système oculaire. Par chance, il n'a aucun prédateur naturel. Il chasse en détectant les variations de courants.",4938,31,3,135,true,0
26,"<i>Cancer calculus</i>\nNon seulement sa carapace est très dure, mais il a peu de chair, c'est pourquoi ce crustacé a peu de valeur gastronomique. Il vole parfois les proies des pêcheurs, aussi ces derniers ne l'apprécient guère.",4878,12,0,135,true,0
27,"<i>Periophthalmus</i>\nAussi appelé sauteur de vase, ce “poisson terrestre” vit dans les flaques et sur les rives, étant capable de trotter sur le sol à l'aide de ses nageoires. Ses yeux globuleux lui permettent de repérer les ennemis hors de l'eau.",4939,13,3,140,true,0
28,"<i>Oncorhynchus mykiss</i>\nCe poisson d'eau douce peut être pêché à la mouche. Il est dégusté grillé ou en meunière, entre autres.",4940,15,2,155,true,0
29,"<i>Pseudosesarma moeshi</i>\nCe décapode est surnommé “nettoyeur des rivières” parce qu'il se nourrit de carcasses de poissons morts et d'algues. On raconte même qu'il est indispensable à la survie des rivières.",4941,15,2,152,true,0
30,"<i>Synaptura zebra</i>\nIl est reconnaissable à ses rayures rappelant celles du tigre, félin du continent oriental d'Othard, ce qui lui vaut ainsi son nom commun.",4879,15,0,135,true,0
31,"<i>Betta mhigolensis</i>\nCe poisson est doté d'un redoutable instinct combatif, si bien qu'il combattra jusqu'à la mort tout congénère introduit dans son territoire. Les aquariophiles l'élèvent de préférence seul.",4942,16,3,148,true,0
32,"<i>Cancer galeatus</i>\nLa carapace de ce crustacé rappelle la forme d'un casque. On pourrait le croire apparenté au crabe, à cause de son nom, mais la zoologiste Atelloune le classe comme un cousin des acari.",4880,16,0,135,true,0
33,"<i>Macquaria aldenardia</i>\nCe petit poisson d'eau douce est une variété de bar qui vit partout sur le continent d'Aldenard. Il se livre à une redoutable guerre de subsistance avec le bar noir.",4943,17,3,140,true,0
34,"<i>Bithynia aurea</i>\nCe gastéropode vient du nouveau continent. Son pied est comestible, mais difficile à manger et d'un fumet trop marqué, il est peu apprécié.",4944,17,2,140,true,0
35,"<i>Ostrea rothlyta</i>\nCette variété d'huître doit son nom au golfe de Rothlyt, qui produit des spécimens réputés délicieux. Un simple filet de jus de citron suffit à rendre succulente une huître fraîche, d'après les fins gourmets.",4881,17,0,135,true,0
36,"<i>Gobius cunctator</i>\nCe poisson est ordinairement lent, mais lorsqu'il a repéré une proie, il peut se déplacer très rapidement.",4945,18,2,153,true,0
37,"<i>Perca noscense</i>\nFidèle à son nom, ce poisson se rencontre fréquemment dans les lacs et rivières de la Noscea. Se nourrissant de petits poissons, il est facile à attraper avec un appât de type vairon.",4946,18,2,134,true,0
38,"<i>Parexocoetus llyamlaenis</i>\nAu cours de son évolution, l'exocet a développé des nageoires pectorales si longues qu'elles lui permettent d'effectuer de petits vols planés hors de l'eau pour échapper à ses prédateurs. Son nom vient de Llymlaen, car ses nageoires ressembleraient aux dagues qu'elle lance.",4882,18,1,138,true,0
39,"<i>Carassius carpio</i>\nCertains pêcheurs font de ce poisson un objet de paris. Lorsque Gridania se trouvait en état de siège au cours d'une longue guerre, il aurait été lâché dans les douves du bassin de jade pour servir de source de nourriture.",4947,19,3,132,true,0
