Index,0 [0x19][0x4],1 [0x1a][0x4],2 [0x1b][0x4],3 [0x1c][0x4],4 [0x1d][0x4],5 [0x9][0x0]
0,true,false,false,false,true,0.0
1,true,true,true,false,true,0.0
2,false,true,true,false,true,0.0
3,true,false,false,false,true,0.0
4,true,false,false,true,true,0.0
5,true,false,true,false,true,0.0
6,true,true,false,false,true,0.0
7,true,false,true,true,true,0.0
8,true,true,false,true,true,0.0
9,true,false,false,false,false,0.0
10,true,false,false,true,false,0.0
11,true,false,true,false,false,0.0
12,true,true,false,false,false,0.0
13,true,false,true,true,false,0.0
14,true,true,false,true,false,0.0
15,true,false,false,false,true,2.0
16,true,false,false,true,true,2.0
17,true,false,true,false,true,2.0
18,true,true,false,false,true,2.0
19,true,false,true,true,true,2.0
20,true,true,false,true,true,2.0
21,true,false,false,false,false,2.0
22,true,false,false,true,false,2.0
23,true,false,true,false,false,2.0
24,true,true,false,false,false,2.0
25,true,false,true,true,false,2.0
26,true,true,false,true,false,2.0
27,true,false,false,false,true,1.5
28,true,false,false,true,true,1.5
29,true,false,true,false,true,1.5
30,true,true,false,false,true,1.5
31,true,false,true,true,true,1.5
32,true,true,false,true,true,1.5
33,true,false,false,false,false,1.5
34,true,false,false,true,false,1.5
35,true,false,true,false,false,1.5
36,true,true,false,false,false,1.5
37,true,false,true,true,false,1.5
38,true,true,false,true,false,1.5
39,true,false,false,false,true,1.2
40,true,false,false,true,true,1.2
41,true,false,true,false,true,1.2
42,true,true,false,false,true,1.2
43,true,false,true,true,true,1.2
44,true,true,false,true,true,1.2
45,true,false,false,false,false,1.2
46,true,false,false,true,false,1.2
47,true,false,true,false,false,1.2
48,true,true,false,false,false,1.2
49,true,false,true,true,false,1.2
50,true,true,false,true,false,1.2
51,true,false,false,false,true,1.01
52,true,false,false,true,true,1.01
53,true,false,true,false,true,1.01
54,true,true,false,false,true,1.01
55,true,false,true,true,true,1.01
56,true,true,false,true,true,1.01
57,true,false,false,false,false,1.01
58,true,false,false,true,false,1.01
59,true,false,true,false,false,1.01
60,true,true,false,false,false,1.01
61,true,false,true,true,false,1.01
62,true,true,false,true,false,1.01
63,false,false,false,false,true,0.0
64,false,false,false,true,true,0.0
65,false,false,true,false,true,0.0
66,false,true,false,false,true,0.0
67,false,false,true,true,true,0.0
68,false,true,false,true,true,0.0
69,false,false,false,false,false,0.0
70,false,false,false,true,false,0.0
71,false,false,true,false,false,0.0
72,false,true,false,false,false,0.0
73,false,false,true,true,false,0.0
74,false,true,false,true,false,0.0
75,true,true,true,false,true,1.01
76,true,true,true,false,true,1.2
77,true,true,true,false,true,1.5
