Index,0 [0x0][0x0],1 [0x3][0x4],2 [0x19][0x5],3 [0x1a][0x5]
0,"",0,true,false
1,"Kampferfolge",1,true,false
2,"Dungeons",1,true,false
3,"Prüfungen",1,true,false
4,"Raids",1,true,false
5,"Wolfshöhle",1,true,false
6,"Front",1,true,false
7,"Hohe Jagd",1,true,false
8,"Schatzsuche",1,true,false
9,"Charakter",2,true,false
10,"Krieger",2,true,false
11,"Magier",2,true,false
12,"Handwerker",2,true,false
13,"Sammler",2,true,false
14,"PvP",2,true,false
15,"Ehrungen",2,true,false
16,"Gold Saucer",2,true,false
17,"Gegenstände",4,true,false
18,"Vermögen",4,true,false
19,"Verwertung",4,true,false
20,"Sammlerstücke",4,true,false
21,"Materia",4,true,false
22,"Zimmerer",5,true,false
23,"Grobschmied",5,true,false
24,"Plattner",5,true,false
25,"Goldschmied",5,true,false
26,"Gerber",5,true,false
27,"Weber",5,true,false
28,"Alchemist",5,true,false
29,"Gourmet",5,true,false
30,"Minenarbeiter",6,true,false
31,"Gärtner",6,true,false
32,"Fischer",6,true,false
33,"Aufträge",8,true,false
34,"Freibriefe",8,true,false
35,"Wilde Stämme",8,true,false
36,"Saisonale Ereignisse",8,true,true
37,"La Noscea",11,true,false
38,"Finsterwald",11,true,false
39,"Thanalan",11,true,false
40,"Coerthas",11,true,false
41,"Mor Dhona",11,true,false
42,"Abalathia",11,true,false
43,"Dravania",11,true,false
44,"Staatliche Gesellschaften",12,true,false
45,"Mahlstrom",12,true,false
46,"Bruderschaft",12,true,false
47,"Legion",12,true,false
48,"Kampferfolge",13,true,false
49,"Vermögen",13,true,false
50,"Sammeln",13,true,false
51,"Aufträge",13,true,false
52,"Saisonale Ereignisse",13,true,false
53,"Dungeons",13,true,false
54,"Erkundungen",13,true,false
55,"Staatliche Gesellschaften",13,true,false
56,"",0,true,false
57,"",0,true,false
58,"",0,true,false
59,"",0,true,false
60,"",0,true,false
61,"",0,true,false
62,"",0,true,false
63,"",0,true,false
64,"",0,true,false
65,"",0,true,false
66,"",0,true,false
