Index,0 [0x5][0xc],1 [0x3][0xe],2 [0x3][0xf],3 [0x7][0x0],4 [0x3][0x10],5 [0x7][0x4],6 [0x7][0x8],7 [0x19][0x11],8 [0x1a][0x11]
196608,0,0,0,0,0,0,0,false,false
196609,1,13,0,0,0,0,6601,false,false
196610,2,13,0,0,0,0,6602,false,false
196611,3,13,0,0,0,0,6603,false,false
196612,4,12,0,0,0,0,6513,false,false
196613,5,12,0,0,0,0,6515,false,false
196614,6,12,0,0,0,0,6514,false,false
196615,7,13,0,0,0,0,6548,false,false
196616,8,13,0,0,0,0,6613,false,false
196617,9,13,0,0,0,0,6621,false,false
196618,10,12,0,0,0,0,6541,false,false
196619,11,14,0,0,0,0,6635,false,false
196620,12,15,0,0,0,0,6657,false,false
196621,13,12,0,0,0,0,6524,false,false
196622,14,15,0,0,0,0,6659,false,false
196623,15,12,0,0,0,0,6544,false,false
196624,16,12,0,0,0,0,6594,false,false
196625,17,12,0,0,0,0,6595,false,false
196626,18,12,0,0,0,0,6542,false,false
196627,19,12,0,0,3,720995,6559,false,true
196628,20,15,0,0,0,0,6656,false,false
196629,21,15,0,0,0,0,6658,false,false
196630,22,12,0,0,25,720906,7064,false,false
196631,23,12,5,8,22,721048,7065,true,false
196632,24,12,5,9,22,721048,7066,true,false
196633,25,16,0,0,0,0,6674,false,false
196634,26,16,0,0,0,0,6675,false,false
196635,27,16,0,0,0,0,6682,false,false
196636,28,12,0,0,0,0,6573,false,false
196637,29,12,0,0,0,0,6576,false,false
196638,30,15,0,0,0,0,6662,false,false
196639,31,14,0,0,0,0,6649,false,false
196640,32,15,0,0,0,0,6663,false,false
196641,33,13,0,0,0,0,6622,false,false
196642,34,13,0,0,0,0,6623,false,false
196643,35,13,0,0,0,0,6624,false,false
196644,36,13,0,0,0,0,6629,false,false
196645,37,12,5,10,22,721048,7067,true,false
196646,38,12,5,11,22,721048,7068,true,false
196647,39,12,5,12,22,721048,7069,true,false
196648,40,16,0,0,0,0,6679,false,false
196649,41,16,0,0,0,0,6680,false,false
196650,42,16,0,0,0,0,6681,false,false
196651,43,12,5,13,22,721048,7070,true,false
196652,44,12,5,14,22,721048,7071,true,false
196653,45,12,5,15,22,721048,7072,true,false
196654,46,16,0,0,0,0,6676,false,false
196655,47,16,0,0,0,0,6677,false,false
196656,48,16,0,0,0,0,6678,false,false
196657,49,12,0,0,4,0,6591,false,false
196658,50,12,0,0,5,0,6593,false,false
196659,51,12,0,0,6,0,6592,false,false
196660,52,15,0,0,7,0,6665,true,false
196661,53,12,0,0,9,0,6536,true,false
196662,54,12,0,0,0,0,6575,false,false
196663,55,12,0,0,0,0,6578,false,false
196664,56,12,0,0,0,0,6574,false,false
196665,57,12,0,0,0,0,6577,false,false
196666,58,16,0,0,0,0,6683,false,false
196667,59,16,0,0,0,0,6684,false,false
196668,60,15,0,0,8,0,6666,true,false
196669,61,12,0,0,10,0,6537,true,false
196670,62,12,0,0,0,0,6523,false,false
196671,63,12,0,0,0,0,6533,false,false
196672,64,12,0,0,0,0,6579,false,false
196673,65,12,0,0,0,0,6596,false,false
196674,66,14,0,0,0,0,6650,false,false
196675,67,13,0,0,0,0,6610,false,false
196676,68,12,0,0,0,0,6519,false,false
196677,69,13,0,0,0,0,6625,false,false
196678,70,15,0,0,0,0,6664,false,false
196679,71,12,0,0,0,0,6597,false,false
196680,72,12,0,0,0,0,6590,false,false
196681,73,13,0,0,0,0,6634,false,false
196682,74,12,0,0,0,0,6598,false,false
196683,75,12,0,0,0,0,6552,false,false
196684,76,13,0,0,0,0,6619,false,false
196685,77,12,0,0,0,0,6520,false,false
196686,78,13,0,0,0,0,6615,false,false
196687,79,12,0,0,0,0,6535,false,false
196688,80,12,0,0,0,0,6569,false,false
196689,81,12,0,0,0,0,6563,false,false
196690,82,12,0,0,0,0,6586,false,false
196691,83,14,0,0,0,0,6636,false,false
196692,84,14,0,0,0,0,6637,false,false
196693,85,14,0,0,0,0,6638,false,false
196694,86,13,0,0,0,0,6604,false,false
196695,87,13,0,0,0,0,6626,false,false
196696,88,12,0,0,0,0,6517,false,false
196697,89,12,0,0,0,0,6570,false,false
196698,90,13,0,0,0,0,6564,false,false
196699,91,12,0,0,0,0,6580,false,false
196700,92,14,0,0,0,0,6643,false,false
196701,93,14,0,0,0,0,6648,false,false
196702,94,13,0,0,0,0,6609,false,false
196703,95,13,0,0,0,0,6614,false,false
196704,96,13,0,0,0,0,6633,false,false
196705,97,12,0,0,0,0,6518,false,false
196706,98,12,0,0,0,0,6571,false,false
196707,99,12,0,0,0,0,6565,false,false
196708,100,12,0,0,0,0,6581,false,false
196709,101,14,0,0,0,0,6642,false,false
196710,102,15,0,0,0,0,6667,false,false
196711,103,13,0,0,0,0,6620,false,false
196712,104,12,0,0,0,0,6521,false,false
196713,105,15,0,0,0,0,6668,false,false
196714,106,15,0,0,0,0,6669,false,false
196715,107,14,0,0,0,0,6652,false,false
196716,108,15,0,0,0,0,6670,false,false
196717,109,14,0,0,0,0,6653,false,false
196718,110,14,0,0,0,0,6654,false,false
196719,111,14,0,0,0,0,6655,false,false
196720,112,12,0,0,0,721037,6587,false,false
196721,113,12,0,0,0,721037,6588,false,false
196722,114,12,0,0,0,721037,6589,false,false
196723,115,12,0,0,19,0,6599,false,false
196724,116,14,0,0,0,0,7073,false,false
196725,117,12,0,0,0,0,6526,false,false
196726,118,12,0,0,0,0,6553,false,false
196727,119,13,0,0,0,0,6538,false,false
196728,120,13,0,0,0,0,6556,false,false
196729,121,12,0,0,0,0,6545,false,false
196730,122,15,0,0,0,0,7074,false,false
196731,123,12,0,0,0,0,6527,false,false
196732,124,12,0,0,0,0,6555,false,false
196733,125,13,0,0,0,0,6540,false,false
196734,126,13,0,0,0,0,6558,false,false
196735,127,12,0,0,0,0,6547,false,false
196736,128,13,0,0,0,0,7075,false,false
196737,129,12,0,0,0,0,6528,false,false
196738,130,12,0,0,0,0,6554,false,false
196739,131,13,0,0,0,0,6539,false,false
196740,132,13,0,0,0,0,6557,false,false
196741,133,12,0,0,0,0,6546,false,false
196742,134,13,0,0,0,0,7076,false,false
196743,135,16,0,0,0,0,6685,false,false
196744,136,12,0,0,0,0,6572,false,false
196745,137,12,0,0,0,0,6516,false,false
196746,138,12,0,0,0,0,6582,false,false
196747,139,16,0,0,0,0,6673,false,false
196748,140,13,0,0,17,0,6605,true,false
196749,141,12,0,0,0,0,6522,true,false
196750,142,12,0,0,0,0,7077,false,false
196751,143,14,0,0,0,0,6639,false,false
196752,144,14,0,0,0,0,6641,false,false
196753,145,14,0,0,0,0,6640,false,false
196754,146,12,0,0,0,0,6583,false,false
196755,147,12,0,0,0,0,6585,false,false
196756,148,12,0,0,0,0,6584,false,false
196757,149,14,0,0,0,0,6644,false,false
196758,150,14,0,0,0,0,6646,false,false
196759,151,14,0,0,0,0,6645,false,false
196760,152,15,0,0,0,0,6661,false,false
196761,153,15,0,0,0,0,6660,false,false
196762,154,12,0,0,0,0,6550,false,false
196763,155,12,0,0,0,0,6529,false,false
196764,156,12,0,0,0,0,6531,false,false
196765,157,12,0,0,0,0,6530,false,false
196766,158,12,0,0,0,0,6532,false,false
196767,159,12,0,0,0,0,6534,false,false
196768,160,12,0,0,0,0,6543,false,false
196769,161,12,0,0,0,0,6525,false,false
196770,162,12,0,0,0,0,6551,false,false
196771,163,12,0,0,0,0,6549,false,false
196772,164,13,0,0,0,0,6627,false,false
196773,165,13,0,0,0,0,6628,false,false
196774,166,13,0,0,0,0,6630,false,false
196775,167,13,0,0,0,0,6632,false,false
196776,168,13,0,0,0,0,6631,false,false
196777,169,13,0,0,0,0,6606,false,false
196778,170,13,0,0,0,0,6608,false,false
196779,171,13,0,0,0,0,6607,false,false
196780,172,13,0,0,0,0,6612,false,false
196781,173,13,0,0,0,0,6611,false,false
196782,174,13,0,0,0,0,6616,false,false
196783,175,13,0,0,0,0,6617,false,false
196784,176,13,0,0,0,0,6618,false,false
196785,177,12,0,0,0,0,6566,false,false
196786,178,12,0,0,0,0,6568,false,false
196787,179,12,0,0,0,0,6567,false,false
196788,180,12,0,0,0,0,6560,false,false
196789,181,12,0,0,0,0,6562,false,false
196790,182,12,0,0,0,0,6561,false,false
196791,183,14,0,0,0,0,6647,false,false
196792,184,14,0,0,0,0,6651,false,false
196793,185,15,0,0,0,0,6671,false,false
196794,186,15,0,0,16,0,6672,true,false
196795,187,12,0,0,0,0,7078,false,false
196796,188,12,0,0,0,0,7079,false,false
196797,189,12,0,0,0,0,7080,false,false
196798,190,12,0,0,0,0,7081,false,false
196799,191,15,0,0,0,0,7082,false,false
196800,192,16,0,0,0,0,7083,false,false
196801,193,12,0,0,0,0,7084,false,false
196802,194,14,0,0,0,0,7085,false,false
196803,195,14,0,0,0,0,7086,false,false
196804,196,13,0,0,0,0,7087,false,false
196805,197,12,0,0,0,0,7088,false,false
196806,198,13,0,0,0,0,7089,false,false
196807,199,12,0,0,0,0,7090,false,false
196808,200,12,0,0,0,0,7091,false,false
196809,201,16,0,0,0,0,7092,false,false
196810,202,15,0,0,0,0,7093,false,false
196811,203,14,0,0,0,0,7094,false,false
196812,204,15,0,0,0,0,7095,false,false
196813,205,15,0,0,0,0,7096,false,false
196814,206,15,0,0,0,0,7097,false,false
196815,207,0,0,0,0,0,0,false,false
196816,208,12,0,0,0,0,7098,false,false
196817,209,16,0,0,0,0,7099,false,false
196818,210,12,9,1,36,721112,8838,false,false
196819,211,16,0,0,26,721037,7100,true,false
196820,212,0,0,0,0,0,0,false,false
196821,213,0,0,0,0,0,0,false,false
196822,214,0,0,0,0,0,0,false,false
196823,215,0,0,0,0,0,0,false,false
196824,216,0,0,0,0,0,0,false,false
196825,217,0,0,0,0,0,0,false,false
196826,218,0,0,0,0,0,0,false,false
196827,219,0,0,0,0,0,0,false,false
196828,220,0,0,0,0,0,0,false,false
196829,221,0,0,0,0,0,0,false,false
196830,222,0,0,0,0,0,0,false,false
196831,223,0,0,0,0,0,0,false,false
196832,224,16,0,0,27,721037,7101,true,false
