Index,0 [0x0][0x0],1 [0x2][0x14],2 [0x0][0x4],3 [0x2][0x15],4 [0x2][0x16],5 [0x2][0x17],6 [0x2][0x18],7 [0x2][0x19],8 [0x0][0x8],9 [0x0][0xc],10 [0x0][0x10],11 [0x6][0x58],12 [0x5][0x6c],13 [0x3][0x78],14 [0x3][0x79],15 [0x3][0x7a],16 [0x5][0x6e],17 [0x5][0x70],18 [0x9][0x28],19 [0x9][0x40],20 [0x9][0x2c],21 [0x9][0x44],22 [0x9][0x30],23 [0x9][0x48],24 [0x9][0x34],25 [0x9][0x4c],26 [0x9][0x38],27 [0x9][0x50],28 [0x9][0x3c],29 [0x9][0x54],30 [0x5][0x72],31 [0x0][0x1c],32 [0x0][0x20],33 [0x0][0x24],34 [0x3][0x7b],35 [0x3][0x7c],36 [0x19][0x83],37 [0x6][0x5c],38 [0x6][0x60],39 [0x6][0x64],40 [0x6][0x68],41 [0x2][0x82],42 [0x5][0x74],43 [0x3][0x7d],44 [0x3][0x7e],45 [0x3][0x7f],46 [0x3][0x80],47 [0x3][0x81],48 [0x5][0x76],49 [0x1a][0x83],50 [0x1b][0x83],51 [0x1c][0x83]
0,"",0,"",0,0,1,0,0,"","","",0,0,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,"","","",10,10,true,0,0,0,0,-1,0,0,100,0,0,0,0,false,false,false
1,"chocobo destrier",0,"chocobos destriers",0,0,1,0,0,"Vous appelez le chocobo de bataille que votre grande compagnie vous a alloué.","Les grandes compagnies se fournissent auprès des meilleurs haras ishgardais pour obtenir leurs montures. Les roussins sont destinés aux soldats de taille moyenne, les robustes destriers aux Roegadyns, et les petits genets belahdiens\naux Lalafells.","Kwé!",1,2,2,45,15,374,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,true,65536,65536,65537,0,0,4401,1,100,0,0,0,0,false,false,false
2,"",0,"",0,0,1,0,0,"","","",1,3,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,61,"","","SE_Bt_Etc_ChocoboBye",20,20,true,65537,65537,65537,65537,-1,0,0,100,0,0,0,0,false,false,false
3,"",0,"",0,0,1,0,0,"","","",1,3,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,61,"","","SE_Bt_Etc_ChocoboBye",2,9,true,65552,65552,65537,0,-1,0,0,100,0,0,0,0,false,false,false
4,"goobbue",0,"goobbues",0,0,1,0,0,"La corne de forme étrange que vous a donnée le ménestrel errant vous permet d'appeler un énorme goobbue.","Le ménestrel errant vous a offert en gage de reconnaissance une corne magique permettant d'appeler un goobbue. Ces animaux ne sont généralement pas dociles, mais celui-ci est semble-t-il un mélomane qui a suivi le barde\ndurant ses voyages dans tout\nÉorzéa, charmé par sa musique.","(bâillement)",200,4,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,true,0,1,0,0,1,4403,4,100,0,0,0,1,false,true,false
5,"chocobo Legacy",0,"chocobos Legacy",0,0,1,0,0,"Le ravage du continent par le Fléau et cinq longues années n'ont pas réussi à affecter ce courageux animal. Il sera à vos côtés d'un simple coup de sifflet.","Vous ne pensiez pas revoir votre chère monture après votre saut dans l'avenir. C'était sans compter sur la fidélité et la ténacité de votre chocobo, qui a su vous retrouver après avoir erré cinq ans sans jamais accepter d'autre maître.","Kwéé!!",1,2,2,45,15,374,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,true,65545,65545,65545,65545,2,4402,1,100,0,0,0,0,false,false,false
6,"armure magitek",0,"armures magitek",0,1,1,1,0,"Vous pouvez appeler à vous une armure magitek, qui a été modifiée par les ingénieurs des Forges de Garlond sous la direction de Cid.","Une armure magitek impériale de type faucheuse. Cid et ses ingénieurs l'ont modifiée, en incorporant notamment un noyau magnétique similaire à ceux utilisés dans la fabrication des pantins.","Identification en cours...",2,2,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,262,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,true,0,131073,0,0,3,4406,3,77,0,0,0,2,false,true,false
7,"",0,"",0,0,1,0,0,"","","",311,5,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"","","",0,0,true,0,1,0,0,-1,0,0,100,0,0,0,0,false,false,false
8,"coeurl",0,"coeurls",0,0,1,0,0,"Vous pouvez appeler un coeurl de combat, entraîné depuis son plus jeune âge pour voir en vous un<if:e/none> ami<if:e/none>... et non pas de la nourriture.","À l'état sauvage, ces félins sont redoutés pour leur incroyable rapidité et leur férocité. Mais au Proche-Orient, dont ils sont originaires, ils sont dressés grâce à des méthodes particulières inconnues des Éorzéens et sont utilisés comme monture. Le vôtre aurait été élevé à Thavnair.","(feulement)",70,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.1,0.82,121,"SE_Bt_Etc_CuahrWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_CuahrBye",20,10,true,0,1,0,0,4,4405,5,60,0,0,0,0,false,false,false
9,"ahriman",0,"ahrimans",0,1,1,0,0,"Vous appelez votre monture ahriman, une entité entraînée pour garder toujours l'œil sur vous.","Le néant est une dimension par nature méconnue, mais les savants s'accordent généralement pour hiérarchiser les créatures qui l'habitent sur douze rangs. Les ahrimans feraient partie du cinquième.","(regard fixe)",167,2,0,45,15,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,121,"SE_Bt_Etc_AhrimanWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_AhrimanBye",20,10,true,0,1,0,0,5,4404,6,100,0,0,0,0,true,false,false
