Index,0 [0x7][0x0],1 [0x5][0x8],2 [0x7][0x4],3 [0x19][0xa]
0,0,0,0,false
1,4785,2,66501,false
2,4777,2,66502,false
3,4778,2,66503,false
4,4782,2,66504,false
5,4804,2,66505,false
6,4787,2,66506,false
7,4821,2,66507,false
8,4788,2,66508,false
9,4789,2,66509,false
10,6148,2,66510,false
11,4809,3,66551,false
12,4808,3,66552,false
13,4810,3,66553,false
14,4811,3,66554,false
15,4812,3,66555,false
16,4814,3,66556,false
17,6146,3,66557,false
18,4815,3,66558,false
19,6147,3,66559,false
20,4816,3,66560,false
21,4829,1,66601,false
22,5539,1,66602,false
23,4830,1,66603,false
24,4835,1,66604,false
25,4836,1,66605,false
26,5542,1,66606,false
27,5346,1,66607,false
28,4837,1,66608,false
29,5543,1,66609,false
30,4842,1,66610,false
31,7768,1,66651,false
32,7769,1,66652,false
33,7770,1,66653,false
34,7602,1,66654,false
35,7603,2,66655,false
36,7604,3,66656,false
37,7592,3,66657,false
38,7593,2,66661,false
39,7591,1,66660,false
40,7773,3,66701,true
41,7774,1,66702,true
42,7775,3,66703,true
43,7776,1,66704,true
44,7894,4,66511,false
45,7895,4,66512,false
46,7897,4,66513,false
47,7898,4,66508,false
48,7900,4,66510,false
49,8165,4,66503,false
50,8166,4,66502,true
51,8192,5,66662,true
52,8193,5,66663,true
53,8194,5,66664,true
54,8195,5,66665,true
55,8196,5,66666,true
56,8023,1,66667,true
57,4868,4,66514,false
58,8157,4,66553,false
59,8158,4,66555,false
60,8159,4,66515,false
61,8160,4,66556,false
62,8161,4,66552,false
63,8162,4,66560,false
64,8163,4,66554,false
65,0,0,0,false
66,0,0,0,false
67,0,0,0,false
68,0,0,0,false
69,0,0,0,false
70,0,0,0,false
