Index,0 [0x0][0x0],1 [0x3][0x4],2 [0x3][0x5]
0,"Ungültige Kategorie",0,0
1,"Hauptszenario - A Realm Reborn",2,1
2,"Hauptszenario - Heavensward",2,1
3,"Chroniken der neuen Ära",2,1
4,"Aufträge der Amalj'aa",2,1
5,"Aufträge der Sylphen",2,1
6,"Aufträge der Kobolde",2,1
7,"Aufträge der Sahagin",2,1
8,"Aufträge der Ixal",2,1
9,"Szenario-Nebenaufträge",2,1
10,"Aufträge La Noscea",3,1
11,"Aufträge Finsterwald",3,1
12,"Aufträge Thanalan",3,1
13,"Aufträge Coerthas",3,1
14,"Aufträge Mor Dhona",3,1
15,"Aufträge Ishgard",3,1
16,"Aufträge Abalathia",3,1
17,"Aufträge Dravania",3,1
18,"Aufträge Azys Lla",3,1
19,"Gildenaufträge",2,1
20,"Jobaufträge",2,1
21,"Staatliche Gesellschaften",2,1
22,"Saisonale Aufträge",1,1
23,"Sonstige Aufträge",2,1
24,"Gefechtserlasse",3,2
25,"Minenarbeiter-Freibriefe",3,2
26,"Gärtner-Freibriefe",3,2
27,"Fischer-Freibriefe",3,2
28,"Zimmerer-Freibriefe",3,2
29,"Grobschmied-Freibriefe",3,2
30,"Plattner-Freibriefe",3,2
31,"Goldschmied-Freibriefe",3,2
32,"Gerber-Freibriefe",3,2
33,"Weber-Freibriefe",3,2
34,"Alchemisten-Freibriefe",3,2
35,"Gourmet-Freibriefe",3,2
36,"Ishgarder Gefechtserlasse",3,2
37,"Ishgarder Minenarbeiter-Freibriefe",3,2
38,"Ishgarder Gärtner-Freibriefe",3,2
39,"Ishgarder Fischer-Freibriefe",3,2
40,"Ishgarder Zimmerer-Freibriefe",3,2
41,"Ishgarder Grobschmied-Freibriefe",3,2
42,"Ishgarder Plattner-Freibriefe",3,2
43,"Ishgarder Goldschmied-Freibriefe",3,2
44,"Ishgarder Gerber-Freibriefe",3,2
45,"Ishgarder Weber-Freibriefe",3,2
46,"Ishgarder Alchemisten-Freibriefe",3,2
47,"Ishgarder Gourmet-Freibriefe",3,2
48,"Fraktionserlasse",2,2
49,"Staatserlasse",2,2
50,"Missionen",2,3
51,"6. Ära des Lichts",2,4
