Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x6][0x8],3 [0x5][0xc],4 [0x3][0xe],5 [0x19][0xf],6 [0x1a][0xf]
0,"","",405,0,0,false,false
1,"Lauf","Du schickst deinen Familiar weg.",530,0,0,false,false
2,"Bei Fuß","Du befiehlst deinem Familiar, dir zu folgen.",529,0,0,false,false
3,"Dorthin","Du befiehlst deinem Familiar, an einen bestimmten Ort zu gehen.",527,0,0,false,false
4,"Bleib","Du befiehlst deinem Familiar, hier zu warten.",528,0,0,false,false
5,"Schütz","Du lässt deinen Familiar angreifen, sobald du selbst einen Angriff startest oder ihr angegriffen werdet.",531,0,0,false,false
6,"Aus","Du befiehlst deinem Familiar, nicht anzugreifen, bis du das Zeichen dazu gibst.",532,0,0,false,false
7,"Fass","Du lässt deinen Familiar angreifen.",525,0,0,false,false
8,"Gib Acht","Du lässt deinen Familiar angreifen, aber bei einigen Kommandos wartet er noch auf dein Zeichen.",526,0,0,false,false
9,"Böe","Führt eine windbasierte magische Attacke aus.\nAttacke-Wert: 90",561,637,1,false,false
10,"Rückstoß","Schleudert den Gegner mit einer windbasierten magischen Attacke um 15y zurück.\nAttacke-Wert: 80\nBei der Haltung „Gib Acht“ wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",563,638,1,true,false
11,"Fallböe","Führt eine windbasierte magische Attacke auf das Ziel und alle umstehenden Gegner aus.\nAttacke-Wert: 80\nBei der Haltung „Gib Acht“ wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",562,639,1,true,false
12,"Glanzsmaragd","Verlängert die Wirkungsdauer des Schadens über Zeit, den du dem Ziel zugefügt hast, um 15 Sekunden.\nBei der Haltung „Gib Acht“ wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",564,640,1,true,false
13,"Ausstemmen","Führt eine erdbasierte magische Attacke auf das Ziel aus.\nAttacke-Wert: 70\nZusatzeffekt: Erhöhte Feindseligkeit",551,633,2,false,false
14,"Glanztopas","Führt eine erdbasierte magische Attacke auf alle umstehenden Gegner aus.\nAttacke-Wert: 60\nZusatzeffekt: Erhöhte Feindseligkeit\nBei der Haltung „Gib Acht“ wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",552,634,2,true,false
15,"Einrollen","Vermindert den Schaden, den der Familiar erleidet, um 20 %.\nWirkungsdauer: 20 Sekunden\nBei der Haltung „Gib Acht“ wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",553,635,2,true,false
16,"Ansturm","Führt eine erdbasierte magische Attacke aus.\nAttacke-Wert: 60\nZusatzeffekt: Betäubung\nWirkungsdauer: 2 Sekunden\nBei der Haltung „Gib Acht“ wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",554,636,2,true,false
17,"Windklinge","Führt eine windbasierte magische Attacke aus.\nAttacke-Wert: 100",2711,792,5,false,false
18,"Schockwelle","Schleudert das Ziel mit einer windbasierten magischen Attacke um 15y zurück.\nAttacke-Wert: 90\nBei der Haltung „Gib Acht“ wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",2713,793,5,true,false
19,"Lufthieb","Führt eine windbasierte magische Attacke auf das Ziel und Gegner in seinem Umkreis aus.\nAttacke-Wert: 90\nBei der Haltung „Gib Acht“ wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",2712,794,5,true,false
20,"Infektion","Verlängert die Wirkungsdauer des Schadens über Zeit, den du dem Ziel zugefügt hast, um 15 Sekunden.\nBei der Haltung „Gib Acht“ wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",2714,795,5,true,false
21,"Windschlag","Führt eine windbasierte magische Attacke auf das Ziel und Gegner in seinem Umkreis aus.\nAttacke-Wert: 250\nWird ausgeführt, wenn du „Entflammung“ einsetzt.",2715,796,5,false,true
22,"Steinsprenger","Führt eine erdbasierte magische Attacke aus.\nAttacke-Wert: 85\nZusatzeffekt: Erhöhte Feindseligkeit",2701,787,4,false,false
23,"Bergsprenger","Führt eine erdbasierte magische Attacke auf die Gegner im Umkreis aus.\nAttacke-Wert: 70\nZusatzeffekt: Erhöhte Feindseligkeit\nBei der Haltung „Gib Acht“ wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",2702,788,4,true,false
24,"Erdengewahrsam","Reduziert den Schaden, den der Familiar selbst erleidet, um 20 %.\nDauer: 20 Sekunden\nBei der Haltung „Gib Acht“ wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",2703,789,4,true,false
