Index,0 [0x3][0x4],1 [0x0][0x0]
0,1,"Rollenspiel"
1,2,"Stufenaufstieg"
2,3,"Gelegenheitsspieler"
3,4,"Hardcore"
4,6,"Gildengeheiße"
5,7,"Prüfungen"
6,5,"Dungeons"
7,8,"Raids"
8,9,"PvP"
9,0,""
10,0,""
11,0,""
12,0,""
13,0,""
14,0,""
15,0,""
16,51,"Verteidiger"
17,52,"Heiler"
18,53,"Angreifer"
19,54,"Handwerker"
20,55,"Sammler"
21,0,""
22,0,""
23,0,""
24,0,""
25,0,""
26,0,""
27,0,""
28,0,""
29,0,""
30,0,""
31,0,""
32,101,"Unter der Woche"
33,101,"Am Wochenende"
34,0,""
35,0,""
36,0,""
37,0,""
38,0,""
39,0,""
40,151,"Anträge"
41,152,"Vorläufige Anträge"
42,0,""
43,0,""
44,0,""
45,0,""
46,0,""
47,0,""
48,0,""
49,0,""
50,0,""
51,0,""
52,0,""
53,0,""
54,0,""
55,0,""
56,0,""
57,0,""
58,0,""
59,0,""
60,0,""
61,0,""
62,0,""
63,0,""
