Index,0 [0x0][0x0]
0,""
1," Gathering Rate +<value>%"
2," Gathering Rate x <value>"
3," Gathering Rate <value>%"
4," High-level Item Gathering Rate +<value>%"
5," High-level Item Gathering Rate x <value>"
6," High-level Item Gathering Rate <value>%"
7," Low-level Item Gathering Rate +<value>%"
8," Low-level Item Gathering Rate x <value>"
9," Low-level Item Gathering Rate <value>%"
10," Gathering Fortune +<value>%"
11," Gathering Fortune x <value>"
12," Gathering Fortune <value>%"
13," Gathering Yield +<value>"
14," Gathering Yield x <value>"
15," Gathering Yield = <value>"
16," Gathering Attempts +<value>"
17," Hidden Item Discovery x<value>%"
