Index,0 [0x0][0x0],1 [0x3][0x4],2 [0x3][0x5]
0,"無効カテゴリ",0,0
1,"メインクエスト：新生エオルゼア",2,1
2,"メインクエスト：蒼天のイシュガルド",2,1
3,"クロニクルクエスト",2,1
4,"蛮族クエスト：アマルジャ",2,1
5,"蛮族クエスト：シルフ",2,1
6,"蛮族クエスト：コボルド",2,1
7,"蛮族クエスト：サハギン",2,1
8,"蛮族クエスト：イクサル",2,1
9,"サブストーリークエスト",2,1
10,"サブクエスト：ラノシア",3,1
11,"サブクエスト：黒衣森",3,1
12,"サブクエスト：ザナラーン",3,1
13,"サブクエスト：クルザス",3,1
14,"サブクエスト：モードゥナ",3,1
15,"サブクエスト：イシュガルド",3,1
16,"サブクエスト：アバラシア",3,1
17,"サブクエスト：ドラヴァニア",3,1
18,"サブクエスト：アジス・ラー",3,1
19,"クラスクエスト",2,1
20,"ジョブクエスト",2,1
21,"グランドカンパニークエスト",2,1
22,"シーズナルイベント",1,1
23,"エトセトラクエスト",2,1
24,"ギルドリーヴ：傭兵稼業",3,2
25,"ギルドリーヴ：採掘師",3,2
26,"ギルドリーヴ：園芸師",3,2
27,"ギルドリーヴ：漁師",3,2
28,"ギルドリーヴ：木工師",3,2
29,"ギルドリーヴ：鍛冶師",3,2
30,"ギルドリーヴ：甲冑師",3,2
31,"ギルドリーヴ：彫金師",3,2
32,"ギルドリーヴ：革細工師",3,2
33,"ギルドリーヴ：裁縫師",3,2
34,"ギルドリーヴ：錬金術師",3,2
35,"ギルドリーヴ：調理師",3,2
36,"神殿騎士団リーヴ：傭兵稼業",3,2
37,"神殿騎士団リーヴ：採掘師",3,2
38,"神殿騎士団リーヴ：園芸師",3,2
39,"神殿騎士団リーヴ：漁師",3,2
40,"神殿騎士団リーヴ：木工師",3,2
41,"神殿騎士団リーヴ：鍛冶師",3,2
42,"神殿騎士団リーヴ：甲冑師",3,2
43,"神殿騎士団リーヴ：彫金師",3,2
44,"神殿騎士団リーヴ：革細工師",3,2
45,"神殿騎士団リーヴ：裁縫師",3,2
46,"神殿騎士団リーヴ：錬金術師",3,2
47,"神殿騎士団リーヴ：調理師",3,2
48,"ギルドリーヴ：ファクション",2,2
49,"グランドカンパニーリーヴ",2,2
50,"インスタンスコンテンツ",2,3
51,"レガシークエスト",2,4
