Index,0 [0x0][0x0],1 [0x2][0x8],2 [0x0][0x4],3 [0x2][0x9],4 [0x2][0xa],5 [0x2][0xb],6 [0x2][0xc],7 [0x2][0xd],8 [0x5][0x48],9 [0x3][0x4a],10 [0x6][0x10],11 [0x6][0x14],12 [0x6][0x18],13 [0x6][0x1c],14 [0x6][0x20],15 [0x6][0x24],16 [0x6][0x28],17 [0x6][0x2c],18 [0x6][0x30],19 [0x6][0x34],20 [0x6][0x38],21 [0x6][0x3c],22 [0x6][0x40],23 [0x6][0x44]
262144,"",0,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262145,"maisonnette en bois noscéenne",0,"maisonnettes en bois noscéennes",0,0,1,1,0,22,0,6347,6374,6401,6410,6455,6458,6461,0,0,0,6455,6458,6461,0
262146,"maisonnette composite noscéenne",0,"maisonnettes composites noscéennes",0,0,1,1,0,22,0,6348,6375,6402,6411,6455,6458,6461,0,0,0,6455,6458,6461,0
262147,"maisonnette en pierre noscéenne",0,"maisonnettes en pierre noscéennes",0,0,1,1,0,22,0,6349,6376,6403,6412,6455,6458,6461,0,0,0,6455,6458,6461,0
262148,"pavillon en bois noscéen",0,"pavillons en bois noscéens",0,0,1,0,0,22,1,6350,6377,6401,6410,6455,6458,6462,6455,6458,6462,6455,6458,6462,0
262149,"pavillon composite noscéen",0,"pavillons composites noscéens",0,0,1,0,0,22,1,6351,6378,6402,6411,6455,6458,6462,6455,6458,6462,6455,6458,6462,0
262150,"pavillon en pierre noscéen",0,"pavillons en pierre noscéens",0,0,1,0,0,22,1,6352,6379,6403,6412,6455,6458,6462,6455,6458,6462,6455,6458,6462,0
262151,"villa en bois noscéenne",0,"villas en bois noscéennes",0,0,1,1,0,22,2,6353,6380,6401,6410,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463
262152,"villa composite noscéenne",0,"villas composites noscéennes",0,0,1,1,0,22,2,6354,6381,6402,6411,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463
262153,"villa en pierre noscéenne",0,"villas en pierre noscéennes",0,0,1,1,0,22,2,6355,6382,6403,6412,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463
262154,"maisonnette en bois sombrelinçoise",0,"maisonnettes en bois sombrelinçoises",0,0,1,1,0,23,0,6356,6383,6404,6413,6456,6459,6464,0,0,0,6456,6459,6464,0
262155,"maisonnette composite sombrelinçoise",0,"maisonnettes composites sombrelinçoises",0,0,1,1,0,23,0,6357,6384,6405,6414,6456,6459,6464,0,0,0,6456,6459,6464,0
262156,"maisonnette en pierre sombrelinçoise",0,"maisonnettes en pierre sombrelinçoises",0,0,1,1,0,23,0,6358,6385,6406,6415,6456,6459,6464,0,0,0,6456,6459,6464,0
262157,"pavillon en bois sombrelinçois",0,"pavillons en bois sombrelinçois",0,0,1,0,0,23,1,6359,6386,6404,6413,6456,6459,6465,6456,6459,6465,6456,6459,6465,0
262158,"pavillon composite sombrelinçois",0,"pavillons composites sombrelinçois",0,0,1,0,0,23,1,6360,6387,6405,6414,6456,6459,6465,6456,6459,6465,6456,6459,6465,0
262159,"pavillon en pierre sombrelinçois",0,"pavillons en pierre sombrelinçois",0,0,1,0,0,23,1,6361,6388,6406,6415,6456,6459,6465,6456,6459,6465,6456,6459,6465,0
262160,"villa en bois sombrelinçoise",0,"villas en bois sombrelinçoises",0,0,1,1,0,23,2,6362,6389,6404,6413,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466
262161,"villa composite sombrelinçoise",0,"villas composites sombrelinçoises",0,0,1,1,0,23,2,6363,6390,6405,6414,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466
262162,"villa en pierre sombrelinçoise",0,"villas en pierre sombrelinçoises",0,0,1,1,0,23,2,6364,6391,6406,6415,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466
262163,"maisonnette en bois thanalanaise",0,"maisonnettes en bois thanalanaises",0,0,1,1,0,24,0,6365,6392,6407,6416,6457,6460,6467,0,0,0,6457,6460,6467,0
262164,"maisonnette composite thanalanaise",0,"maisonnettes composites thanalanaises",0,0,1,1,0,24,0,6366,6393,6408,6417,6457,6460,6467,0,0,0,6457,6460,6467,0
262165,"maisonnette en pierre thanalanaise",0,"maisonnettes en pierre thanalanaises",0,0,1,1,0,24,0,6367,6394,6409,6418,6457,6460,6467,0,0,0,6457,6460,6467,0
262166,"pavillon en bois thanalanais",0,"pavillons en bois thanalanais",0,0,1,0,0,24,1,6368,6395,6407,6416,6457,6460,6468,6457,6460,6468,6457,6460,6468,0
262167,"pavillon composite thanalanais",0,"pavillons composites thanalanais",0,0,1,0,0,24,1,6369,6396,6408,6417,6457,6460,6468,6457,6460,6468,6457,6460,6468,0
262168,"pavillon en pierre thanalanais",0,"pavillons en pierre thanalanais",0,0,1,0,0,24,1,6370,6397,6409,6418,6457,6460,6468,6457,6460,6468,6457,6460,6468,0
262169,"villa en bois thanalanaise",0,"villas en bois thanalanaises",0,0,1,1,0,24,2,6371,6398,6407,6416,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469
262170,"villa composite thanalanaise",0,"villas composites thanalanaises",0,0,1,1,0,24,2,6372,6399,6408,6417,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469
262171,"villa en pierre thanalanaise",0,"villas en pierre thanalanaises",0,0,1,1,0,24,2,6373,6400,6409,6418,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469
262172,"",0,"",0,0,1,0,0,0,0,0,0,0,0,6455,6458,6461,0,0,0,0,0,0,0
262173,"",0,"",0,0,1,0,0,0,0,0,0,0,0,6456,6459,6464,0,0,0,0,0,0,0
262174,"",0,"",0,0,1,0,0,0,0,0,0,0,0,6457,6460,6467,0,0,0,0,0,0,0
