Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x5][0x8],3 [0x3][0xa]
0,"","",0,0
1,"Mahatma of the Ram","assertion",0,0
2,"Mahatma of the Bull","possession",0,0
3,"Mahatma of the Twins","cogitation",0,0
4,"Mahatma of the Crab","commiseration",0,0
5,"Mahatma of the Lion","volition",0,0
6,"Mahatma of the Maiden","interpretation",0,0
7,"Mahatma of the Scales","juxtaposition",0,0
8,"Mahatma of the Scorpion","aspiration",0,0
9,"Mahatma of the Archer","perception",0,0
10,"Mahatma of the Goat","causation",0,0
11,"Mahatma of the Water-bearer","recognition",0,0
12,"Mahatma of the Fish","conviction",0,0
