Index,0 [0x0][0x0],1 [0x2][0xc],2 [0x0][0x4],3 [0x2][0xd],4 [0x2][0xe],5 [0x2][0xf],6 [0x2][0x10],7 [0x2][0x11],8 [0x0][0x8]
0,"0",0,"0",0,0,1,0,0,""
1,"ドードー",0,"0",0,0,1,0,0,"マズラヤ島を原産地とする飛翔力のない大型鳥。丸々としており胸肉は特に美味。採卵のためにキキルン族が大陸に持ち込み、今ではエオルゼアの諸都市でも広く飼養されている。防衛のため口から催眠性の分泌物を噴出する。"
2,"トンベリ",0,"0",0,0,1,0,0,"第五星暦時代に栄えた「ニーム」文明の遺跡内に棲む謎多き民。人のように衣服を着用し、道具も器用に扱うことから知性は高いと思われる。ニーム時代の石板には、「病魔の運び手」などの不吉な記述が見られるという。"
3,"サボテンダー",0,"0",0,0,1,0,0,"乾燥地帯に生息する移動性のサボテン。体内に水分を溜め込むことで、長期間の乾燥に耐えることで知られる。また、過酷な環境を生き残るため、捕食者と認めた相手には幹内に潜む針を発射。積極的な防衛行動をとる。"
4,"スプリガン",0,"0",0,0,1,0,0,"岩場や鉱山に出没する漆黒の魔物。常に貴石を大切に持ち歩いているため｢財宝の守護者｣と呼ばれ、採掘師に敬われている。呪具綱とされる理由は｢彼らは石に操られているに過ぎない｣とする古典『百石大鑑』の分類による。"
5,"プリン",0,"0",0,0,1,0,0,"異界ヴォイドの汚水がたまる沼地で生まれた異形の魔物。獲物をおびき寄せるために人の声色をまねることがあるが、知性は低い。妖異学者たちの分類でも、妖異十二階位の第十位とされており、下級の妖異といえるだろう。"
6,"ボム",0,"0",0,0,1,0,0,"妖異十二階位の第十一位にあたる火球状のガス生命体。人間を含む油脂分を有する動植物を見つけると、自身の燃料とするために見境なく襲いかかる。より高温の者は「グレネード」と呼ばれ、階位も第十位に位置付けられる。"
7,"マンドラゴラ",0,"0",0,0,1,0,0,"第七霊災後に、忽然と姿を現した植物状生物。どこからやって来たのか、さっぱり解らない。どうやら知性らしきものがあるらしく、言語によらないコミュニケーション手段を持つらしいが、まだ研究の途上で詳細は不明である。"
8,"コブラン",0,"0",0,0,1,0,0,"自らの殻を形成する鉱石を求めて這い回る奇妙な魔物。身を守るため背に鉱石を植え付けた動物とするグリダニアの学者と、増殖のために動物の器官を取り込んだ鉱石とするウルダハの学者とで、その解釈は分かれている。"
9,"モルボル",0,"0",0,0,1,0,0,"巻きひげを使って這い回る移動性の大型食獣植物。獲物を誘引するため、また気絶させるために強烈な甘い香りを捕食器官から放つ。多数の牙状の棘は、獲物を噛み砕くためではなく消化しきるまで捕らえておくためにある。"
10,"クァール",0,"0",0,0,1,0,0,"類を見ない獰猛さで恐れられる四脚肉食獣。自在に動かすことができる二本の触角から、電撃を放ち獲物を麻痺させて捕食する。原産は近東地域。エオルゼアに生息するものは、戦闘用に持ち込まれた個体が野生化したもの。"
11,"アーリマン",0,"0",0,0,1,0,0,"動物の眼球を依代にして、物質界に顕現する異界ヴォイド由来の魔物。高い魔力を有しており、空中のエーテルを掻いて浮遊。石化の術にも長けている。なお、妖異学の分類によれば、第四～五位程度の中級の存在とされる。"
12,"グゥーブー",0,"0",0,0,1,0,0,"小山のように巨大な二足獣。頭部に生える苔とは共生関係にあり、カモフラージュとする代わりに、乾期には長い手を使って保水を欠かさない。普段は動きが緩慢だが、空腹時には動くものを片っ端からその大口に放り込む。"
13,"チョコボ",0,"0",0,0,1,0,0,"逞しい脚で大地を駆ける陸生の大型鳥。エオルゼアでは、古来より駄獣や輓獣、騎乗用途に用いられてきた。クルザスが一大生産地として知られるほか、アバラシア山脈の秘境「チョコボの森」には野生種も多いという。"
