Index,0 [0x5][0x8],1 [0x0][0x0],2 [0x0][0x4],3 [0x5][0xa],4 [0x3][0xc]
0,0,"","",0,0
1,0,"Shapeless Melody","",1,109
2,1,"Treasures of the Main","",2,109
3,2,"Legends Adrift","",3,109
4,3,"Never the Twain Shall Meet","",4,109
5,4,"Sundered Skies","",5,109
6,5,"Souls Gone Wild","",6,109
7,6,"Whispers in the Wood","",7,109
8,7,"Beckon of the Elementals","",8,109
9,8,"Flowers for All","",9,109
10,9,"Court in the Sands","",10,109
11,10,"Golden Sacrifices","",11,109
12,11,"Calamity Cometh","",12,109
13,12,"Fade to White","",13,109
14,13,"Together We Stand","",14,109
15,14,"Toll of the Warden","",15,109
16,15,"Forever Taken","",16,109
17,16,"Lord Errant","",17,109
18,17,"Of Men They Sing","",18,109
19,18,"Futures Perfect","",19,109
20,59,"The House Always Wins","",20,111
21,60,"Here There Be Pirates","",21,111
22,61,"Two Sides to Every Chip","",22,111
23,79,"All Bark and No Bite","",23,111
24,80,"Unalienable Rights","",24,111
25,81,"Thrill of the Fight","",25,111
26,99,"Bloody Baptism","",26,111
27,100,"Two-man Crew","",27,111
28,101,"Captain's Orders","",28,111
29,139,"Getting Started","",29,111
30,140,"Getting Started","",30,111
31,141,"Getting Started","",31,111
32,143,"Selecting a Different Path Companion","",32,111
33,159,"Filling the Quiver","",33,111
34,160,"The Foreboding Forest","",34,111
35,161,"There Can Be Only One","",35,111
36,179,"A Wailing Welcome","",36,111
37,180,"Culture Shock","",37,111
38,181,"Necessary Evils","",38,111
39,239,"The Big Payback","",39,111
40,240,"Revelry in Rivalry","",40,111
41,241,"Law and the Order","",41,111
42,259,"Dendrological Duties","",42,111
43,260,"Good Knight, Sweet Dreams","",43,111
44,261,"The Call of Nature","",44,111
45,299,"The Mouths of Babes","",45,111
46,300,"Hide and Seek Shenanigans","",46,111
47,301,"Spanning the Spectrum","",47,111
48,319,"An Ear for Quality","",48,111
49,320,"Song of the Sirens","",49,111
50,321,"The Sound of Silence","",50,111
51,359,"She Walks in Beauty","",51,111
52,360,"F'lhaminn's Flower","",52,111
53,361,"Struck Through the Heart","",53,111
54,379,"The Silent Partners","",54,111
55,380,"Designer Imposters","",55,111
56,381,"Head of the Class","",56,111
57,399,"Hoodwinked","",57,111
58,400,"Dance the Night Away","",58,111
59,401,"A Fruitful Murder","",59,111
60,419,"Sleep, Cousin of Death","",60,111
61,420,"The Boy and the Dragon Gay","",61,111
62,421,"Dream On, Dream Away","",62,111
63,439,"Showdown","",63,111
64,440,"Mystery of the Gastronome Gone Home","",64,111
65,441,"Something in the Soup","",65,111
66,459,"A Piece of History","",66,111
67,460,"Little Saboteurs","",67,111
68,461,"Runaway Little Girl","",68,111
69,479,"Gridanian Roots","",69,111
70,480,"The Grass is Always Greener","",70,111
71,481,"A Moogle Bouquet","",71,111
72,499,"To Fight a Fishback","",72,111
73,500,"The Beast of the Barrel","",73,111
74,501,"Polishing the Mast","",74,111
75,626,"Ifrit Bleeds, We Can Kill It","",75,110
76,632,"Assessing the Damage","",76,110
77,633,"Bridging the Gap","",77,110
78,635,"Revenge on the Reavers","",78,110
79,637,"Till Death Do Us Part","",79,110
80,638,"Beryl Overboard","",80,110
81,639,"Have You Seen My Son","",81,110
82,640,"Food for Thought","",82,110
83,641,"Seashells by the Seashore","",83,110
84,642,"Fishing for Answers","",84,110
85,643,"Moonstruck","",85,110
86,645,"A Misty Past","",86,110
87,647,"Carving a Name","",87,110
88,652,"The Tug of the Whorl","",88,110
89,653,"Proceed with Caution","",89,110
90,654,"Playing with Fire","",90,110
91,655,"A Well-Balanced Diet","",91,110
92,657,"The Penultimate Prank","",92,110
93,658,"The Search for Sicksa","",93,110
94,659,"The Ultimate Prank","",94,110
95,661,"Say It with Wolf Tails","",95,110
96,662,"Embarrassing Excerpts","",96,110
97,663,"A Forbidden Love","",97,110
98,664,"Last Respects","",98,110
99,665,"Stone Deaf","",99,110
100,666,"Hunting the Hunters","",100,110
101,667,"To Deskunk a Beer","",101,110
102,668,"Losing One's Thread","",102,110
103,673,"Seeing the Seers","",103,110
104,674,"A Knock in the Night","",104,110
105,675,"Sleepless in Eorzea","",105,110
106,676,"Dressed to Be Killed","",106,110
107,678,"The Customer Comes First","",107,110
108,679,"An Inconvenient Dodo","",108,110
109,680,"Besmitten and Besmirched","",109,110
110,681,"Clasping to Hope","",110,110
111,682,"Traumaturgy","",111,110
112,683,"Best Flower Ever","",112,110
113,684,"The Unheard Horizon","",113,110
114,685,"Freedom Isn't Free","",114,110
115,686,"Ore for an Ore","",115,110
116,689,"No Other Dodo Will Do","",116,110
117,694,"A Call to Arms","",117,110
118,705,"Counting Sheep","",118,110
119,706,"A Hypocritical Oath","",119,110
120,707,"Blood Price","",120,110
121,725,"Quid Pro Quo","",121,110
122,726,"There Might Be Blood","",122,110
123,727,"Cutthroat Prices","",123,110
124,733,"Monster of Maw Most Massive","",124,110
125,734,"Scrubbing the Soul","",125,110
126,735,"Disorganized Crime","",126,110
127,736,"A Slippery Stone","",127,110
128,743,"Winds of Change","",128,110
129,744,"Shot Through the Heart","",129,110
130,745,"What a Pirate Wants","",130,110
131,752,"Of Archons and Muses","",131,110
132,753,"Sanguine Studies","",132,110
133,754,"Secrets Unearthed","",133,110
134,755,"Rustproof","",134,110
135,761,"In the Name of Science","",135,110
136,762,"Hearing Confession","",136,110
137,763,"A Bitter Oil to Swallow","",137,110
138,764,"Spores on the Brain","",138,110
139,770,"Trading Tongueflaps","",139,110
140,771,"Letting Out Orion's Belt","",140,110
141,772,"Sour Grapes","",141,110
142,773,"Sniffing Out a Profit","",142,110
143,788,"The Dreamer's Gospel (Ul'dah)","",143,110
144,789,"The Dreamer's Dilemma (Ul'dah)","",144,110
145,793,"The Dreamer's Gospel (Gridania)","",145,110
146,794,"The Dreamer's Dilemma (Gridania)","",146,110
147,798,"The Heat Is On","",147,110
148,799,"Impish Impositions","",148,110
149,800,"Winter Is Not Coming","",149,110
150,801,"Gone with the Snow","",150,110
151,803,"The Dreamer's Gospel (Limsa Lominsa)","",151,110
152,804,"The Dreamer's Dilemma (Limsa Lominsa)","",152,110
153,808,"Guild Tasks","",153,110
154,809,"Call of Booty","",154,110
155,810,"Risky Business","",155,110
156,811,"Forging the Spirit","",156,110
157,812,"Joining the Spirit","",157,110
158,813,"Waking the Spirit","",158,110
159,815,"A Feast of Fools","",159,110
160,816,"Provisioning & Supply Missions","",160,110
161,817,"A Light in the Dark","",161,110
162,818,"What Glitters Always Isn't Gold","",162,110
163,820,"the Thousand Maws of Toto--Rak","",163,110
164,821,"Dzemael Darkhold","",164,110
165,822,"Aurum Vale","",165,110
166,823,"Cutter's Cry","",166,110
167,827,"Waste Not Want Not","",167,110
168,828,"In Plain Sight","",168,110
169,837,"The Ink Thief","",169,110
170,838,"Private Eyes","",170,110
171,839,"Mysteries of the Red Moon","",171,110
172,840,"Prophecy Inspection","",172,110
173,847,"Ring of Deceit","",173,110
174,848,"The Usual Suspect","",174,110
175,857,"Seasonal Event","",175,110
176,858,"Scrambled Eggs","",176,110
177,859,"Bombard Backlash","",177,110
178,860,"Seasonal Event (All City-states)","",178,110
179,861,"Hamlet Defense","",179,110
180,862,"Class is in Session","",180,110
181,866,"Taming the Tempest","",181,110
182,867,"A Relic Reborn","",182,110
183,868,"Living on a Prayer","",183,110
184,869,"The Raven, Nevermore","",184,110
185,1200,"Pride and Duty (Will Take You from the Mountain)","",254,112
186,1201,"Embracing the Beast","",255,112
187,1202,"Curious Gorge Goes to the Bazaar","",256,112
188,1203,"Looking the Part","",257,112
189,1204,"Proof is in the Pudding","",258,112
190,1205,"How to Quit You","",259,112
191,1220,"Brother from Another Mother","",260,112
192,1221,"Insulted Intelligence","",261,112
193,1222,"The Pursuit of Power","",262,112
194,1223,"Good Vibrations","",263,112
195,1224,"Five Easy Pieces","",264,112
196,1225,"Return of the King...of Ruin","",265,112
197,1240,"Seeds of Initiative","",266,112
198,1241,"When Sheep Attack","",267,112
199,1242,"Lost in Rage","",268,112
200,1243,"The Wheel of Disaster","",269,112
201,1244,"In Search of Succor","",270,112
202,1245,"The Chorus of Cataclysm","",271,112
203,1260,"Hearing Voices","",272,112
204,1261,"A Time to Kill","",273,112
205,1262,"International Relations","",274,112
206,1263,"The Voidgate Breathes Gloomy","",275,112
207,1264,"Gearing Up","",276,112
208,1265,"Always Bet on Black","",277,112
209,1280,"Paladin's Pledge","",278,112
210,1281,"Honor Lost","",279,112
211,1282,"Power Struggles","",280,112
212,1283,"Poisoned Hearts","",281,112
213,1284,"Parley on High Ground","",282,112
214,1285,"Keeping the Oath","",283,112
215,1300,"A Song of Bards and Bowmen","",284,112
216,1301,"The Archer's Anthem","",285,112
217,1302,"Bard's-Eye View","",286,112
218,1303,"Doing It the Bard Way","",287,112
219,1304,"Pieces of the Past","",288,112
220,1305,"Requiem for the Fallen","",289,112
221,1320,"Eye of the Dragon","",290,112
222,1321,"Lance of Fury","",291,112
223,1322,"Unfading Scars","",292,112
224,1323,"Double Dragoon","",293,112
225,1324,"Fatal Seduction","",294,112
226,1325,"Into the Dragon's Maw","",295,112
227,1400,"The Price of Integrity","",185,113
228,1401,"Testing the Waters","",186,113
229,1402,"Seals for the Whorl","",187,113
230,1403,"Engineering Victory","",188,113
231,1404,"An Officer and a Wise Man","",189,113
232,1405,"Ceruleum Shock","",190,113
233,1406,"Till Sea Swallows All","",191,113
234,1409,"Imperial Devices (Limsa Lominsa)","",192,113
235,1410,"Into the Dark (Limsa Lominsa)","",193,113
236,1415,"It Kills with Fire (Limsa Lominsa)","",194,113
237,1416,"The Cove","",195,113
238,1417,"Saving the Stead Instead","",196,113
239,1418,"It's a Piece of Cake to Bake a Poison Cake","",197,113
240,1419,"Kobold and the Beautiful","",198,113
241,1425,"Oil Crisis","",199,113
242,1426,"Alive","",200,113
243,1427,"The Weakest Link","",201,113
244,1428,"Deus ex Machina","",202,113
245,1429,"In for Garuda Wakening (Limsa Lominsa)","",203,113
246,1430,"Don't Hate the Messenger (Limsa Lominsa)","",204,113
247,1431,"United We Stand (Limsa Lominsa)","",205,113
248,1432,"To Kill a Raven (Limsa Lominsa)","",206,113
249,1433,"Patrol, Interrupted","",207,113
250,1600,"Breaking the Seals","",208,113
251,1601,"Why Did It Have to Be Snakes","",209,113
252,1602,"Adders' Nest Egg","",210,113
253,1603,"The Mail Must Get Through","",211,113
254,1604,"Their Finest Hour","",212,113
255,1605,"Appetite for Destruction","",213,113
256,1606,"Serenity, Purity, Sanctity","",214,113
257,1609,"Imperial Devices (Gridania)","",215,113
258,1610,"Into the Dark (Gridania)","",216,113
259,1615,"It Kills with Fire (Gridania)","",217,113
260,1616,"Eternal Recurrence","",218,113
261,1617,"The Pen Is Mightier than the Spear","",219,113
262,1618,"Woes of the Botanist","",220,113
263,1619,"Gone with the Wind","",221,113
264,1625,"A Taste for Death","",222,113
265,1626,"Two Vans are Better than One","",223,113
266,1627,"You Don't Have the Rite","",224,113
267,1628,"Shadow of the Raven","",225,113
268,1629,"In for Garuda Wakening (Gridania)","",226,113
269,1630,"Don't Hate the Messenger (Gridania)","",227,113
270,1631,"United We Stand (Gridania)","",228,113
271,1632,"To Kill a Raven (Gridania)","",229,113
272,1633,"Cure for the Common Pox","",230,113
273,1800,"Career Opportunities","",231,113
274,1801,"Kindling a Flame","",232,113
275,1802,"Burning a Hole in One's Pocket","",233,113
276,1803,"Arms Race","",234,113
277,1804,"Burning Man","",235,113
278,1805,"Know Your Enemy","",236,113
279,1806,"By Fire Reborn","",237,113
280,1809,"Imperial Devices (Ul'dah)","",238,113
281,1810,"Into the Dark (Ul'dah)","",239,113
282,1815,"It Kills with Fire (Ul'dah)","",240,113
283,1816,"Prying Eyes","",241,113
284,1817,"Different Strokes","",242,113
285,1818,"A Weaver and a Mummer","",243,113
286,1819,"When Alchemists Cry","",244,113
287,1825,"Challenge Accepted","",245,113
288,1826,"Like Father, Like Son","",246,113
289,1827,"Gore a Lizard, Hurry","",247,113
290,1828,"Careless Whispers","",248,113
291,1829,"In for Garuda Wakening (Ul'dah)","",249,113
292,1830,"Don't Hate the Messenger (Ul'dah)","",250,113
293,1831,"United We Stand (Ul'dah)","",251,113
294,1832,"To Kill a Raven (Ul'dah)","",252,113
295,1833,"Mess with the Goat, Get the Horns","",253,113
