Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x5][0x8],3 [0x3][0xc],4 [0x3][0xd],5 [0x3][0xe],6 [0x3][0xf],7 [0x19][0x14],8 [0x1a][0x14],9 [0x1b][0x14],10 [0x1c][0x14],11 [0x1d][0x14],12 [0x1e][0x14],13 [0x1f][0x14],14 [0x20][0x14],15 [0x3][0x10],16 [0x3][0x11],17 [0x19][0x15],18 [0x5][0xa],19 [0x1a][0x15],20 [0x1b][0x15],21 [0x3][0x12],22 [0x3][0x13]
0,"","",0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
1,"Stein","Die Versteinerung des Körpers verhindert das Ausführen jeglicher Kommandos.",15001,0,2,6,122,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,0
2,"Betäubung","Betäubte Sinne verhindern das Ausführen jeglicher Kommandos.",15004,0,2,3,125,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,0
3,"Schlaf","Tiefschlaf verhindert das Ausführen jeglicher Kommandos.",15013,0,2,2,123,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,3
4,"Benommenheit","Benommenheit verhindert das Ausführen jeglicher Kommandos. ",15003,0,2,8,0,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,0
5,"Amnesie","Talente können nicht eingesetzt werden.",15015,0,2,15,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
6,"Pacem","Waffenfertigkeiten können nicht eingesetzt werden.",15017,0,2,14,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
7,"Stumm","Zauber können nicht gewirkt werden.",15005,0,2,7,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
8,"Hast","Die Intervalle zwischen Auto-Attacken und die Reaktivierungszeiten von Waffenfertigkeiten und Magie sind verkürzt.",15008,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
9,"Gemach","Die Intervalle zwischen Auto-Attacken und die Reaktivierungszeiten von Waffenfertigkeiten und Magie sind verlängert.",15009,0,2,13,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
10,"Gemach","Allagische Systeme verlangsamen alle Handlungen.",15545,0,2,13,0,false,false,false,false,false,false,true,true,50,0,false,0,false,false,0,0
11,"Konfus","Greift völlig verwirrt die eigenen Kameraden an.",15603,0,2,17,0,false,false,false,true,false,true,false,false,100,0,false,0,false,false,0,0
12,"Levitation","Schwebt einige Ilme über dem Boden.",15037,0,1,16,128,false,false,false,false,false,false,true,true,1,0,false,0,false,false,0,0
13,"Fessel","Das Bewegen von der Stelle ist nicht möglich.",15003,0,2,12,124,true,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
14,"Gewicht","Bewegungsgeschwindigkeit ist gesenkt.",15002,0,2,4,126,false,false,false,false,false,false,false,false,100,1,false,0,false,false,0,0
15,"Blind","Vorübergehende Blindheit senkt die Präzision.",15012,0,2,10,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
16,"","",0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
17,"Paralyse","Paralysierte Nerven lassen Kommandos ab und zu aussetzen.",15006,0,2,5,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
18,"Gift","Erleidet schrittweise Schaden durch Gift.",15007,0,2,1,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
19,"Giftpollen","Giftige Pollen in deiner Lunge verursachen schrittweise Schaden.",15517,0,2,1,0,false,false,false,false,false,false,true,true,10,0,false,0,false,false,0,0
20,"TP-Verlust","TP nehmen schrittweise ab.",15025,0,2,17,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
21,"LP-Bonus","Maximale LP sind erhöht.",15075,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
22,"LP-Malus","Maximale LP sind gesenkt.",15076,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
23,"MP-Bonus","Maximale MP sind erhöht.",15077,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
24,"MP-Malus","Maximale MP sind gesenkt.",15078,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
25,"Attacke-Bonus","Der Attacke-Wert ist erhöht.",15050,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
26,"Attacke-Malus","Der Attacke-Wert ist gesenkt.",15051,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
27,"Präzisions-Bonus","Die Präzision ist erhöht.",15060,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
28,"Präzisions-Malus","Die Präzision ist gesenkt.",15061,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
29,"Verteidigungs-Bonus","Die Verteidigung ist erhöht.",15052,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
30,"Verteidigungs-Malus","Die Verteidigung ist gesenkt.",15053,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
31,"Ausweich-Bonus","Die Fähigkeit des Ausweichens ist verbessert.",15062,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
32,"Ausweich-Malus","Die Fähigkeit des Ausweichens ist verschlechtert.",15063,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
33,"Offensivmagie-Bonus","Das magische Potenzial ist erhöht.",15054,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
34,"Offensivmagie-Malus","Das magische Potenzial ist gesenkt.",15055,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
35,"Heilmagie-Bonus","Das Potenzial der Heilmagie ist erhöht.",15058,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
36,"Heilmagie-Malus","Das Potenzial der Heilmagie ist gesenkt.",15059,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
37,"Magieabwehr-Bonus","Die Magieabwehr ist erhöht.",15056,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
38,"Magieabwehr-Malus","Die Magieabwehr ist gesenkt.",15057,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
39,"Betäubungsresistenz","Der Status Betäubung wird aufgehoben.",15566,0,1,16,0,false,false,false,false,false,false,true,true,100,0,false,0,false,false,0,0
40,"Stumm-Resistenz","Der Status Stumm wird aufgehoben.",15567,0,1,16,0,false,false,false,false,false,false,true,true,100,0,false,0,false,false,0,0
41,"Werkstattstimmung","Die maximalen HP sind für Handwerker bis Stufe 50 erhöht.",16107,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
42,"Kraft des Transzendierens","Die maximalen LP, ausgeteilter Schaden und Heilmagie-Wirkung sind erhöht.",16207,0,1,16,0,false,false,false,false,false,false,true,true,0,0,false,0,false,false,0,0
43,"Schwäche","Alle physischen Attribute sind um 15 % gesenkt.",15010,0,2,0,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
44,"Sterbenselend","Alle physischen Attribute sind um 30 % reduziert. ",15011,0,2,0,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
45,"Sternstunde der Handwerker","Disziplinen der Handwerker können mehr Routine als gewöhnlich erlangen.",16106,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
46,"Sternstunde der Sammler","Disziplinen der Sammler können mehr Routine als gewöhnlich erlangen.",16006,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
47,"Coeurl-Pfoten","Unaufspürbar für Gegner. Bewegungsgeschwindigkeit ist verlangsamt.",16001,0,1,16,0,false,false,false,false,false,false,true,true,2,0,false,0,false,true,0,0
48,"Gut gesättigt","Genießt die Vorteile eines gut gefüllten Magens.",16202,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
49,"Stärkung","Erhöhte Leistung dank stärkender Medizin.",16203,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
50,"Sprint","Bewegungsgeschwindigkeit ist erhöht.",10101,0,1,0,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
51,"Stärke-Malus","Stärke ist herabgesetzt.",15080,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
52,"Konstitutions-Malus","Konstitution ist herabgesetzt.",15082,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
53,"Schadenswert +","Ausgeteilter physischer Schaden ist erhöht.",15050,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
54,"Schadenswert -","Ausgeteilter physischer Schaden ist vemindert.",15051,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
55,"Verringerte physische Verwundbarkeit","Erlittener physischer Schaden ist verringert.",15052,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
56,"Erhöhte physische Verwundbarkeit","Erlittener physischer Schaden ist erhöht.",15053,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
57,"Magieschaden +","Ausgeteilter magischer Schaden ist erhöht.",15054,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
58,"Magieschaden -","Ausgeteilter magischer Schaden ist vemindert.",15055,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
59,"Verringerte Magie-Verwundbarkeit","Erlittener magischer Schaden ist verringert.",15056,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
60,"Erhöhte Magie-Verwundbarkeit","Erlittener magischer Schaden ist erhöht.",15057,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
61,"Schaden +","Ausgeteilter Schaden ist erhöht.",15519,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
62,"Schaden -","Ausgeteilter Schaden ist vermindert.",15520,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
63,"Verringerte Verwundbarkeit","Erlittener Schaden ist verringert.",15021,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
64,"Erhöhte Verwundbarkeit","Erlittener Schaden ist erhöht.",15020,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
65,"Kritisches Potenzial","Nächste Waffenfertigkeit verursacht kritischen Treffer.",15016,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
66,"Terror","Vor Angst bewegungsunfähig.",15516,0,2,18,0,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,0
67,"Bleischwere","Bewegungsgeschwindigkeit ist herabgesetzt.",15518,0,2,4,126,false,false,false,false,false,false,true,true,100,1,false,0,false,false,0,0
68,"Auszehren","Auto-Attacke entzieht dem Gegner LP.",15504,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
69,"Auslaugen","Auto-Attacke entzieht dem Gegner TP.",15505,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
70,"Ausschalten","Auto-Attacke kann Gegner betäuben.",15506,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
71,"Schutzwall","Der erlittene Schaden ist reduziert.",10152,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
72,"Konvaleszenz","Heilmagie auf sich selbst regeneriert mehr LP.",10157,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
73,"Achtsamkeit","Erleidet keine kritischen Treffer.",10154,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
74,"Sentinel","Ein Teil des erlittenen Schadens wird aufgehoben.",10151,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
75,"Eherner Wille","Immun gegen Rückstoß- und Heranzieh-Effekte.",10153,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
76,"Verwegenheit","Ausgeteilter Schaden ist erhöht.",10155,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
77,"Bollwerk","Blockrate ist erhöht.",10156,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
78,"Schwert-Eid","Auto-Attacke ist verstärkt.",12505,0,1,16,0,false,false,false,false,false,false,true,true,0,0,true,0,false,false,0,0
79,"Schild-Eid","Erlittener und ausgeteilter Schaden ist reduziert, Präzision und Feindseligkeit gegen dich erhöht.",12506,0,1,16,0,false,false,false,false,false,false,true,true,0,0,true,0,false,false,0,0
80,"Deckung","Ein bestimmtes Gruppenmitglied wird beschützt. ",12501,0,1,16,0,false,false,false,false,false,false,false,false,100,0,true,0,false,false,0,0
81,"Gedeckt","Steht unter dem Schutz eines Gruppenmitglieds.",12502,0,1,16,0,false,false,false,false,false,false,false,false,100,0,true,0,false,false,0,0
82,"Heiliger Boden","Immun gegen fast alle Attacken.",12504,0,1,16,0,false,false,false,false,false,false,false,false,70,0,false,0,false,false,0,1
83,"Vorahnung","Die Verteidigung ist erhöht.",10252,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
84,"Blutbad","Ein Teil des mit der nächsten Attacke ausgeteilten Schadens generiert eigene LP.",10251,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
85,"Verstümmelung","Ausgeteilter Schaden ist erhöht.",10262,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
86,"Tollwut","Der Attackewert ist erhöht. Verhindert Waffenfertigkeiten für kurze Zeit nach Ende des Effekts.",10253,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
87,"Kampfrausch","Maximal-LP sind erhöht.",10254,0,1,16,0,false,false,false,false,false,false,false,false,5,0,false,0,false,false,0,0
88,"Holmgang","Bewegungsunfähig. Schaden beendet den Effekt.",10255,0,2,17,0,true,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
89,"Rache","Ein Teil des erlittenen physischen Schadens wird auf den Angreifer zurückgeworfen.",10256,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
90,"Sturmbrecher","Hiebresistenz und die Wirkung von Heilmagie auf sich ist vermindert. ",10263,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
91,"Verteidiger","Maximal-LP und Präzision sind erhöht, Heilzauber auf sich regenerieren mehr LP und mehr Feindseligkeit wird erzeugt. Dagegen ist ausgeteilter Schaden reduziert. Bestimmte Kommandos erzeugen eine Einheit von Zorn.",12551,0,1,16,0,false,false,false,false,false,false,true,true,0,0,true,0,false,false,0,0
92,"Entfesselt","Reduktion ausgeteilten Schadens bei „Verteidiger“ ist aufgehoben.",12552,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
93,"Zorn","Paraderate ist erhöht.",10257,0,1,16,139,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
