Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x6][0x24],3 [0x6][0x28],4 [0x6][0x2c],5 [0x5][0x54],6 [0x3][0x58],7 [0x3][0x59],8 [0x6][0x30],9 [0x6][0x34],10 [0x6][0x38],11 [0x19][0x5e],12 [0x3][0x5a],13 [0x6][0x3c],14 [0x6][0x40],15 [0x6][0x44],16 [0x6][0x48],17 [0x6][0x4c],18 [0x1a][0x5e],19 [0x3][0x5b],20 [0x9][0x8],21 [0x7][0xc],22 [0x7][0x10],23 [0x6][0x14],24 [0x6][0x18],25 [0x3][0x5c],26 [0x3][0x5d],27 [0x7][0x1c],28 [0x6][0x50],29 [0x1b][0x5e],30 [0x7][0x20],31 [0x5][0x56]
0,"","",0,0,0,0,0,1,0,0,0,false,0,0,0,1,20011,0,true,0,1.0,0,0,0,0,0,0,0,0,true,0,14
1,"リーヴテスト01","グリダニア園芸テスト10-0",1,3,2,1,5,1,1,123,123,false,18,85,0,17,80012,131074,true,4,1.5,0,77777,0,0,6,1,4104768,110001,true,0,67
2,"リーヴテスト02","グリダニア園芸テスト10-1",1,3,2,1,5,1,1,123,123,false,18,85,0,17,80012,131073,true,4,1.0,0,0,0,0,6,1,4104768,110001,true,0,67
3,"リーヴテスト03","グリダニア園芸テスト10-2",1,3,2,1,5,1,1,123,123,false,18,85,0,17,80012,131075,true,4,1.0,0,0,0,0,6,1,4104768,110001,true,0,67
4,"リーヴテスト04","グリダニア園芸テスト10-3",1,3,2,1,5,1,1,123,123,false,18,85,0,17,80012,131076,true,4,1.0,0,0,0,0,6,1,4104768,110001,true,0,67
5,"リーヴテスト05","園芸テスト用リーヴ",1,3,2,1,5,1,1,123,123,false,18,85,0,17,80012,131076,true,4,1.0,0,0,0,0,6,1,4104768,110001,true,0,67
6,"リーヴテスト06","グリダニア傭兵(耐久1)",1,16,2,1,5,1,1,123,123,false,34,75,0,17,80012,196609,true,4,1.0,0,0,0,0,6,1,4104768,110001,true,0,14
7,"リーヴテスト07","グリダニア傭兵(耐久2)",2,17,2,1,5,1,2,123,123,false,34,75,0,17,80012,196610,true,4,1.0,0,0,0,0,6,1,4104768,110001,true,0,14
8,"リーヴテスト08","グリダニア傭兵(耐久3)",1,18,2,1,5,1,3,123,123,true,34,75,0,17,80012,196611,true,4,1.0,0,0,0,0,6,1,4104768,110001,true,0,14
9,"リーヴテスト09","グリダニア傭兵(懐柔1)",2,16,2,1,5,1,1,123,123,false,34,75,0,17,80012,196612,true,4,1.0,0,0,0,0,6,1,4104768,110001,true,0,14
