Index,0 [0x0][0x0],1 [0x2][0x8],2 [0x0][0x4],3 [0x2][0x9],4 [0x2][0xa],5 [0x2][0xb],6 [0x2][0xc],7 [0x2][0xd]
0,"",0,"",0,0,1,0,0
1,"",0,"",0,0,0,0,0
2,"ruins runner",0,"ruins runners",0,0,1,0,0
3,"antelope doe",0,"antelope does",0,1,1,0,0
4,"antelope stag",0,"antelope stags",0,1,1,0,0
5,"opo-opo",0,"opo-opos",0,1,1,0,0
6,"lemur",0,"lemurs",0,0,1,0,0
7,"giant gnat",0,"giant gnats",0,0,1,0,0
8,"ked",0,"keds",0,0,1,0,0
9,"miteling",0,"mitelings",0,0,1,0,0
10,"diremite",0,"diremites",0,0,1,0,0
11,"banemite",0,"banemites",0,0,1,0,0
12,"northern vulture",0,"northern vultures",0,0,1,0,0
13,"arbor buzzard",0,"arbor buzzards",0,1,1,0,0
14,"wild hoglet",0,"wild hoglets",0,0,1,0,0
15,"wild hog",0,"wild hogs",0,0,1,0,0
16,"wild boar",0,"wild boars",0,0,1,0,0
17,"balloon",0,"balloons",0,0,1,0,0
18,"zombie",0,"zombies",0,0,1,0,0
19,"zombie mage",0,"zombie mages",0,0,1,0,0
20,"magicked bones",0,"magicked bones",0,0,1,0,0
21,"trickster imp",0,"trickster imps",0,0,1,0,0
22,"roselet",0,"roselets",0,0,1,0,0
23,"kedtrap",0,"kedtraps",0,0,1,0,0
24,"treant",0,"treants",0,0,1,0,0
25,"dryad",0,"dryads",0,0,1,0,0
26,"gigantoad",0,"gigantoads",0,0,1,0,0
27,"nix",0,"nixes",0,0,1,0,0
28,"coeurl pup",0,"coeurl pups",0,0,1,0,0
29,"dullahan",0,"dullahans",0,0,1,0,0
30,"clay golem",0,"clay golems",0,0,1,0,0
31,"mindflayer",0,"mindflayers",0,0,1,0,0
32,"microchu",0,"microchus",0,0,1,0,0
33,"ochu",0,"ochus",0,1,1,0,0
34,"adamantoise",0,"adamantoises",0,1,1,0,0
35,"tonberry",0,"tonberries",0,0,1,0,0
36,"boring weevil",0,"boring weevils",0,0,1,0,0
37,"ground squirrel",0,"ground squirrels",0,0,1,0,0
38,"black bat",0,"black bats",0,0,1,0,0
39,"tree slug",0,"tree slugs",0,0,1,0,0
40,"Shroud hare",0,"Shroud hares",0,0,1,0,0
41,"syrphid swarm",0,"syrphid swarms",0,0,1,0,0
42,"yarzon",0,"yarzons",0,0,1,0,0
43,"chigoe",0,"chigoes",0,0,1,0,0
44,"jumping djigga",0,"jumping djiggas",0,0,1,0,0
45,"will-o'-the-wisp",0,"will-o'-the-wisps",0,0,1,0,0
46,"plasmoid",0,"plasmoids",0,0,1,0,0
