Index,0 [0x6][0xc],1 [0x3][0x24],2 [0x5][0x20],3 [0x5][0x22],4 [0x6][0x10],5 [0x6][0x14],6 [0x6][0x18],7 [0x0][0x0],8 [0x0][0x4],9 [0x0][0x8],10 [0x6][0x1c],11 [0x19][0x25]
2162688,4876856,22,800,1159,27,81501,81001,"Quais du barracuda","Avant de déjeuner, les gourmets limséens savent d'où regarder les trois navires de guerre aux voiles écarlates qui sont le fleuron de la marine du Maelstrom.","Ce lieu est celui où sont amarrés les navires de guerre du Maelstrom. Son accès est interdit au public pour des raisons de sécurité, mais les curieux savent d'où admirer la puissante armada, notamment son célèbre vaisseau étendard, le Triomphe.",81451,true
2162689,4876859,22,1800,459,27,81502,81002,"L'Astalicia","Le soir, les pirates éméchés aiment se tenir au bout d'un espar pour admirer le port sous un ciel étoilé... avant d'attraper un badaud pour s'amuser à le pendre.","Cet imposant galion appartient à l'équipage pirate des Bourreaux. Bien qu'il soit enregistré comme navire marchand étranger, tout Limsa Lominsa sait qu'il est la propriété de l'illustre Hylfyr et sert de repaire aux corsaires et autres coupe-jarrets.",81451,true
2162690,4876905,58,500,759,30,81503,81003,"Stèle du chant marin","Les pêcheurs superstitieux ne manquent jamais d'aller prier à l'entrée d'une grotte pour leurs camarades disparus avant de partir en mer, lorsque la pluie joue un requiem pour leurs âmes.","Érigée à la mémoire des marins disparus, cette stèle porte l'inscription “Je suis la vague qui porte, je suis le vent qui guide. Je suis l'étoile qui brille dans la nuit, je suis le calme blanc du matin. Je suis né dans la mer, et c'est en elle que je mourrai...”",81451,true
2162691,4876907,22,1200,1659,30,81504,81004,"Ascenciel","Lorsqu'ils prennent une pause l'après-midi, les convoyeurs noscéens aiment admirer les ballons qui transportent les marchandises au dessus de la mer.","Cette installation gérée par les convoyeurs limséens permet de transporter les marchandises à l'aide de palans et de ballons le long de la Descente, un précipice apparu lors du septième fléau au beau milieu de la plaine de la Noscea centrale.",81451,true
2162692,4876912,22,800,1159,30,81505,81005,"Route orientale de la Thagran","Lorsqu'ils se sentent d'humeur grisâtre, les casaques jaunes n'hésitent pas à monter sur une palissade pour admirer la Noscea avant le milieu de la journée.","Cet axe de circulation, qui relie la Noscea centrale à la Noscea orientale, a reçu le nom de Guy la Thagran, un navigateur élézen qui s'est illustré en explorant l'île de Vylbrand en compagnie de son camarade Jean de Nevelle lorsque le Galadion s'y est échoué.",81451,true
2162693,4876920,22,1800,459,31,81508,81008,"Atolls de sel","L'un des avantages de la vie de gardien de phare, c'est de pouvoir se tenir sur le bord du promontoire pour observer la plage, lorsque la nuit tombe.","Un fragment de Dalamud tombé lors du Fléau a libéré l'éther du sol, provoquant la formation d'un imposant cristal corrompu qui, à son tour, a causé l'agglomération des sels de mer projetés vers le ciel sous la force de l'impact.",81451,true
2162694,4876921,22,500,759,31,81509,81009,"Métairie du Coq rouge","La vie de métayer requiert de se lever tôt, mais c'est aussi la chance d'admirer les baraques et les clôtures prendre forme dans la brume matinale, debout sur les tuiles.","Outre ses potagers expérimentaux, cette exploitation fait aussi l'élevage de dodos et de moutons. Son nom viendrait d'un combat de coqs, un rouge et un blanc, qui aurait dégénéré en bagarre et fini avec les deux volailles et les spectateurs couverts de sang.",81451,true
2162695,4876926,22,500,759,33,81513,81013,"Phare des brasseurs","L'œil qui veille sur les navires la nuit est celui qui a la meilleure vue sur la baie, lorsque les premiers rayons de soleil font leur apparition.","Bâti pour remplacer la tour du Martinet détruite lors du Fléau, ce phare tire son nom du fait qu'il guide les navires passant par Port-aux-Ales. Il permet aussi d'observer les murs qui doivent protéger la côte contre les raz-de-marée du Primordial Léviathan.",81451,true
2162696,4868036,22,1200,1659,51,81552,81052,"Guilde des tanneurs","Le travail du cuir est une telle fierté à Gridania que les enfants grimpent souvent sur les cadres de séchage pour admirer les tanneurs à l'ouvrage, lorsqu'il fait gris l'après-midi.","Le métier de la tannerie est une des plus grandes fiertés de Gridania. Pratiquant leur artisanat dans le respect des matériaux que leur fournit la forêt, les membres de cette guilde ont créé leur propre marque de produits de haute qualité, les Atours de Fen-Yll.",81452,true
2162697,4876928,22,1800,459,51,81553,81053,"Chutes de l'Apkallu","Les garnements gridaniens sont bien agiles. Trompant la vigilance de leurs parents, ils vont se percher sur les lampadaires pour admirer le reflet des étoiles dans l'eau vive.","Appréciées pour le son rassérénant qu'elles produisent, ces chutes d'eau tirent leur nom d'une tentative échouée d'élevage d'apkallus. À la fin de la 6e ère astrale, le sage Louisoix s'y rendait souvent pour méditer lors de ses visites à Gridania.",81452,true
