Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x6][0xc],3 [0x3][0x10],4 [0x7][0x8],5 [0x3][0x11],6 [0x19][0x12]
0,"","",0,0,0,0,true
1,"Kampfroutine-Bonus","Die Routine beim Besiegen von Feinden ist um 5 % erhöht (Wirkung: 24 Std. Erdenzeit).",64213,5,3500,1,true
2,"Sammelroutine-Bonus","Die Routine beim Sammeln von Rohstoffen ist um 5 % erhöht (Wirkung: 24 Std. Erdenzeit).",64215,5,3500,2,true
3,"Syntheseroutine-Bonus","Die Routine bei der Synthese ist um 5 % erhöht (Wirkung: 24 Std. Erdenzeit).",64216,5,3500,3,true
4,"Mitstreiterroutine-Bonus","Die Routine, die dein Mitstreiter erhält, ist um 10 % erhöht (Wirkung: 24 Std. Erdenzeit).",64214,5,2800,4,true
5,"Wolfsmarken-Bonus","Der Wolfsmarken-Erwerb ist um 5 % erhöht (Wirkung: 24 Std. Erdenzeit).",64217,5,2800,5,true
6,"Staatstaler-Bonus","Der Staatstaler-Erwerb ist um 5 % erhöht (Wirkung: 24 Std. Erdenzeit).",64218,5,2800,6,true
7,"Startbonus","Für Kämpferdisziplinen bis Stufe 25 sind alle physischen Attribute um 10 % verbessert\n(Wirkung: 24 Std. Erdenzeit).",64201,5,1750,8,true
8,"Sammelgeschick-Bonus","Für Sammler ist das Sammelgeschick um 5 erhöht (Wirkung: 24 Std. Erdenzeit).",64202,5,2800,9,true
9,"Wahrnehmungsbonus","Für Sammler ist die Wahrnehmung um 5 erhöht (Wirkung: 24 Std. Erdenzeit).",64203,5,2800,10,true
10,"Kunstfertigkeitsbonus","Für Handwerker ist die Kunstfertigkeit um 5 erhöht (Wirkung: 24 Std. Erdenzeit).",64204,5,2800,11,true
11,"Kontrolle-Bonus","Für Handwerker ist die Kontrolle um 5 erhöht (Wirkung: 24 Std. Erdenzeit).",64205,5,2800,12,true
12,"Bindungsbonus","Das Ansteigen der emotionalen Bindung von Gegenständen durch Benutzung ist beschleunigt (Wirkung: 24 Std. Erdenzeit).",64209,5,3500,13,true
13,"Längere Nahrungseffekte","Die Wirkung von Nahrung ist um 5 Minuten verlängert (Wirkung: 24 Std. Erdenzeit).",64208,5,2800,14,true
14,"Verminderter Verschleiß","Der Verschleiß von Gegenständen bei Benutzung ist um 10 % verlangsamt (Wirkung: 24 Std. Erdenzeit).",64210,5,3500,15,true
15,"Verkürzte Schwäche","Die Dauer des Zustands „Schwäche“ nach der Wiederbelebung ist um 10 % verkürzt (Wirkung: 24 Std. Erdenzeit).",64211,5,2800,16,true
16,"Vergünstigter Teleport","Die Gil-Kosten für den Teleport sind um 20 % verringert (Wirkung: 24 Std. Erdenzeit).",64212,5,3500,17,true
17,"MGP-Bonus ","Der Manderville Gold Saucer-Punkte-Erwerb ist um 5 % erhöht (Wirkung: 24 Std. Erdenzeit).",64219,5,2800,7,true
18,"","",0,0,0,0,true
19,"","",0,0,0,0,true
20,"","",0,0,0,0,true
21,"","",0,0,0,0,true
22,"","",0,0,0,0,true
23,"","",0,0,0,0,true
24,"","",0,0,0,0,true
25,"","",0,0,0,0,true
26,"","",0,0,0,0,true
27,"","",0,0,0,0,true
28,"","",0,0,0,0,true
29,"","",0,0,0,0,true
30,"","",0,0,0,0,true
31,"Kampfroutine-Bonus II","Die Routine beim Besiegen von Feinden ist um 10 % erhöht (Wirkung: 24 Std. Erdenzeit).",64238,8,7000,18,true
32,"Sammelroutine-Bonus II","Die Routine beim Sammeln von Rohstoffen ist um\n10 % erhöht (Wirkung: 24 Std. Erdenzeit).",64240,8,7000,19,true
33,"Syntheseroutine-Bonus II","Die Routine bei der Synthese ist um 10 % erhöht (Wirkung: 24 Std. Erdenzeit).",64241,8,7000,20,true
34,"Mitstreiterroutine-Bonus II","Die Routine, die dein Mitstreiter erhält, ist um 15 % erhöht (Wirkung: 24 Std. Erdenzeit).",64239,8,7000,21,true
35,"Wolfsmarken-Bonus II","Der Wolfsmarken-Erwerb ist um 10 % erhöht (Wirkung: 24 Std. Erdenzeit).",64242,8,7000,22,true
36,"Staatstaler-Bonus II","Der Staatstaler-Erwerb ist um 10 % erhöht (Wirkung: 24 Std. Erdenzeit).",64243,8,7000,23,true
37,"Startbonus II","Für Kämpferdisziplinen bis Stufe 49 sind alle physischen Attribute um 5 % verbessert\n(Wirkung: 24 Std. Erdenzeit).",64226,8,3500,25,true
38,"Sammelgeschick-Bonus II","Für Sammler ist das Sammelgeschick um 10 erhöht (Wirkung: 24 Std. Erdenzeit).",64227,8,7000,26,true
39,"Wahrnehmungsbonus II","Für Sammler ist die Wahrnehmung um 10 erhöht (Wirkung: 24 Std. Erdenzeit).",64228,8,7000,27,true
40,"Kunstfertigkeitsbonus II","Für Handwerker ist die Kunstfertigkeit um 10 erhöht (Wirkung: 24 Std. Erdenzeit).",64229,8,7000,28,true
41,"Kontrolle-Bonus II","Für Handwerker ist die Kontrolle um 10 erhöht (Wirkung: 24 Std. Erdenzeit).",64230,8,7000,29,true
