Index,0 [0x6][0x0],1 [0x3][0x4c],2 [0x6][0x4],3 [0x3][0x4d],4 [0x6][0x8],5 [0x3][0x4e],6 [0x6][0xc],7 [0x3][0x4f],8 [0x6][0x10],9 [0x3][0x50],10 [0x6][0x14],11 [0x3][0x51],12 [0x6][0x18],13 [0x3][0x52],14 [0x6][0x1c],15 [0x3][0x53],16 [0x6][0x20],17 [0x3][0x54],18 [0x6][0x24],19 [0x3][0x55],20 [0x6][0x28],21 [0x3][0x56],22 [0x6][0x2c],23 [0x3][0x57],24 [0x3][0x58],25 [0x5][0x38],26 [0x19][0x59],27 [0x5][0x3a],28 [0x5][0x3c],29 [0x5][0x3e],30 [0x5][0x40],31 [0x5][0x42],32 [0x5][0x44],33 [0x5][0x46],34 [0x5][0x48],35 [0x5][0x4a],36 [0x1a][0x59],37 [0x1b][0x59],38 [0x6][0x30],39 [0x6][0x34]
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,false,100,100,100,0,0,0,0,0,0,true,true,0,0
1,1,1,5056,1,5106,2,5107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,false,50,100,67,0,0,0,0,0,0,true,true,0,0
2,1,1,2546,1,5056,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,0,0,true,true,0,0
3,1,2,1602,1,5056,1,5361,1,5432,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,0,0,true,true,0,0
4,1,2,2355,1,5056,2,5275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,0,0,true,true,0,0
5,1,3,5091,1,5056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,false,50,100,67,0,0,0,0,0,0,true,true,0,0
6,1,3,1750,1,5056,2,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,0,0,true,true,0,0
7,1,3,2380,1,5056,1,5091,1,5482,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,0,0,true,true,0,0
8,1,4,2430,1,5056,1,5361,1,5482,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,0,0,true,true,0,0
9,1,4,2315,1,5056,1,5091,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,0,0,true,true,0,0
10,1,5,2328,1,5056,1,5361,1,5482,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,0,0,true,true,0,0
11,1,5,2341,1,5056,1,5324,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,0,0,true,true,0,0
12,1,5,2367,1,5056,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,0,0,true,true,0,0
13,1,6,2507,1,5056,1,5361,1,5258,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,0,0,true,true,0,0
14,1,6,2481,1,5056,2,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,0,0,true,true,0,0
15,1,7,1603,1,5056,1,5275,1,5432,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,0,0,true,true,0,0
16,1,7,2392,1,5056,1,5091,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,0,0,true,true,0,0
17,1,7,1751,1,5056,2,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,0,0,true,true,0,0
18,1,8,2520,1,5056,1,5324,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,0,0,true,true,0,0
19,1,8,2417,1,5056,1,5361,1,5258,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,0,0,true,true,0,0
