Index,0 [0x0][0x0]
30001,"Felderkundung I"
30002,"Felderkundung II"
30003,"Felderkundung III"
30004,"Felderkundung IV"
30005,"Felderkundung V"
30006,"Felderkundung VI"
30007,"Felderkundung VII"
30008,"Felderkundung VIII"
30009,"Felderkundung IX"
30010,"Felderkundung X"
30011,"Felderkundung XI"
30012,"Felderkundung XII"
30013,"Felderkundung XIII"
30014,"Hochlanderkundung I"
30015,"Hochlanderkundung II"
30016,"Hochlanderkundung III"
30017,"Hochlanderkundung IV"
30018,"Hochlanderkundung V"
30019,"Hochlanderkundung VI"
30020,"Hochlanderkundung VII"
30021,"Hochlanderkundung VIII"
30022,"Hochlanderkundung IX"
30023,"Hochlanderkundung X"
30024,"Hochlanderkundung XI"
30025,"Hochlanderkundung XII"
30026,"Hochlanderkundung XIII"
30027,"Forsterkundung I"
30028,"Forsterkundung II"
30029,"Forsterkundung III"
30030,"Forsterkundung IV"
30031,"Forsterkundung V"
30032,"Forsterkundung VI"
30033,"Forsterkundung VII"
30034,"Forsterkundung VIII"
30035,"Forsterkundung IX"
30036,"Forsterkundung X"
30037,"Forsterkundung XI"
30038,"Forsterkundung XII"
30039,"Forsterkundung XIII"
30040,"Gewässererkundung I"
30041,"Gewässererkundung II"
30042,"Gewässererkundung III"
30043,"Gewässererkundung IV"
30044,"Gewässererkundung V"
30045,"Gewässererkundung VI"
30046,"Gewässererkundung VII"
30047,"Gewässererkundung VIII"
30048,"Gewässererkundung IX"
30049,"Gewässererkundung X"
30050,"Gewässererkundung XI"
30051,"Gewässererkundung XII"
30052,"Gewässererkundung XIII"
30053,"Schneller Streifzug"
30054,"Felderkundung XIV"
30055,"Hochlanderkundung XIV"
30056,"Forsterkundung XIV"
30057,"Gewässererkundung XIV"
30058,"Felderkundung XV"
30059,"Hochlanderkundung XV"
30060,"Forsterkundung XV"
30061,"Gewässererkundung XV"
30062,"Felderkundung XVI"
30063,"Hochlanderkundung XVI"
30064,"Forsterkundung XVI"
30065,"Gewässererkundung XVI"
30066,"Felderkundung XVII"
30067,"Hochlanderkundung XVII"
30068,"Forsterkundung XVII"
30069,"Gewässererkundung XVII"
30070,"Felderkundung XVIII"
30071,"Hochlanderkundung XVIII"
30072,"Forsterkundung XVIII"
30073,"Gewässererkundung XVIII"
30074,""
30075,""
30076,""
30077,""
30078,""
30079,""
30080,""
30081,""
30082,""
30083,""
30084,""
30085,""
30086,""
30087,""
30088,""
30089,""
30090,""
30091,""
30092,""
30093,""
30094,""
30095,""
30096,""
30097,""
30098,""
30099,""
30100,""
