Index,0 [0x0][0x0],1 [0x2][0xc],2 [0x0][0x4],3 [0x2][0xd],4 [0x2][0xe],5 [0x2][0xf],6 [0x2][0x10],7 [0x2][0x11],8 [0x0][0x8],9 [0x3][0x14]
0,"",0,"",0,0,1,0,0,"",0
1,"",0,"",0,0,0,0,0,"",0
2,"",0,"",0,0,0,0,0,"",0
3,"",0,"",0,0,0,0,0,"",0
4,"",0,"",0,0,0,0,0,"",0
5,"",0,"",0,0,0,0,0,"",0
6,"",0,"",0,0,0,0,0,"",0
7,"",0,"",0,0,0,0,0,"",0
8,"",0,"",0,0,0,0,0,"",0
9,"",0,"",0,0,0,0,0,"",0
10,"",0,"",0,0,0,0,0,"",0
11,"",0,"",0,0,0,0,0,"",0
12,"",0,"",0,0,0,0,0,"",0
13,"",0,"",0,0,0,0,0,"",0
14,"",0,"",0,0,0,0,0,"",0
15,"",0,"",0,0,0,0,0,"",0
16,"",0,"",0,0,0,0,0,"",0
17,"",0,"",0,0,0,0,0,"",0
18,"ギルドリーヴ",0,"",0,0,1,0,0,"",0
19,"",0,"",0,0,1,0,0,"",0
20,"ハイデリン",0,"",0,0,1,0,0,"",0
21,"エオルゼア",0,"",0,0,1,0,0,"",0
22,"ラノシア",0,"",0,0,1,0,0,"",0
23,"黒衣森",0,"",0,0,1,0,0,"",0
24,"ザナラーン",0,"",0,0,1,0,0,"",0
25,"クルザス",0,"",0,0,1,0,0,"",0
26,"モードゥナ",0,"",0,0,1,0,0,"",0
27,"リムサ・ロミンサ",0,"",0,0,1,0,0,"",0
28,"リムサ・ロミンサ：上甲板層",0,"",0,0,1,0,0,"",0
29,"リムサ・ロミンサ：下甲板層",0,"",0,0,1,0,0,"",0
30,"中央ラノシア",0,"",0,0,1,0,0,"",0
31,"低地ラノシア",0,"",0,0,1,0,0,"",0
32,"東ラノシア",0,"",0,0,1,0,0,"",0
33,"西ラノシア",0,"",0,0,1,0,0,"",0
34,"高地ラノシア",0,"",0,0,1,0,0,"",0
35,"サスタシャ浸食洞",0,"",0,0,1,0,0,"",0
36,"ブレイフロクスの野営地",0,"",0,0,1,0,0,"",0
37,"ワンダラーパレス",0,"",0,0,1,0,0,"",0
38,"",0,"",0,0,0,0,0,"",0
39,"ウルダハ",0,"",0,0,1,0,0,"",0
40,"ウルダハ：ナル回廊",0,"",0,0,1,0,0,"",0
41,"ウルダハ：ザル回廊",0,"",0,0,1,0,0,"",0
42,"西ザナラーン",0,"",0,0,1,0,0,"",0
43,"中央ザナラーン",0,"",0,0,1,0,0,"",0
44,"東ザナラーン",0,"",0,0,1,0,0,"",0
45,"南ザナラーン",0,"",0,0,1,0,0,"",0
46,"北ザナラーン",0,"",0,0,1,0,0,"",0
47,"カッターズクライ",0,"",0,0,1,0,0,"",0
48,"カッパーベル銅山",0,"",0,0,1,0,0,"",0
49,"ハラタリ修練所",0,"",0,0,1,0,0,"",0
50,"カルン埋没寺院",0,"",0,0,1,0,0,"",0
51,"グリダニア",0,"",0,0,1,0,0,"",0
52,"グリダニア：新市街",0,"",0,0,1,0,0,"",0
53,"グリダニア：旧市街",0,"",0,0,1,0,0,"",0
54,"黒衣森：中央森林",0,"",0,0,1,0,0,"",0
55,"黒衣森：東部森林",0,"",0,0,1,0,0,"",0
56,"黒衣森：南部森林",0,"",0,0,1,0,0,"",0
57,"黒衣森：北部森林",0,"",0,0,1,0,0,"",0
58,"タムタラの墓所",0,"",0,0,1,0,0,"",0
59,"ハウケタ御用邸",0,"",0,0,1,0,0,"",0
60,"",0,"",0,0,0,0,0,"",0
61,"トトラクの千獄",0,"",0,0,1,0,0,"",0
62,"イシュガルド",0,"",0,0,1,0,0,"",0
63,"クルザス中央高地",0,"",0,0,1,0,0,"",0
64,"ゼーメル要塞",0,"",0,0,1,0,0,"",0
65,"オーラムヴェイル",0,"",0,0,1,0,0,"",0
66,"",0,"",0,0,0,0,0,"",0
67,"モードゥナ",0,"",0,0,1,0,0,"",0
68,"翡翠湖畔",0,"",0,0,1,0,0,"",0
69,"グリーンティア択伐地",0,"",0,0,1,0,0,"",0
70,"ベントブランチ",0,"",0,0,1,0,0,"",0
71,"スカンポの安息所",0,"",0,0,1,0,0,"",0
72,"枯骨の森",0,"",0,0,1,0,0,"",0
73,"ハニーヤード",0,"",0,0,1,0,0,"",0
74,"ナインアイビー",0,"",0,0,1,0,0,"",0
75,"茨の森",0,"",0,0,1,0,0,"",0
76,"ラークスコール",0,"",0,0,1,0,0,"",0
77,"シルフ領",0,"",0,0,1,0,0,"",0
