Index,0 [0x0][0x0],1 [0x2][0xc],2 [0x0][0x4],3 [0x2][0xd],4 [0x2][0xe],5 [0x2][0xf],6 [0x2][0x10],7 [0x2][0x11],8 [0x0][0x8],9 [0x6][0x14],10 [0x6][0x18],11 [0x6][0x1c],12 [0x3][0x26],13 [0x5][0x20],14 [0x5][0x22],15 [0x5][0x24]
0,"Ledersattel",4,"Ledersättel",2,0,1,0,0,"Ledersattel",0,0,0,0,0,0,0
1,"limsisch[a] Sattelzeug",4,"limsisch[a] Sattelzeuge",2,0,1,2,0,"Limsisches Sattelzeug",65538,65541,65538,1,49049,49053,49051
2,"leicht[a] limsisch[a] Rossharnisch",4,"leicht[a] limsisch[a] Rossharnische",2,0,1,0,0,"Leichter limsischer Rossharnisch",65542,65542,65542,1,49001,49002,49003
3,"limsisch[a] Rossharnisch",4,"limsisch[a] Rossharnische",2,0,1,0,0,"Limsischer Rossharnisch",131078,131078,131078,1,49004,49005,49006
4,"schwer[a] limsisch[a] Rossharnisch",4,"schwer[a] limsisch[a] Rossharnische",2,0,1,0,0,"Schwerer limsischer Rossharnisch",196614,196614,196614,1,49007,49008,49009
5,"gridanisch[a] Sattelzeug",4,"gridanisch[a] Sattelzeuge",2,0,1,2,0,"Gridanisches Sattelzeug",65538,131077,65538,2,49049,49056,49051
6,"leicht[a] gridanisch[a] Rossharnisch",4,"leicht[a] gridanisch[a] Rossharnische",2,0,1,0,0,"Leichter gridanischer Rossharnisch",65543,65543,65543,2,49010,49011,49012
7,"gridanisch[a] Rossharnisch",4,"gridanisch[a] Rossharnische",2,0,1,0,0,"Gridanischer Rossharnisch",131079,131079,131079,2,49013,49014,49015
8,"schwer[a] gridanisch[a] Rossharnisch",4,"schwer[a] gridanisch[a] Rossharnische",2,0,1,0,0,"Schwerer gridanischer Rossharnisch",196615,196615,196615,2,49016,49017,49018
9,"ul'dhisch[a] Sattelzeug",4,"ul'dhisch[a] Sattelzeug",2,0,1,2,0,"Ul'dhisches Sattelzeug",65538,196613,65538,3,49049,49059,49051
