Index,0 [0x3][0x44],1 [0x3][0x45],2 [0x19][0x47],3 [0x5][0x2c],4 [0x3][0x46],5 [0x5][0x2e],6 [0x1a][0x47],7 [0x5][0x30],8 [0x5][0x32],9 [0x5][0x34],10 [0x5][0x36],11 [0x5][0x38],12 [0x5][0x3a],13 [0x5][0x3c],14 [0x5][0x3e],15 [0x5][0x40],16 [0x5][0x42],17 [0x0][0x0],18 [0x0][0x4],19 [0x0][0x8],20 [0x0][0xc],21 [0x0][0x10],22 [0x0][0x14],23 [0x0][0x18],24 [0x0][0x1c],25 [0x0][0x20],26 [0x0][0x24],27 [0x0][0x28]
0,0,0,false,0,0,0,false,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
1,0,0,false,0,0,0,false,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
2,0,0,false,0,0,0,false,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
3,0,0,false,0,0,0,false,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
4,0,0,false,0,0,0,false,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
5,0,0,false,0,0,0,false,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
6,0,0,false,0,0,0,false,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
7,0,0,false,0,0,0,false,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
8,0,0,false,0,0,0,false,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
9,0,0,false,0,0,0,false,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
10,0,0,false,0,0,0,false,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
11,0,0,false,0,0,0,false,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
12,0,0,false,0,0,0,false,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
13,0,0,false,0,0,0,false,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
14,0,0,false,0,0,0,false,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
15,3,0,false,0,0,0,false,0,0,0,0,0,0,0,0,0,0,"必要MGP：<value>MGP","やる","やる(無料券)","キャンセル","","","","","","",""
16,2,0,false,0,2,764,false,0,0,0,0,0,0,0,0,0,0,"挑戦には<value>MGPが必要です。\nよろしいですか？\n[所持MGP：<value>]\n[残り挑戦回数：<value>回]","はい","いいえ","","","","","","","",""
17,1,0,false,44,2,0,false,0,0,0,0,0,0,0,0,0,0,"どうやら、MGPが足りないようですね……。\nまずは、「MGP交換窓口」を覗いてみてはいかがでしょう？","","","","","","","","","",""
18,1,0,false,45,2,0,false,0,0,0,0,0,0,0,0,0,0,"おや、お客様は、先ほども挑戦してらっしゃいましたね……。\n「ミニ・くじテンダー」を気に入っていただき光栄ですが、\nおひとり様につき、挑戦は3回までとなっております……。","","","","","","","","","",""
19,1,0,false,16,2,764,false,0,0,0,0,0,0,0,0,0,0,"第<value>回「ミニ・くじテンダー」を開催中です！\n今日という日の運試しに、いかがでしょうか？","","","","","","","","","",""
20,1,0,false,21,2,764,false,0,0,0,0,0,0,0,0,0,0,"ああっ、あなた、大変でございます！\n迷子になっているヒナチョコボを見つけたのですが、\n意地悪なゴブリン族が、近づくのを阻んでくるのです。","","","","","","","","","",""
21,1,0,false,158,2,0,false,0,0,0,0,0,0,0,0,0,0,"爆弾がドンドン落ちてくるせいで、私では助けにいけず……。\nどうか、「マウント・コレル」の頂上まで登って、\nあの子を助けだしてあげてください！","","","","","","","","","",""
