Index,0 [0x0][0x0],1 [0x2][0x10],2 [0x0][0x4],3 [0x2][0x11],4 [0x2][0x12],5 [0x2][0x13],6 [0x2][0x14],7 [0x2][0x15],8 [0x0][0x8],9 [0x0][0xc]
0,"",0,"",0,0,0,0,0,"",""
1,"Legionär 3. Klasse",4,"Legionäre 3. Klasse",2,0,1,0,0,"Legionär","Legionär 3. Klasse"
2,"Legionär 2. Klasse",4,"Legionäre 2. Klasse",2,0,1,0,0,"Legionär","Legionär 2. Klasse"
3,"Legionär 1. Klasse",4,"Legionäre 1. Klasse",2,0,1,0,0,"Legionär","Legionär 1. Klasse"
4,"Phönixlegionär",4,"Phönixlegionäre",2,0,1,0,0,"Phönixlegionär","Phönixlegionär"
5,"Legionsgefreiter 3. Klasse",8,"Legionsgefreite 3. Klasse",2,0,1,0,0,"Legionsgefreiter","Legionsgefreiter 3. Klasse"
6,"Legionsgefreiter 2. Klasse",8,"Legionsgefreite 2. Klasse",2,0,1,0,0,"Legionsgefreiter","Legionsgefreiter 2. Klasse"
7,"Legionsgefreiter 1. Klasse",8,"Legionsgefreite 1. Klasse",2,0,1,0,0,"Legionsgefreiter","Legionsgefreiter 1. Klasse"
8,"Phönixgefreiter",8,"Phönixgefreite",2,0,1,0,0,"Phönixgefreiter","Phönixgefreiter"
9,"Zweiter Legionsfähnrich",4,"Zweite Legionsfähnriche",2,0,1,0,0,"Legionsfähnrich","Zweiter Legionsfähnrich"
10,"Erster Legionsfähnrich",4,"Erste Legionsfähnriche",2,0,1,0,0,"Legionsfähnrich","Erster Legionsfähnrich"
11,"Phönixfähnrich",4,"Phönixfähnriche",2,0,1,0,0,"Phönixfähnrich","Phönixfähnrich"
12,"Zweiter Legionshauptmann",4,"Zweite Legionshauptmänner",2,0,1,0,0,"Legionshauptmann","Zweiter Legionshauptmann"
13,"Erster Legionshauptmann",4,"Erste Legionshauptmänner",2,0,1,0,0,"Legionshauptmann","Erster Legionshauptmann"
14,"Phönixhauptmann",4,"Phönixhauptmänner",2,0,1,0,0,"Phönixhauptmann","Phönixhauptmann"
15,"Major der Legion",4,"Majore der Legion",2,0,1,0,0,"Major","Major der Legion"
16,"Oberst der Legion",4,"Obersts der Legion",1,0,1,0,0,"Oberst","Oberst der Legion"
17,"Generalmajor der Legion",4,"Generalmajore der Legion",2,0,1,0,0,"Generalmajor","Generalmajor der Legion"
18,"General der Legion",4,"Generäle der Legion",2,0,1,0,0,"General","General der Legion"
19,"Phönixgeneral",4,"Phönixgeneräle",2,0,1,0,0,"Phönixgeneral","Phönixgeneral"
