Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x5][0x8]
0,"","",0
1,"Halone, la Conquérante","Déesse de la guerre, maîtresse de la glace, elle est la protectrice de la Cité montagnarde d'Ishgard. Le cinquième mois de l'année lui est consacré. Elle est la fille de Rhalgr le Destructeur et l'ennemie jurée de Nophica la Mère dans la mythologie éorzéenne. Elle est souvent représentée comme une fière guerrière portant un immense bouclier de bronze. Son symbole est une lance.",61601
2,"Menphina, la Bien-aimante","Déesse des lunes et de l'amour, maîtresse de la glace, le onzième mois de l'année lui est consacré. Elle est la demi-sœur cadette d'Azeyma la Gardienne et l'amante d'Oschon le Vagabond dans la mythologie éorzéenne. Elle est communément représentée sous la forme d'une servante pleine de vie tenant une poêle à la main. Elle est symbolisée par une lune.",61602
3,"Thaliak, l'Érudit","Dieu des rivières et du savoir, il est le protecteur de la Cité de Sharlayan. Il tire son pouvoir divin de l'eau. Le troisième mois de l'année lui est consacré. Il est le père de Llymlaen la Navigatrice et le maître de Byregot l'Artisan dans la mythologie éorzéenne. Il est généralement représenté sous la forme d'un érudit s'appuyant sur un bâton de frêne et son symbole est un rouleau de parchemin.",61603
4,"Nymeia, la Fileuse","Déesse des planètes et du destin, maîtrisant le pouvoir de l'eau, le neuvième mois de l'année lui est consacré. Elle est la sœur cadette d'Althyk le Contemplateur et la maîtresse de Rhalgr le Destructeur dans la mythologie éorzéenne. Elle est souvent représentée sous la forme d'une fileuse avisée coiffée d'un voile de soie blanche. Elle est symbolisée par un rouet.",61604
5,"Llymlaen, la Navigatrice","Déesse de la mer et de la navigation, maîtresse du vent, elle est la protectrice de la ville maritime de Limsa Lominsa. Le quatrième mois de l'année est le sien. Elle est la fille de Thaliak l'Érudit et la sœur aînée de Nophica la Mère dans la mythologie éorzéenne. On la représente souvent sous la forme d'une pêcheuse robuste tenant à la main un gigantesque harpon. Elle est symbolisée par une vague déferlante.",61605
6,"Oschon, le Vagabond","Dieu des montagnes et du voyage, maître du vent, le dixième mois de l'année lui est consacré. Il est le beau-frère de Nald et Thal les Marchands et le meilleur ami de Halone la Conquérante dans la mythologie éorzéenne. On le représente généralement sous la forme d'un chasseur armé d'un arc d'if. Il est symbolisé par un bâton de marche.",61606
7,"Byregot, l'Artisan","Dieu de l'architecture et de l'artisanat et détenteur du pouvoir de la foudre. Le sixième mois de l'année lui est consacré. Il est le disciple de Thaliak l'Érudit et le frère aîné de Halone la Conquérante. Il est communément représenté sous la forme d'un honnête forgeron brandissant un marteau. Il est symbolisé par une main.",61607
8,"Rhalgr, le Destructeur","Dieu des astres et de la destruction, maître de la foudre, il est le protecteur de la Cité d'Ala Mhigo. Le douzième mois de l'année lui est consacré. Il est le serviteur de Nymeia la Fileuse, et le père de Byregot l'Artisan et Halone la Conquérante dans la mythologie éorzéenne. Il est souvent représenté comme un sorcier à l'intelligence vive portant un bâton de cuivre à la main. Il est symbolisé par une comète.",61608
9,"Azeyma, la Gardienne","Déesse du soleil et de la justice, Azeyma est détentrice du feu divin. Le premier mois de l'année est le sien. Elle est la fille d'Althyk le Contemplateur et la sœur aînée de Menphina la Bien-aimante dans la mythologie éorzéenne. On la représente souvent comme une femme majestueuse tenant à la main un éventail en or massif. Son symbole est le soleil.",61609
10,"Nald'thal, les Marchands","Dieux des enfers et du commerce, maîtrisant le pouvoir du feu, les jumeaux Nald et Thal sont les dieux protecteurs de la Cité marchande d'Ul'dah. Le septième mois de l'année leur est consacré. D'après la mythologie éorzéenne, ils partagent le même corps tout en ayant deux visages séparés. On les représente comme un marchand subtil tenant à la main une balance. Leur symbole est un coquillage servant de devise.",61610
11,"Nophica, la Mère","Déesse de la terre et des cultures, personnifiant le renouveau printanier, maîtrisant le pouvoir de la terre, Nophica est la protectrice de la Cité forestière de Gridania. Le second mois de l'année lui est consacré. Elle est la fille d'Azeyma la Gardienne et la petite sœur de Llymlaen la Navigatrice dans la mythologie éorzéenne. On la représente souvent comme une paysanne joyeuse portant une faux d'acier. Son symbole est celui d'un arbre verdissant.",61611
12,"Althyk, le Contemplateur","Dieu de la gravité et du temps, maîtrisant le pouvoir de la terre, le huitième mois de l'année lui est consacré. Il est le frère aîné de Nymeia la Fileuse et le père d'Azeyma la Gardienne et de Menphina la Bien-aimante dans la mythologie éorzéenne. Il est généralement représenté sous la forme d'un roi sévère portant une imposante hache de mithril. Il est symbolisé par un sablier.",61612
