Index,0 [0x7][0x18],1 [0x0][0x0],2 [0x0][0x4],3 [0x0][0x8],4 [0x0][0xc],5 [0x0][0x10],6 [0x0][0x14]
0,0,"Louveteau des tempêtes","Louveteau du serpent","Louveteau des sables","Louveteau des tempêtes","Louveteau du serpent","Louveteau des sables"
1,10,"Louveteau des tempêtes","Louveteau du serpent","Louveteau des sables","Louveteau des tempêtes","Louveteau du serpent","Louveteau des sables"
2,40,"Louveteau des tempêtes","Louveteau du serpent","Louveteau des sables","Louveteau des tempêtes","Louveteau du serpent","Louveteau des sables"
3,100,"Louveteau des tempêtes","Louveteau du serpent","Louveteau des sables","Louveteau des tempêtes","Louveteau du serpent","Louveteau des sables"
4,190,"Louveteau des tempêtes","Louveteau du serpent","Louveteau des sables","Louveteau des tempêtes","Louveteau du serpent","Louveteau des sables"
5,310,"Louveteau des tempêtes","Louveteau du serpent","Louveteau des sables","Louveteau des tempêtes","Louveteau du serpent","Louveteau des sables"
6,490,"Louveteau des tempêtes","Louveteau du serpent","Louveteau des sables","Louveteau des tempêtes","Louveteau du serpent","Louveteau des sables"
7,730,"Louveteau des tempêtes","Louveteau du serpent","Louveteau des sables","Louveteau des tempêtes","Louveteau du serpent","Louveteau des sables"
8,1030,"Louveteau des tempêtes","Louveteau du serpent","Louveteau des sables","Louveteau des tempêtes","Louveteau du serpent","Louveteau des sables"
9,1390,"Louveteau des tempêtes","Louveteau du serpent","Louveteau des sables","Louveteau des tempêtes","Louveteau du serpent","Louveteau des sables"
10,1810,"Hurleur des tempêtes","Hurleur du serpent","Hurleur des sables","Hurleuse des tempêtes","Hurleuse du serpent","Hurleuse des sables"
11,2350,"Hurleur des tempêtes","Hurleur du serpent","Hurleur des sables","Hurleuse des tempêtes","Hurleuse du serpent","Hurleuse des sables"
12,3010,"Hurleur des tempêtes","Hurleur du serpent","Hurleur des sables","Hurleuse des tempêtes","Hurleuse du serpent","Hurleuse des sables"
13,3790,"Hurleur des tempêtes","Hurleur du serpent","Hurleur des sables","Hurleuse des tempêtes","Hurleuse du serpent","Hurleuse des sables"
14,4690,"Hurleur des tempêtes","Hurleur du serpent","Hurleur des sables","Hurleuse des tempêtes","Hurleuse du serpent","Hurleuse des sables"
15,5710,"Hurleur des tempêtes","Hurleur du serpent","Hurleur des sables","Hurleuse des tempêtes","Hurleuse du serpent","Hurleuse des sables"
16,6910,"Hurleur des tempêtes","Hurleur du serpent","Hurleur des sables","Hurleuse des tempêtes","Hurleuse du serpent","Hurleuse des sables"
17,8290,"Hurleur des tempêtes","Hurleur du serpent","Hurleur des sables","Hurleuse des tempêtes","Hurleuse du serpent","Hurleuse des sables"
18,9850,"Hurleur des tempêtes","Hurleur du serpent","Hurleur des sables","Hurleuse des tempêtes","Hurleuse du serpent","Hurleuse des sables"
19,11590,"Hurleur des tempêtes","Hurleur du serpent","Hurleur des sables","Hurleuse des tempêtes","Hurleuse du serpent","Hurleuse des sables"
20,13510,"Grogneur des tempêtes","Grogneur du serpent","Grogneur des sables","Grogneuse des tempêtes","Grogneuse du serpent","Grogneuse des sables"
21,15670,"Grogneur des tempêtes","Grogneur du serpent","Grogneur des sables","Grogneuse des tempêtes","Grogneuse du serpent","Grogneuse des sables"
22,18070,"Grogneur des tempêtes","Grogneur du serpent","Grogneur des sables","Grogneuse des tempêtes","Grogneuse du serpent","Grogneuse des sables"
23,20710,"Grogneur des tempêtes","Grogneur du serpent","Grogneur des sables","Grogneuse des tempêtes","Grogneuse du serpent","Grogneuse des sables"
24,23590,"Grogneur des tempêtes","Grogneur du serpent","Grogneur des sables","Grogneuse des tempêtes","Grogneuse du serpent","Grogneuse des sables"
25,26710,"Grogneur des tempêtes","Grogneur du serpent","Grogneur des sables","Grogneuse des tempêtes","Grogneuse du serpent","Grogneuse des sables"
26,30130,"Grogneur des tempêtes","Grogneur du serpent","Grogneur des sables","Grogneuse des tempêtes","Grogneuse du serpent","Grogneuse des sables"
27,33850,"Grogneur des tempêtes","Grogneur du serpent","Grogneur des sables","Grogneuse des tempêtes","Grogneuse du serpent","Grogneuse des sables"
28,37870,"Grogneur des tempêtes","Grogneur du serpent","Grogneur des sables","Grogneuse des tempêtes","Grogneuse du serpent","Grogneuse des sables"
29,42190,"Grogneur des tempêtes","Grogneur du serpent","Grogneur des sables","Grogneuse des tempêtes","Grogneuse du serpent","Grogneuse des sables"
30,46810,"Harceleur des tempêtes","Harceleur du serpent","Harceleur des sables","Harceleuse des tempêtes","Harceleuse du serpent","Harceleuse des sables"
31,51790,"Harceleur des tempêtes","Harceleur du serpent","Harceleur des sables","Harceleuse des tempêtes","Harceleuse du serpent","Harceleuse des sables"
32,57130,"Harceleur des tempêtes","Harceleur du serpent","Harceleur des sables","Harceleuse des tempêtes","Harceleuse du serpent","Harceleuse des sables"
33,62830,"Harceleur des tempêtes","Harceleur du serpent","Harceleur des sables","Harceleuse des tempêtes","Harceleuse du serpent","Harceleuse des sables"
