Index,0 [0x7][0xc],1 [0x7][0x10],2 [0x7][0x14],3 [0x0][0x0],4 [0x0][0x4],5 [0x0][0x8]
0,0,0,0,"","",""
1,0,0,0,"Start","",""
2,0,0,0,"Konfiguration","",""
3,0,0,0,"Eröffnungssequenz","",""
4,0,0,0,"Credits","",""
5,0,0,0,"","",""
6,0,0,0,"Controller konfigurieren?\n※ Die Einstellungen können jederzeit in der Systemkonfiguration geändert werden.","",""
7,0,0,0,"Ja","",""
8,0,0,0,"Nein","",""
9,0,0,0,"","",""
10,0,0,0,"DIENST-ACCOUNT","",""
11,0,0,0,"Wähle einen Dienst-Account.","",""
12,0,0,0,"Version des Spiels: <value> (<value>)","",""
13,0,0,0,"<color #FF7B1A>Achtung:</color> Du spielst mit niedriger Auflösung (480p/i 576p/i).\nWir empfehlen eine Auflösung von 720p.","",""
14,0,0,0,"","",""
15,0,0,0,"Ok","",""
16,0,0,0,"Abbrechen","",""
17,0,0,0,"Wähle die Merkmale, die du ändern möchtest, aus der Liste rechts aus. „???“ stehen für unbestätigte Merkmale.","",""
18,0,0,0,"Wähle die Merkmale, die du ändern möchtest, aus der Liste rechts aus und bestätige sie mit OK.","",""
19,0,0,0,"Wähle die Merkmale, die du ändern möchtest, aus der Liste rechts aus. „???“ stehen für unbestätigte Merkmale. Bestätige das Aussehen, um die Anpassungen zu übernehmen.","",""
20,0,0,0,"Löschen","",""
21,0,0,0,"<value> löschen?","",""
22,0,0,0,"Ja, Schutz aufheben.","",""
23,0,0,0,"Namen ändern","",""
24,0,0,0,"Namen des Gehilfen ändern","",""
25,0,0,0,"Mit <value> einloggen?","",""
26,0,0,0,"Um dich mit diesem Charakter einloggen zu können, musst du seinen Namen ändern.","",""
27,0,0,0,"Um dich mit diesem Charakter einloggen zu können, musst du seinen Namen ändern.","",""
28,0,0,0,"Charakternamen in <value> ändern?","",""
29,0,0,0,"Gehilfennamen in <value> ändern?","",""
30,0,0,0,"Neuer Charakter","",""
31,0,0,0,"Die Charaktererschaffung abbrechen? Die aktuellen Einstellungen werden nicht gespeichert.","",""
32,0,0,0,"Ein neues Spiel mit diesem Charakter beginnen?","",""
33,0,0,0,"Einen neuen Charakter erschaffen?","",""
34,0,0,0,"Du kannst keine weiteren Charaktere erschaffen. Lösche mit Rechtsklick einen existierenden Charakter, um Platz zu schaffen.","",""
35,0,0,0,"<value>/<value>","",""
36,0,0,0,"Areal","",""
37,0,0,0,"<value>. Sonne im <switch:1. Licht/1. Schatten/2. Licht/2. Schatten/3. Licht/3. Schatten/4. Licht/4. Schatten/5. Licht/5. Schatten/6. Licht/6. Schatten>mond","",""
38,0,0,0,"（<value>.<value>.）","",""
39,0,0,0,"","",""
40,0,0,0,"1. Lichtmond","",""
41,0,0,0,"1. Schattenmond","",""
42,0,0,0,"2. Lichtmond","",""
43,0,0,0,"2. Schattenmond","",""
44,0,0,0,"3. Lichtmond","",""
45,0,0,0,"3. Schattenmond","",""
46,0,0,0,"4. Lichtmond","",""
47,0,0,0,"4. Schattenmond","",""
48,0,0,0,"5. Lichtmond","",""
49,0,0,0,"5. Schattenmond","",""
50,0,0,0,"6. Lichtmond","",""
51,0,0,0,"6. Schattenmond","",""
52,0,0,0,"","",""
53,0,0,0,"<value>. Sonne im <switch:1. Licht/1. Schatten/2. Licht/2. Schatten/3. Licht/3. Schatten/4. Licht/4. Schatten/5. Licht/5. Schatten/6. Licht/6. Schatten>mond","",""
54,0,0,0,"","",""
55,0,0,0,"","",""
56,0,0,0,"<value><switch:/(LEGACY)//(LEGACY)/(EU)/(LEGACY/EU)>","",""
57,0,0,0,"Liste der Welten wird erstellt ...","",""
58,0,0,0,"Liste der Welten konnte nicht erstellt werden ...","",""
59,0,0,0,"Die Welten werden aktualisiert. Danach kannst du sie erst nach <value> Minute<if:none/n> erneut aktualisieren.","",""
60,0,0,0,"Du hast keinen freien Charakter-Slot für dieses Spielerkonto. Um einen neuen Charakter zu erschaffen, musst du erst einen bestehenden löschen. Klicke dazu rechts auf den Charakternamen und wähle die Option „Löschen“.","",""
61,0,0,0,"Du hast die Obergrenze an verfügbaren Charakter-Slots pro Weltenserver erreicht. Um einen neuen Charakter zu erschaffen, musst du erst einen bestehenden löschen. Klicke dazu rechts auf den Charakternamen und wähle die Option „Löschen“.","",""
62,0,0,0,"Diese Welt ist bereits voll. Bitte wähle eine andere.","",""
63,0,0,0,"In dieser Welt können keine neuen Charaktere mehr erschaffen werden. Du kannst warten, bis wieder Platz frei wird, oder es in einer anderen Welt versuchen.","",""
64,0,0,0,"Du kannst diesen Charakter mit deinem momentanen Konto nicht benutzen.","",""
65,0,0,0,"Du hast einmalig die Gelegenheit, das Volk, den Stamm, das Geschlecht, das Aussehen und den Namen deines Charakters zu ändern.","",""
66,0,0,0,"Um dich mit diesem Charakter einzuloggen, musst du zunächst den Namen deines Gehilfen ändern.","",""
67,0,0,0,"Wenn du willst, kannst du das Volk, Geschlecht und Aussehen deines Charakters verändern.","",""
68,0,0,0,"Du kannst dich nicht einloggen, weil für dein momentanes Areal „<ref:ExVersion>“ erforderlich ist.","",""
69,0,0,0,"Du kannst Volksstamm, Geschlecht und Aussehen nicht ändern, weil für dein momentanes Areal „<ref:ExVersion>“ erforderlich ist.","",""
70,0,0,0,"Um dich mit diesem Charakter aus Version 1.x einzuloggen, musst du zunächst die Disziplin der Krieger oder Magier festlegen, mit der du das Spiel beginnen möchtest.","",""
71,0,0,0,"Ok","",""
72,0,0,0,"Abbrechen","",""
73,0,0,0,"Du hast dich entschieden, FINAL FANTASY XIV als <ref:ClassJob> zu beginnen. Dein neues Abenteuer startet in <ref:Town>.","",""
74,0,0,0,"Ok","",""
75,0,0,0,"Abbrechen","",""
