Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x19][0x8]
0,"","",false
1,"der Unersättliche","die Unersättliche",false
2,"der Aufrichtige","die Aufrichtige",false
3,"Coeurlfaust","Coeurlfaust",true
4,"Eisenfresser","Eisenfresser",true
5,"vom rachsüchtigen Speer","vom rachsüchtigen Speer",false
6,"Götterbogen","Götterbogen",true
7,"der Weiße","die Weiße",false
8,"Sternenrufer","Sternenrufer",true
9,"der Blutdürstige","die Blutdürstige",false
10,"Notorischer Kopfgeldjäger","Notorische Kopfgeldjägerin",true
11,"Ehrenhafter Gillionär","Ehrenhafte Gillionärin",true
12,"Ruchloser Gillionär","Ruchlose Gillionärin",true
13,"Kriegstreiber","Kriegstreiberin",true
14,"Erzmagier","Erzmagierin",true
15,"Erbauer des Reichs","Erbauerin des Reichs",true
16,"Erzeuger des Reichs","Erzeugerin des Reichs",true
17,"von der goldenen Säge","von der goldenen Säge",false
18,"vom goldenen Amboss","vom goldenen Amboss",false
19,"vom goldenen Hammer","vom goldenen Hammer",false
20,"vom goldenen Blatt","vom goldenen Blatt",false
21,"vom goldenen Fell","vom goldenen Fell",false
22,"von der goldenen Nadel","von der goldenen Nadel",false
23,"vom goldenen Blei","vom goldenen Blei",false
24,"von der goldenen Kelle","von der goldenen Kelle",false
25,"der die Wiesen gräbt","die die Wiesen gräbt",false
26,"der die Wälder gräbt","die die Wälder gräbt",false
27,"der die Wüsten gräbt","die die Wüsten gräbt",false
28,"vom Auenstein","vom Auenstein",false
29,"vom Tannenstein","vom Tannenstein",false
30,"vom Steppenstein","vom Steppenstein",false
31,"der die Wiesen rodet","die die Wiesen rodet",false
32,"der die Wälder rodet","die die Wälder rodet",false
33,"der die Wüsten rodet","die die Wüsten rodet",false
34,"vom Auengras","vom Auengras",false
35,"vom Tannengras","vom Tannengras",false
36,"vom Steppengras","vom Steppengras",false
37,"der die Wiesen einholt","die die Wiesen einholt",false
38,"der die Wälder einholt","die die Wälder einholt",false
39,"der die Wüsten einholt","die die Wüsten einholt",false
40,"vom Auenteich","vom Auenteich",false
41,"vom Tannenteich","vom Tannenteich",false
42,"vom Steppenteich","vom Steppenteich",false
43,"Virtuoser Materialist","Virtuoser Materialist",true
44,"Materia-Maestro","Materia-Maestro",true
45,"Kämpferseele","Kämpferseele",true
46,"Magierseele","Magierseele",true
47,"Handwerkerseele","Handwerkerseele",true
48,"Sammlerseele","Sammlerseele",true
49,"die helfende Hand","die helfende Hand",false
50,"Söldnerveteran","Söldnerveteranin",true
51,"Meister seiner Zunft","Meisterin ihrer Zunft",true
52,"Bewahrer des Friedens","Bewahrerin des Friedens",true
53,"Verbissener Verfolger","Verbissene Verfolgerin",true
54,"das Schwert von La Noscea","das Schwert von La Noscea",false
55,"das Schwert des Finsterwalds","das Schwert des Finsterwalds",false
56,"das Schwert von Thanalan","das Schwert von Thanalan",false
57,"das Schwert Eorzeas","das Schwert Eorzeas",false
58,"der Schild von La Noscea","der Schild von La Noscea",false
59,"der Schild des Finsterwalds","der Schild des Finsterwalds",false
60,"der Schild von Thanalan","der Schild von Thanalan",false
61,"der Schild Eorzeas","der Schild Eorzeas",false
62,"der Klingenbrecher","die Klingenbrecherin",false
63,"das Ass Azeymas","das Ass Azeymas",false
64,"der Ruhmreiche","die Ruhmreiche",false
65,"die Härte des Gesetzes","die Härte des Gesetzes",false
66,"Der Profi","Der Profi",true
67,"Inquisitor","Inquisitor",true
68,"Göttlicher Scharfrichter","Göttlicher Scharfrichter",true
69,"Steinspalter","Steinspalter",true
70,"des Kobolds schlimmster Albtraum","des Kobolds schlimmster Albtraum",false
71,"des Ixals schlimmster Albtraum","des Ixals schlimmster Albtraum",false
