Index,0 [0x7][0xf8],1 [0x0][0xf4],2 [0x0][0x0],3 [0x0][0x8],4 [0x0][0x10],5 [0x0][0x18],6 [0x0][0x20],7 [0x0][0x28],8 [0x0][0x30],9 [0x0][0x38],10 [0x0][0x40],11 [0x0][0x48],12 [0x0][0x50],13 [0x0][0x58],14 [0x0][0x60],15 [0x0][0x68],16 [0x0][0x70],17 [0x0][0x78],18 [0x0][0x80],19 [0x0][0x88],20 [0x0][0x90],21 [0x0][0x98],22 [0x0][0xa0],23 [0x0][0xa8],24 [0x0][0xb0],25 [0x0][0xb8],26 [0x0][0xc0],27 [0x0][0xc8],28 [0x0][0xd0],29 [0x0][0xd8],30 [0x0][0xe0],31 [0x0][0xe8],32 [0x7][0x4],33 [0x7][0xc],34 [0x7][0x14],35 [0x7][0x1c],36 [0x7][0x24],37 [0x7][0x2c],38 [0x7][0x34],39 [0x7][0x3c],40 [0x7][0x44],41 [0x7][0x4c],42 [0x7][0x54],43 [0x7][0x5c],44 [0x7][0x64],45 [0x7][0x6c],46 [0x7][0x74],47 [0x7][0x7c],48 [0x7][0x84],49 [0x7][0x8c],50 [0x7][0x94],51 [0x7][0x9c],52 [0x7][0xa4],53 [0x7][0xac],54 [0x7][0xb4],55 [0x7][0xbc],56 [0x7][0xc4],57 [0x7][0xcc],58 [0x7][0xd4],59 [0x7][0xdc],60 [0x7][0xe4],61 [0x7][0xec],62 [0x19][0xfc],63 [0x0][0xf0],64 [0x1a][0xfc],65 [0x1b][0xfc],66 [0x1c][0xfc],67 [0x1d][0xfc],68 [0x1e][0xfc],69 [0x1f][0xfc],70 [0x20][0xfc]
720896,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720897,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"",false,false,false,false,false,false,false
720898,60551,"CmnDefMogLetter_00002","HOWTO_MOGLETTER","DENINED_LETTERS","LETTER_BOX_USAGE","CLEAR_QUEST0","CLEAR_QUEST1","CLEAR_QUEST2","","","","","","","","","","","","","","","","","","","","","","","","",22,3902,3903,67017,67106,65898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,true,false,false,false,false,false
720899,0,"TstPlnTest_00003","","","","","","","","","","","","","","","","","","","","","RETAINER_SUCCESS_EMPLOY","RETAINER_SUCCESS_ASSIGN_MARKET","GRIDANIA","RETAINER_SUCCESS_DISMISS","REWARD_RETAINER","NPC_OF_GRIDANIA","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,396,2,395,3,1000233,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720900,0,"CmnRadEnterTotorak_00004","INSTANCE_CONTENT_ID","TERRITORY_TYPE","SCREENIMAGE0","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,169,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720901,0,"RegFstAdvGuild_00005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720902,0,"CmnDefLinkShell_00006","SUCCESS_LOG","HOWTO_LINKSHELL","INFO_ERROR_1","INFO_ERROR_2","","","","","","","","","","","","","","","","","","","","","","","","","","",485,17,364,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720903,0,"RegFstLncGuild_00007","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",65975,66608,65964,66604,67168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720904,0,"RegFstArcGuild_00008","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",65612,66626,65964,66622,67168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720905,0,"CmnDefRetainerDesk_00009","RETAINER_SUCCESS_EMPLOY","RETAINER_SUCCESS_ASSIGN_MARKET","LIMSA","GRIDANIA","ULDAH","RETAINER_SUCCESS_DISMISS","REWARD_RETAINER","NPC_OF_LIMSA","NPC_OF_GRIDANIA","NPC_OF_ULDAH","REGISTERING_CONTENT_FINDER","OTHER_WORLD","RETAINER_REMAKE_COMPLETE","ISHGARD","NPC_OF_ISHGARD","","","","","","","","","","","","","","","",394,396,1,2,3,395,3,1003275,1000233,1001963,22,30,406,4,1011198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Gehilfen",false,false,false,false,false,false,false
720906,60425,"CmnDefRetainerCall_00010","REWARD_RETAINER","HOWTO_RETAINER","HOWTO_RETAINER_TASK","BASE_IDLE_2","EMOTE_BOW","MINER","HARVESTER","FISHERMAN","HOWTO_RETAINER_VENTURE_1","HOWTO_RETAINER_VENTURE_2","HOWTO_RETAINER_CLASS","REWARD_RETAINER_VENTURE","TUTORIAL_FLAG_INTRO","TUTORIAL_FLAG_ABOUT_RESET","TUTORIAL_FLAG_CLASS_SET","TUTORIAL_FLAG_WEAPON_SET","TUTORIAL_FLAG_ABOUT_BATTLE","TUTORIAL_FLAG_ABOUT_MINING","TUTORIAL_FLAG_ABOUT_BOTANY","TUTORIAL_FLAG_ABOUT_FISHING","TUTORIAL_FLAG_ACCEPTED","TUTORIAL_FLAG_FINISHED","TUTORIAL_FLAG_ABOUT_FORTUNE","EMOTE_YES","","","","","","",3,51,53,785,694,16,17,18,168,169,173,93,1,2,4,8,16,32,64,128,256,512,1024,739,0,0,0,0,0,0,false,"Gehilfen rufen",false,true,false,false,false,false,false
720907,0,"CmnDefRetainerRemove_00011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Gehilfen entlassen",false,false,false,false,false,false,false
720908,0,"CmnDefRentalChocobo_00012","POP_RANGE","HOWTO_ABOUT_RENTAL_CHOCOBO","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2040811,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Chocobo mieten",false,false,false,false,false,false,false
720909,0,"CmnBhtEnterLv020St0003_00013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720910,0,"CmnDunEnterTamtara_00014","INSTANCE_CONTENT_ID","TERRITORY_TYPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720911,0,"JobDefNin_00015","QUEST0","QUEST1","QUEST2","","","","","","","","","","","","","","","","","","","","","","","","","","","",65770,65771,67224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720912,0,"RegFstEternalCeremonyGuideRoom_00016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720913,0,"RegFstEternalCeremonyGuideHall_00017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720914,0,"CmnFstAlphaLevelup_00018","LEVEL_UP_TO_15_QUEST","LEVEL_UP_TO_29_DUNGEON","ENPC_WANDERING_MINSTREL","ENPC_LVUP_LANCER","ENPC_LVUP_ARCHER","ENPC_LVUP_CONJURER","ENPC_LVUP_GLADIATOR","ENPC_LVUP_MARAUDER","ENPC_LVUP_PUGILIST","ENPC_LVUP_THAUMATURGE","REWARD_BUDDY","ITEM_GYSAHL_GREENS","HOWTO_BUDDY_SUMMON","REWARD_MY_CHOCOBO","GLADIATOR_LV30_REWARD_ACTION","PUGILIST_LV30_REWARD_ACTION","MARAUDER_LV30_REWARD_ACTION","LANCER_LV30_REWARD_ACTION","ARCHER_LV30_REWARD_ACTION","CONJURER_LV30_REWARD_ACTION","THAUMATURGE_LV30_REWARD_ACTION","GLADIATOR_LV30_REWARD_ACTION_QUEST","PUGILIST_LV30_REWARD_ACTION_QUEST","MARAUDER_LV30_REWARD_ACTION_QUEST","LANCER_LV30_REWARD_ACTION_QUEST","ARCHER_LV30_REWARD_ACTION_QUEST","CONJURER_LV30_REWARD_ACTION_QUEST","THAUMATURGE_LV30_REWARD_ACTION_QUEST","LV30_ACTION_REWARD_VFX","",66047,1,1002370,1000619,1000437,1000644,1002064,1002229,1002049,1004325,18,4868,96,17,25,66,47,91,113,135,157,65798,66094,65852,65591,65604,65628,65886,114,0,false,"Segen empfangen",true,false,false,false,false,false,false
720915,60434,"CmnDefNpcRepair_00019","QUEST_AMJ_OPEN","QUEST_KOB_OPEN","QUEST_SAH_OPEN","QUEST_IXA_OPEN","ENPC_AMJ_REPAIR","ENPC_KOB_REPAIR","ENPC_SAH_REPAIR","ENPC_IXA_REPAIR","MOT_EVENT_MENACE","","","","","","","","","","","","","","","","","","","","","",66754,66857,66911,67023,1008910,1008908,1008906,1009206,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Etwas reparieren lassen",false,false,false,false,false,false,false
720916,0,"CmnDefInnBed_00020","POS_S1TI_BED_FRONT","POS_W1TI_BED_FRONT","POS_F1TI_BED_FRONT","TERRITORY_TYPE_S1TI","TERRITORY_TYPE_W1TI","TERRITORY_TYPE_F1TI","SLEEP_ACTION","WAKEUP_DREAM_ACTION","WAKEUP_ACTION","POS_R2TI_BED_FRONT","TERRITORY_TYPE_R2T1","","","","","","","","","","","","","","","","","","","",3972987,3972985,3972441,177,178,179,986,988,989,5878294,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",true,false,false,false,true,false,false
720917,0,"CmnDefInnDoor_00021","POP_RANGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2232680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720918,0,"RegFstInnInfo_00022","REWARD0","POP_RANGE","","","","","","","","","CONDITION_DEFAULT_TALK","HOWTO_MARKET","HOWTO_MARKET_GETITEM","","","","","","","","","","","","","","","","","",2,1359058,0,0,0,0,0,0,0,0,23,47,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720919,0,"RegFstCnjGuild_00023","QUEST0","QUEST1","QUEST2","CONTENT0","QUEST3","QUEST4","QUEST5","","","","","","","","","","","","","","","","","","","","","","","",65977,66620,66726,22,65964,66616,67168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720920,0,"RegFstCnjPreach_00024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720921,0,"CmnBhtRewardLv020St0003_00025","REWARD_BEHEST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720922,0,"CmnDefWarpNpc_00026","ACTOR0","ACTOR1","POPRANGE0","POPRANGE1","QUEST01","QUEST02","QUEST03","","","","","","","","","","","","","","","","","","","","","","","",1001263,1000541,1381039,1381038,65621,65659,65660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720923,0,"RegFstHowToAutoAttack_00027","HOWTO_BATTLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,"Plaudern",true,true,false,false,true,false,false
720924,0,"CmnDefTownWarpNode_00028","EVENT_ACTION_SYMPATHY","VFX_SYMPATHY_SUCCESS","LOGMSG_SYMPATHY_SUCCESS","","","","","","","","","","","","","","","","","","","","","","","","","","","",19,115,1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",true,false,false,false,false,false,false
720925,0,"RegFstWdkGuild_00029","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",66075,65964,67533,67537,67168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720926,0,"RegFstTanGuild_00030","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",65602,65964,67611,67615,67168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720927,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720928,0,"RegFstAetheryteGuid_00032","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720929,0,"RegFstHrvGuild_00033","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",65549,65964,67584,67588,67168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720930,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720931,0,"TstPlnCmpFCCounter_00035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720932,0,"TstPlnTest_00036","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720933,0,"CmnFatTest_00037","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"FATE Test",false,false,false,false,false,false,false
720934,0,"TstPlnNcut_00038","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Ncut Test",false,false,false,false,false,false,false
720935,0,"CmnDefMarketBoardGridania_00039","CONDITION_DEFAULT_TALK","HOWTO_MARKET","HOWTO_MARKET_GETITEM","","","","","","","","","","","","","","","","","","","","","","","","","","","",23,47,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,true,false,false,false,false,false
720936,0,"TstPrgGetItemTest_00040","ITEM","QUEST","LOGMSG_EVENT_INVENTORY_FULL_ERROR","","","","","","","","","","","","","","","","","","","","","","","","","","","",3042,65565,1767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Real Item GET Test",false,false,false,false,false,false,false
720937,0,"CmnRadEnterHaukkeManor_00041","INSTANCE_CONTENT_ID","TERRITORY_TYPE","SCREENIMAGE0","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,166,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720938,0,"RegWilBlackBrash_00042","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720939,0,"RegWilArrzanethOssuary_00043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720940,0,"RegSeaMorabyDrydocks_00044","QUEST0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",65950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720941,0,"RegFstMagicItemTips_00045","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720942,0,"ComDefGrandCompany_00046","REWARD_GRAND_COMPANY","GRAND_COMPANY_INVALID","ORDER_OF_TWIN_ADDER","HOW_TO_GRANDCOMPANY","","","","","","","","","","","","","","","","","","","","","","","","","","",10,0,2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Staatliche Gesellschaft",false,false,false,false,false,false,false
