Index,0 [0x5][0x4],1 [0x5][0x6],2 [0x5][0x8],3 [0x5][0xa],4 [0x5][0xc],5 [0x5][0xe],6 [0x5][0x10],7 [0x5][0x12],8 [0x0][0x0]
1179648,1,0,0,0,0,0,0,0,"Reginald Eventman I"
1179649,0,0,0,0,0,0,0,0,"Reginald Eventman II"
1179650,16,2,4,18,8,12,0,0,"Gridania"
1179651,6,0,0,0,0,0,0,0,"Jagdhütte der Hawthornes"
1179652,21,24,0,0,0,0,0,0,"Buscarrons Horst"
1179653,10,25,23,0,0,0,0,0,"Mühlenbruch"
1179654,14,20,22,108,0,0,0,0,"Camp Seelenruhe"
1179655,17,27,0,0,0,0,0,0,"Mühlenhain"
1179656,19,26,94,0,0,0,0,0,"Herbstkürbis-See"
1179657,3,0,0,0,0,0,0,0,"Gut Zwieselgrund"
1179658,42,32,44,30,48,52,38,28,"Ul'dah"
1179659,33,36,34,0,0,0,0,0,"Horizont"
1179660,31,37,0,0,0,0,0,0,"Bucht des Abendsterns"
1179661,29,35,0,0,0,0,0,0,"Silberbasar"
1179662,43,0,0,0,0,0,0,0,"Kohlenstaub-Bahnhof"
1179663,46,56,110,0,0,0,0,0,"Camp Knochenbleich"
1179664,50,58,0,0,0,0,0,0,"Klein-Ala Mhigo"
1179665,54,59,0,0,0,0,0,0,"Vergessene Oase"
1179666,40,60,0,0,0,0,0,0,"Camp Blauer Dunst"
1179667,57,0,0,0,0,0,0,0,"Goldbasar"
1179668,61,0,0,0,0,0,0,0,"Erdseim-Fabrik"
1179669,62,88,64,86,68,72,76,0,"Limsa Lominsa"
1179670,63,0,0,0,0,0,0,0,"Sommerfurt-Höfe"
1179671,66,93,0,0,0,0,0,0,"Tölpelturm-Siedlung"
1179672,70,0,0,0,0,0,0,0,"Bierhafen"
1179673,74,0,0,0,0,0,0,0,"Weinhafen"
1179674,79,0,0,0,0,0,0,0,"Camp Bronzesee"
1179675,87,90,0,0,0,0,0,0,"Moraby-Trockendocks"
1179676,89,91,0,0,0,0,0,0,"Gockelburg"
1179677,84,0,0,0,0,0,0,0,"Sonnenküste"
1179678,0,0,0,0,0,0,0,0,"（空き）"
1179679,98,0,0,0,0,0,0,0,"Observatorium"
1179680,99,101,102,96,0,0,0,0,"Camp Drachenkopf"
1179681,100,0,0,0,0,0,0,0,"Weißenfels"
1179682,104,106,0,0,0,0,0,0,"Geisterzoll"
1179683,107,0,0,0,0,0,0,0,"Sankt Coinach-Forschungslager"
1179684,140,0,0,0,0,0,0,0,"Fundamente"
1179685,141,112,114,0,0,0,0,0,"Falkenhorst"
1179686,113,118,0,0,0,0,0,0,"Urteilsfels"
1179687,116,120,122,124,0,0,0,0,"Fiederhag"
1179688,123,128,0,0,0,0,0,0,"Trinär-Annex"
1179689,126,130,0,0,0,0,0,0,"Großwest Kurzrast"
1179690,132,134,0,0,0,0,0,0,"Moglingen"
1179691,135,136,0,0,0,0,0,0,"Asha-Wolkenweg"
1179692,137,133,0,0,0,0,0,0,"Kreidetempel"
1179693,138,0,0,0,0,0,0,0,"Ok' Zundo"
1179694,139,0,0,0,0,0,0,0,"Camp Wolkenwipfel"
