Index,0 [0x0][0x0],1 [0x2][0x10],2 [0x0][0x4],3 [0x2][0x11],4 [0x2][0x12],5 [0x2][0x13],6 [0x2][0x14],7 [0x2][0x15],8 [0x0][0x8],9 [0x0][0xc],10 [0x5][0x24],11 [0x5][0x26],12 [0x3][0x28],13 [0x7][0x18],14 [0x3][0x29],15 [0x6][0x1c],16 [0x6][0x20]
2000000,"",0,"",0,0,1,0,0,"","",0,0,1,0,0,83,85
2000001,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000002,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000003,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000004,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000005,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000006,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000007,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000008,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000009,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000010,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000011,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000012,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000013,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000014,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000015,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000016,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000017,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000018,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000019,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000020,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000021,"オニィーの髪飾り",0,"オニィーの髪飾り",0,0,1,0,0,"どんぐり遊園の少女オニィーのお気に入りの髪飾り","",22623,1,1,0,3,83,85
2000022,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000023,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000024,"真新しい工具箱",0,"真新しい工具箱",0,0,1,0,0,"新人の木工師が忘れていった工具箱","",21002,1,1,65563,3,83,85
2000025,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000026,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000027,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000028,"アーゼマローズ",0,"アーゼマローズ",0,0,1,0,0,"園芸師から預かったアーゼマローズの花","",25919,1,1,65562,3,83,85
2000029,"小さな金具",0,"小さな金具",0,0,1,0,0,"タタソサから預かった小さな金具","",21007,1,1,65568,3,83,85
2000030,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000031,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000032,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000033,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000034,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000035,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000036,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000037,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000038,"ファイアキャンディ",0,"ファイアキャンディ",0,0,1,0,0,"ファイアクリスタル色に輝く美味しそうなキャンディ","",22624,1,1,66704,3,83,85
2000039,"ウィンドキャンディ",0,"ウィンドキャンディ",0,0,1,0,0,"ウィンドクリスタル色に輝く美味しそうなキャンディ","",22625,1,1,66704,3,83,85
2000040,"アースキャンディ",0,"アースキャンディ",0,0,1,0,0,"アースクリスタル色に輝く美味しそうなキャンディ","",22626,1,1,66704,3,83,85
2000041,"ボムの親指",0,"ボムの親指",0,0,1,0,0,"ガス生物ボムの親指","",30201,1,5,66705,3,83,85
2000042,"守護天節のランタン",0,"守護天節のランタン",0,0,1,0,0,"伝説のカボチャのお化けを模した、カボチャのランタン","",24153,1,1,66706,5,83,85
