Index,0 [0x0][0x0],1 [0x0][0x4]
0,"",""
1,"Mahatma des Widders","Kraft des Beteuerns"
2,"Mahatma des Stiers","Kraft des Besitzens"
3,"Mahatma der Zwillinge","Kraft des Erwägens"
4,"Mahatma des Krebses","Kraft des Ableitens"
5,"Mahatma des Löwen","Kraft des Wollens"
6,"Mahatma der Jungfrau","Kraft des Analysierens"
7,"Mahatma der Waage","Kraft des Abwägens"
8,"Mahatma des Skorpions","Kraft des Verlangens"
9,"Mahatma des Schützen","Kraft des Verstehens"
10,"Mahatma des Steinbocks","Kraft des Dienens"
11,"Mahatma des Wassermanns","Kraft des Erkennens"
12,"Mahatma der Fische","Kraft des Glaubens"
