Index,0 [0x0][0x0],1 [0x6][0x8],2 [0x6][0xc],3 [0x6][0x10],4 [0x6][0x14],5 [0x6][0x18],6 [0x6][0x1c],7 [0x6][0x20],8 [0x6][0x24],9 [0x3][0x32],10 [0x3][0x33],11 [0x19][0x35],12 [0x1a][0x35],13 [0x1b][0x35],14 [0x1c][0x35],15 [0x3][0x34],16 [0x6][0x28],17 [0x5][0x2c],18 [0x5][0x2e],19 [0x5][0x30],20 [0x7][0x4]
0,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
1,"Surprise",689,0,0,0,674,674,0,0,1,0,false,true,false,false,74,402,64001,100,200,0
2,"Se fâcher",690,0,0,639,639,639,0,0,1,0,false,true,false,false,69,403,64002,101,201,0
3,"Furieux",691,0,0,664,664,664,0,0,1,0,false,true,false,false,63,404,64003,102,202,0
4,"Rougir",693,0,0,0,0,0,0,0,1,0,false,true,false,false,26,405,64004,103,203,0
5,"S'incliner",694,0,0,0,0,0,0,0,1,0,false,true,false,false,1,406,64005,104,204,0
6,"Encourager",695,0,0,0,675,675,0,0,1,0,false,true,false,false,44,407,64006,105,205,0
7,"Applaudir",696,0,0,656,645,676,0,0,1,0,false,true,false,false,42,408,64007,106,206,0
8,"Inviter",697,0,0,0,0,0,0,0,1,0,false,true,false,false,91,409,64008,107,207,0
9,"Consoler",698,0,0,0,677,677,0,0,1,0,false,true,false,false,27,410,64009,108,208,0
10,"Pleurer",699,0,0,0,678,678,0,0,1,0,false,true,false,false,62,411,64010,109,209,0
11,"Danser",700,0,0,0,0,0,0,0,1,0,false,true,false,false,31,412,64011,110,210,0
12,"Questionner",702,0,0,0,0,0,0,0,1,0,false,true,false,false,75,413,64012,111,211,0
13,"Somnoler",703,0,0,657,646,679,0,0,1,0,false,true,false,false,97,414,64013,112,212,0
14,"Dépit",704,0,0,0,0,0,0,0,1,0,false,true,false,false,64,415,64014,113,213,0
15,"Au revoir",705,0,0,637,680,680,0,0,1,0,false,true,false,false,3,416,64015,114,214,0
16,"Signe de la main",706,0,0,663,652,681,0,0,1,0,false,true,false,false,4,417,64016,115,215,0
17,"Consterner",707,0,0,660,649,682,0,0,1,0,false,true,false,false,70,418,64017,116,216,0
