Index,0 [0x3][0x4],1 [0x0][0x0]
0,1,""
1,1,"テストデータです。"
2,1,"Die Spedition Rasender Raptor hat dich darum gebeten, eine Vase der Thorne-Dynastie an einen Gold Saucer-Bediensteten zu liefern. Nimm dich vor Dieben in Acht, die es auf die kostbare Fracht abgesehen haben, um sie auf dem Schwarzmarkt zu verhökern."
3,2,"Die Spedition Rasender Raptor hat dich darum gebeten, zwei Vasen der Thorne-Dynastie an Gold Saucer-Bedienstete zu liefern. Nimm dich vor Dieben in Acht, die es auf die kostbare Fracht abgesehen haben, um sie auf dem Schwarzmarkt zu verhökern."
4,3,"Die Spedition Rasender Raptor hat dich darum gebeten, drei Vasen der Thorne-Dynastie an Gold Saucer-Bedienstete zu liefern. Nimm dich vor Dieben in Acht, die es auf die kostbare Fracht abgesehen haben, um sie auf dem Schwarzmarkt zu verhökern."
5,1,""
6,1,""
7,1,""
8,1,""
9,1,""
10,1,""
