Index,0 [0x0][0x0],1 [0x0][0x4]
0,"",""
1,"Mahatma du bélier","sentiment d'affirmation"
2,"Mahatma du taureau","sentiment de possession"
3,"Mahatma des gémeaux","sentiment de réflexion"
4,"Mahatma du cancer","sentiment de compassion"
5,"Mahatma du lion","sentiment de résolution"
6,"Mahatma de la vierge","sentiment d'interprétation"
7,"Mahatma de la balance","sentiment de comparaison"
8,"Mahatma du scorpion","sentiment d'aspiration"
9,"Mahatma du sagittaire","sentiment de perception"
10,"Mahatma du capricorne","sentiment de dépendance"
11,"Mahatma du verseau","sentiment de reconnaissance"
12,"Mahatma des poissons","sentiment de conviction"
