Index,0 [0x0][0x0]
0,"テストデータ"
1,"シュポシェのヒント（仮）"
2,"First Spear Rydel\nTotoRak Expedition Notes  (Day 1)\nStrange lights sighted from just inside dungeon entrance. Creatures of the forest? Closer inspection reveals them to be man-made machines. Ashcrown Consortium technologist accompanying party believes them to be of Garlean design. Labels them “magitek photocells.” Collect for further study."
3,"First Spear Rydel\nTotoRak Expedition Notes  (Day 2)\nDramatic increase in light emitted by photocells observed upon collecting fourth. Dispatched two lancers to Gridania with orders to deliver the photocells to Stillglade Fane. Soon after their departure, received linkpearl transmission from pair reporting marked reduction in photocell glow as distance from Maws increased. Recalled lancers."
4,"First Spear Rydel\nTotoRak Expedition Notes  (Day 3)\nLancer downed attempting to breach what Ashcrown technologist calls a “magitek field.” Technologist advises that there should be a device in the vicinity powering the barrier. No choice but to look for it. Divided party into four teams to expedite search. Whisperings of discontent? No. Just my imagination."
5,"First Spear Rydel\nTotoRak Expedition Notes  (Day 4)\nDevice located, but one team yet to return. Barrier terminal unresponsive until technologist suggests applying set of four photocells. How does he know these things? Watch him. Lancer suggests locating missing team. Decide to press on."
6,"First Spear Rydel\nTotoRak Expedition Notes  (Day 5)\nEncountered sheer drop several yalms down passage. Rock face looks treacherous but descent should be possible with ropes. Return climb may be troublesome─especially with the technologist slowing us down. Lancers seem uncertain. After consulting with second officer, have decided to proceed. Will send scouts to find alternate route back to entrance."
7,"First Spear Rydel\nTotoRak Expedition Notes  (Day 6)\nDiscovered mangled bodies of the missing team beyond the drop. Have lost linkpearl contact with the two scouts sent to find alternate route out. Presumed lost or deserted. Will continue expedition for now, but must consider retreat if situation worsens."
8,"First Spear Rydel\nTotoRak Expedition Notes  (Day 7)\nThree lancers report difficulty breathing, as if something dank and heavy is clogging their lungs. Another two disappeared into the darkness, screaming. Technologist believes cause to be extreme levels of aetheric energy detected ahead. Lies. He has done something to us! The elementals warned me about him. Should have listened. Technologist suggests turning back. I see him for what he is now. Garlean worm is dead. Feel better. Pressing on."
9,"You find a bloodstained scrap of parchment with a message scrawled upon it in faded ink.\n\n<i>“The Capten lykes his sees Bloo.”</i>"
10,"You find a bloodstained scrap of parchment with a message scrawled upon it in faded ink.\n\n<i>“The Capten lykes his wyne Redd.”</i>"
11,"You find a bloodstained scrap of parchment with a message scrawled upon it in faded ink.\n\n<i>“The Capten lykes his cabege Green.”</i>"
12,"I finally mustered the courage to speak with your hero, my love. <forename> is as kind and wise as <if:she/he> is brave and strong. <if:She/He> listened attentively as I told <if:her/him> all about you─about us.\n\nThough <if:she/he> is a <if:woman/man> of few words, or perhaps because <if:she/he> is, everything <if:she/he> said seemed to inspire me. Why, <if:her/his> gaze alone instilled me with a confidence I never knew I had. Truly, I feel better prepared to face the future for having met <if:her/him>. How right you were, my love."
13,"Scarcely a week has passed since we returned to the village, and already I cannot help thinking it was a mistake. There was a time when this place seemed just large enough. But having seen the wider world, it all feels so insufferably confined that I often find myself struggling for breath. I know that it is the same for you, my love.\n\n\n\nThe only time I feel truly alive is when I am adventuring with you. We are as caged birds in this backwater. So long as we remain here, we will never spread our wings and soar. So let us take to the road, and create a lifetime of wonderful memories together."
14,"I could not have hoped for a more romantic first visit to Mor Dhona. The crystals that pierce the landscape glowed in all their majesty, as if to celebrate our future together. And as we lazed by Silvertear Lake, watching the waves lapping at the shore, the sun took its leave behind the horizon, that we might enjoy a moment of intimacy.\n\n\n\n“I want us to be together forever.” You first said these words to me years ago, and you said them to me again tonight. I am so happy to be with you."
15,"You have been looking deathly pale of late. The scorching heat of Thanalan does not agree with you. You were never fond of hot climes, and it was a mistake to come here. Let us make for Coerthas, where the bracing air will put roses on your cheeks."
