Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x6][0x8],3 [0x5][0xc],4 [0x3][0xe],5 [0x19][0xf],6 [0x1a][0xf]
0,"","",405,0,0,false,false
1,"帰還","ペットを帰還させる。",530,0,0,false,false
2,"追従","ペットを自身に追従させる。",529,0,0,false,false
3,"移動","ペットを指定地点まで移動させる。",527,0,0,false,false
4,"待機","ペットをその場で待機させる。",528,0,0,false,false
5,"インターセプト","ペットに、自分が攻撃を行うか、自分またはペットが攻撃を受けるまで戦闘しないように命令する。",531,0,0,false,false
6,"ピース","ペットに、自分が指示を出すまで戦闘しないように命令する。",532,0,0,false,false
7,"フリーファイト","ペットに攻撃させる。",525,0,0,false,false
8,"セミオーダー","ペットに攻撃させる。ただし、一部のアクションは命令を受けるまで実行しない。",526,0,0,false,false
9,"ガスト","対象に風属性魔法攻撃。　<color?>威力：</color>90",561,637,1,false,false
10,"ふきとばし","対象に風属性魔法攻撃。　<color?>威力：</color>80\n<color?>追加効果：</color>対象を15mノックバックする\n<color #FF7B1A>「セミオーダー」</color>状態では命令を受けるまで実行しない。</color>",563,638,1,true,false
11,"ダウンバースト","対象とその周囲の敵に風属性範囲魔法攻撃。　<color?>威力：</color>80\n<color #FF7B1A>「セミオーダー」</color>状態では命令を受けるまで実行しない。</color>",562,639,1,true,false
12,"エメラルドの輝き","マスターが対象にかけた継続ダメージの効果時間を15秒延長する。\n<color #FF7B1A>「セミオーダー」</color>状態では命令を受けるまで実行しない。</color>",564,640,1,true,false
13,"ひっかき","対象に土属性魔法攻撃。　<color?>威力：</color>70\n<color?>追加効果：</color>敵視アップ",551,633,2,false,false
14,"トパーズの輝き","自身の周囲の敵に土属性範囲魔法攻撃。　<color?>威力：</color>60\n<color?>追加効果：</color>敵視アップ\n<color #FF7B1A>「セミオーダー」</color>状態では命令を受けるまで実行しない。",552,634,2,true,false
15,"かたまり","一定時間、ペット自身の被ダメージを20％軽減させる。\n<color?>効果時間：</color>20秒\n<color #FF7B1A>「セミオーダー」</color>状態では命令を受けるまで実行しない。</color>",553,635,2,true,false
