Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x0][0x8]
0,"Kommandomenü 1","Komm1","komm1"
1,"Kommandomenü 2","Komm2","komm2"
2,"Kommandomenü 3","Komm3","komm3"
3,"Kommandomenü 4","Komm4","komm4"
4,"Kommandomenü 5","Komm5","komm5"
5,"Kommandomenü 6","Komm6","komm6"
6,"Kommandomenü 7","Komm7","komm7"
7,"Kommandomenü 8","Komm8","komm8"
8,"Kommandomenü 9","Komm9","komm9"
9,"Kommandomenü 10","Komm10","komm10"
10,"Helfer-Kommandomenü","familiar","famil"
11,"Kreuz-Kommandomenü","kreuzmenü","kreuz"
12,"Fortschrittsbalken","fort","balk"
13,"Details zum Ziel","Ziel","ziel"
14,"Details zum Fokusziel","Fokus","fokus"
15,"Gruppenliste","gruppe","gr"
16,"Gegnerliste","gegner","geg"
17,"Charakterparameter","Char","char"
18,"Anfragen","anfragen","frag"
19,"Minikarte","karte","mini"
20,"Hauptmenü","Haupt","haupt"
21,"Server-Info","Server","server"
22,"Gil","Gil","gil"
23,"Inventarschema","inventar","inv"
24,"Aufgabenliste","aufgaben","aufg"
25,"Details zum Gegenstand","gegenstand","gegen"
26,"Details zum Kommando","kommando","komm"
27,"Limitrausch-Balken","limitrausch","limit"
28,"Routinebalken","routine","rou"
29,"Status-Effekte","Status","buff"
30,"Allianzliste 1","Allianz 1","all1"
31,"Allianzliste 2","Allianz 2","all2"
32,"目的リスト","DutyList","dlist"
33,"コンテンツ情報","ContentsInfo","cinfo"
34,"Kombo-Menü","Kombo","kombo"
35,"Sekundärziel-Liste","sekundär","sek"
36,"<nil>","",""
37,"Tutorialtexte","tutor","tut"
38,"","",""
39,"","",""
40,"","",""
