Index,0 [0x0][0x0],1 [0x2][0x8],2 [0x0][0x4],3 [0x2][0x9],4 [0x2][0xa],5 [0x2][0xb],6 [0x2][0xc],7 [0x2][0xd],8 [0x5][0x48],9 [0x3][0x4a],10 [0x6][0x10],11 [0x6][0x14],12 [0x6][0x18],13 [0x6][0x1c],14 [0x6][0x20],15 [0x6][0x24],16 [0x6][0x28],17 [0x6][0x2c],18 [0x6][0x30],19 [0x6][0x34],20 [0x6][0x38],21 [0x6][0x3c],22 [0x6][0x40],23 [0x6][0x44]
262144,"",0,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262145,"Riviera-Holzhütte",3,"Riviera-Holzhütten",1,0,1,1,0,22,0,6347,6374,6401,6410,6455,6458,6461,0,0,0,6455,6458,6461,0
262146,"Riviera-Komposithütte",3,"Riviera-Komposithütten",1,0,1,1,0,22,0,6348,6375,6402,6411,6455,6458,6461,0,0,0,6455,6458,6461,0
262147,"Riviera-Steinhütte",3,"Riviera-Steinhütten",1,0,1,1,0,22,0,6349,6376,6403,6412,6455,6458,6461,0,0,0,6455,6458,6461,0
262148,"Riviera-Holzhaus",2,"Riviera-Holzhäuser",2,0,1,2,0,22,1,6350,6377,6401,6410,6455,6458,6462,6455,6458,6462,6455,6458,6462,0
262149,"Riviera-Komposithaus",2,"Riviera-Komposithäuser",2,0,1,2,0,22,1,6351,6378,6402,6411,6455,6458,6462,6455,6458,6462,6455,6458,6462,0
262150,"Riviera-Steinhaus",2,"Riviera-Steinhäuser",2,0,1,2,0,22,1,6352,6379,6403,6412,6455,6458,6462,6455,6458,6462,6455,6458,6462,0
262151,"Riviera-Holzresidenz",3,"Riviera-Holzresidenzen",1,0,1,1,0,22,2,6353,6380,6401,6410,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463
262152,"Riviera-Kompositresidenz",3,"Riviera-Kompositresidenzen",1,0,1,1,0,22,2,6354,6381,6402,6411,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463
262153,"Riviera-Steinresidenz",3,"Riviera-Steinresidenzen",1,0,1,1,0,22,2,6355,6382,6403,6412,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463
262154,"Wald-Holzhütte",3,"Wald-Holzhütten",1,0,1,1,0,23,0,6356,6383,6404,6413,6456,6459,6464,0,0,0,6456,6459,6464,0
262155,"Wald-Komposithütte",3,"Wald-Komposithütten",1,0,1,1,0,23,0,6357,6384,6405,6414,6456,6459,6464,0,0,0,6456,6459,6464,0
262156,"Wald-Steinhütte",3,"Wald-Steinhütten",1,0,1,1,0,23,0,6358,6385,6406,6415,6456,6459,6464,0,0,0,6456,6459,6464,0
262157,"Wald-Holzhaus",2,"Wald-Holzhäuser",2,0,1,2,0,23,1,6359,6386,6404,6413,6456,6459,6465,6456,6459,6465,6456,6459,6465,0
262158,"Wald-Komposithaus",2,"Wald-Komposithäuser",2,0,1,2,0,23,1,6360,6387,6405,6414,6456,6459,6465,6456,6459,6465,6456,6459,6465,0
262159,"Wald-Steinhaus",2,"Wald-Steinhäuser",2,0,1,2,0,23,1,6361,6388,6406,6415,6456,6459,6465,6456,6459,6465,6456,6459,6465,0
262160,"Wald-Holzresidenz",3,"Wald-Holzresidenzen",1,0,1,1,0,23,2,6362,6389,6404,6413,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466
262161,"Wald-Kompositresidenz",3,"Wald-Kompositresidenzen",1,0,1,1,0,23,2,6363,6390,6405,6414,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466
262162,"Wald-Steinresidenz",3,"Wald-Steinresidenzen",1,0,1,1,0,23,2,6364,6391,6406,6415,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466
262163,"Oasen-Holzhütte",3,"Oasen-Holzhütten",1,0,1,1,0,24,0,6365,6392,6407,6416,6457,6460,6467,0,0,0,6457,6460,6467,0
262164,"Oasen-Komposithütte",3,"Oasen-Komposithütten",1,0,1,1,0,24,0,6366,6393,6408,6417,6457,6460,6467,0,0,0,6457,6460,6467,0
262165,"Oasen-Steinhütte",3,"Oasen-Steinhütten",1,0,1,1,0,24,0,6367,6394,6409,6418,6457,6460,6467,0,0,0,6457,6460,6467,0
262166,"Oasen-Holzhaus",2,"Oasen-Holzhäuser",2,0,1,2,0,24,1,6368,6395,6407,6416,6457,6460,6468,6457,6460,6468,6457,6460,6468,0
262167,"Oasen-Komposithaus",2,"Oasen-Komposithäuser",2,0,1,2,0,24,1,6369,6396,6408,6417,6457,6460,6468,6457,6460,6468,6457,6460,6468,0
262168,"Oasen-Steinhaus",2,"Oasen-Steinhäuser",2,0,1,2,0,24,1,6370,6397,6409,6418,6457,6460,6468,6457,6460,6468,6457,6460,6468,0
262169,"Oasen-Holzresidenz",3,"Oasen-Holzresidenzen",1,0,1,1,0,24,2,6371,6398,6407,6416,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469
262170,"Oasen-Kompositresidenz",3,"Oasen-Kompositresidenzen",1,0,1,1,0,24,2,6372,6399,6408,6417,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469
262171,"Oasen-Steinresidenz",3,"Oasen-Steinresidenzen",1,0,1,1,0,24,2,6373,6400,6409,6418,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469
262172,"",0,"",0,0,1,0,0,0,0,0,0,0,0,6455,6458,6461,0,0,0,0,0,0,0
262173,"",0,"",0,0,1,0,0,0,0,0,0,0,0,6456,6459,6464,0,0,0,0,0,0,0
262174,"",0,"",0,0,1,0,0,0,0,0,0,0,0,6457,6460,6467,0,0,0,0,0,0,0
