Index,0 [0x7][0xc],1 [0x0][0x8],2 [0x0][0x0],3 [0x0][0x4]
100,1,"@","【Sprachen】","Sprachen."
101,1,"","Bitte benutz die Auto-Übersetzung.","-"
102,1,"","Japanisch","-"
103,1,"","Englisch","-"
104,1,"","Französisch","-"
105,1,"","Deutsch","-"
106,1,"","Kannst du Japanisch sprechen?","-"
107,1,"","Kannst du Englisch sprechen?","-"
108,1,"","Kannst du Französisch sprechen?","-"
109,1,"","Kannst du Deutsch sprechen?","-"
110,1,"","Ich spreche kein Englisch.","-"
111,1,"","Ich spreche kein Japanisch.","-"
112,1,"","Ich spreche kein Französisch.","-"
113,1,"","Ich spreche kein Deutsch.","-"
114,1,"","Hör mir bitte zu.","-"
115,1,"","Kannst du mich hören?","-"
116,1,"","Ich spreche es ein bisschen.","-"
117,1,"","Ich verstehe es ein bisschen.","-"
118,1,"","Benutz bitte einfache Wörter.","-"
119,1,"","Bitte benutz keine Abkürzungen.","-"
120,1,"","Ich brauche ein wenig Zeit, um zu antworten.","-"
121,1,"","Was ist deine Muttersprache?","-"
200,2,"@","【Begrüßung】","Begrüßung."
201,2,"","Sehr erfreut.","-"
202,2,"","Guten Morgen!","-"
203,2,"","Hallo!","-"
204,2,"","Guten Abend!","-"
205,2,"","Gute Nacht!","-"
206,2,"","Tschüs.","-"
207,2,"","Ich hatte heute viel Spaß!","-"
208,2,"","Bis bald!","-"
209,2,"","Lass uns mal wieder gemeinsam spielen!","-"
210,2,"","Ich bin zurück.","-"
211,2,"","Willkommen zurück.","-"
212,2,"","Gratulation!","-"
213,2,"","Gut gemacht!","-"
214,2,"","Viel Glück!","-"
215,2,"","Super!","-"
216,2,"","Danke.","-"
217,2,"","Gern geschehen.","-"
218,2,"","Mach's gut!","-"
219,2,"","Es tut mir leid.","-"
220,2,"","Verzeihung.","-"
221,2,"","Schade.","-"
222,2,"","Entschuldigung ...","-"
223,2,"","Gute Reise!","-"
224,2,"","Ich bin zum ersten Mal hier.","-"
225,2,"","Ich freu mich schon darauf!","-"
226,2,"","Das war klasse!","-"
227,2,"","Auf geht's!","-"
228,2,"","Danke und vielleicht bis bald!","-"
229,2,"","Lass es uns entspannt angehen!","-"
230,2,"","Ich werd mein Bestes geben!","-"
300,3,"@","【Fragen】","Fragen."
301,3,"","Wer?","-"
302,3,"","Welche(r/s)?","-"
303,3,"","Wie?","-"
304,3,"","Was?","-"
305,3,"","Wann?","-"
306,3,"","Wie viele?","-"
307,3,"","Wo?","-"
308,3,"","Warum?","-"
309,3,"","Wieso?","-"
310,3,"","Wohin gehst du?","-"
311,3,"","Ist dir das möglich?","-"
312,3,"","Brauchst du Hilfe?","-"
313,3,"","Welchen Gildenfreibrief nehmen wir?","-"
314,3,"","Welche Inhalte kannst du schon machen?","-"
315,3,"","Hast du's?","-"
316,3,"","Was für Waffen hast du?","-"
317,3,"","Zu welchen Charakterklassen kannst du wechseln?","-"
318,3,"","Welche Rollen kannst du sonst noch übernehmen?","-"
319,3,"","Hast du es angelegt?","-"
320,3,"","Wie lautet der Schlachtplan?","-"
321,3,"","Kann ich dich auf meine Freundesliste setzen?","-"
322,3,"","Sollen wir eine Pause einlegen?","-"
323,3,"","Soll ich es reparieren?","-"
324,3,"","Kannst du es für mich reparieren?","-"
325,3,"","Soll ich für dich Materia einsetzen?","-"
326,3,"","Kannst du für mich Materia einsetzen?","-"
327,3,"","Willst du in meine Gruppe?","-"
328,3,"","Kann ich in deine Gruppe eintreten?","-"
329,3,"","Sollen wir die Gruppe auflösen?","-"
330,3,"","Möchtest du meinem Kontaktkreis beitreten?","-"
331,3,"","Kannst du mich in deinen Kontaktkreis aufnehmen?","-"
332,3,"","Möchtest du meiner Freien Gesellschaft beitreten?","-"
333,3,"","Darf ich deiner Freien Gesellschaft beitreten?","-"
334,3,"","Was machst du?","-"
335,3,"","Wie wär's mit einer Partie Triple Triad?","-"
336,3,"","Können wir die Regeln ändern?","-"
337,3,"","Sollen wir an einem Triple Triad-Turnier teilnehmen?","-"
338,3,"","Hast du genug MP?","-"
339,3,"","Hast du irgendwelche Fragen?","-"
340,3,"","Hast du es gesehen?","-"
341,3,"","Welche Strategie benutzen wir?","-"
400,4,"@","【Antworten】","Antworten."
401,4,"","Ich verstehe nicht.","-"
402,4,"","Nein, danke.","-"
403,4,"","Ja, bitte.","-"
404,4,"","Ich bitte darum.","-"
405,4,"","Verstanden.","-"
406,4,"","Es tut mir leid. Ich bin gerade beschäftigt.","-"
407,4,"","Ich möchte im Moment lieber allein spielen.","-"
408,4,"","Ich weiß nicht, wie ich diese Frage beantworten soll.","-"
409,4,"","Ach so.","-"
410,4,"","Danke für das Angebot, aber ich muss ablehnen.","-"
411,4,"","Interessant.","-"
412,4,"","Ähmmm ...","-"
413,4,"","Häh!?","-"
414,4,"","Wirklich?","-"
415,4,"","Hmmm.","-"
416,4,"","Ich muss bald weg.","-"
417,4,"","Ich möchte noch eine Runde spielen.","-"
418,4,"","Lass uns für heute Schluss machen.","-"
419,4,"","Ich möchte eine Pause einlegen.","-"
420,4,"","Kann sein.","-"
500,5,"@","【Gründe】","Gründe."
501,5,"","Ich bin dabei, Magie anzuwenden.","-"
502,5,"","Zeit zu arbeiten!","-"
503,5,"","Ich habe bereits Pläne.","-"
504,5,"","Ich bin schläfrig.","-"
505,5,"","Ich bin müde.","-"
506,5,"","Ich hab was zu tun, muss gehen.","-"
507,5,"","Ich fühle mich nicht gut.","-"
508,5,"","Dafür bin ich nicht zu haben.","-"
509,5,"","Ich bin interessiert.","-"
510,5,"","Ich bin gerade in einem Spielinhalt beschäftigt.","-"
511,5,"","Kämpfe gerade!","-"
512,5,"","Ich will Geld verdienen.","-"
513,5,"","Ich erinnere mich nicht.","-"
514,5,"","Ich weiß nicht.","-"
515,5,"","Habe es gerade benutzt.","-"
516,5,"","Ich will Routine.","-"
517,5,"","Ups! Mein Fehler.","-"
518,5,"","Ich wurde schon eingeladen.","-"
519,5,"","Das hab ich schon.","-"
520,5,"","Die Rekrutierung wurde beendet.","-"
521,5,"","Ich mache mich gerade bereit.","-"
522,5,"","Ich kann hier gerade nicht weg.","-"
523,5,"","Wir unterhalten uns.","-"
524,5,"","Ich habe keine Tastatur.","-"
525,5,"","Ich seh mich hier um.","-"
600,6,"@","【Handel】","Handel."
601,6,"","Kann ich es haben?","-"
602,6,"","Kannst du das für mich erledigen?","-"
603,6,"","Kannst du mir einen besseren Preis machen?","-"
604,6,"","Kaufen?","-"
605,6,"","Verkaufen?","-"
606,6,"","Handeln?","-"
607,6,"","Brauchst du es?","-"
608,6,"","Kannst du es herstellen?","-"
609,6,"","Besitzt du es?","-"
610,6,"","Welche Materialien benötigst du?","-"
611,6,"","Ich habe kein Geld.","-"
612,6,"","Ich habe keine Gegenstände.","-"
613,6,"","Ich habe nichts, was ich dir geben könnte.","-"
614,6,"","Du kannst es haben.","-"
615,6,"","Bitte.","-"
616,6,"","Belohnung:","-"
617,6,"","Preis:","-"
618,6,"","Warensendung","-"
700,7,"@","【Organisierung】","Organisierung."
701,7,"","Suche Mitglieder.","-"
702,7,"","Lasst uns versammeln.","-"
703,7,"","Sollen wir uns verbünden?","-"
704,7,"","Bist du allein?","-"
705,7,"","Noch Platz in der Gruppe?","-"
706,7,"","Lade mich bitte ein.","-"
707,7,"","Lass mich beitreten.","-"
