Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x5][0xc],3 [0x3][0x20],4 [0x5][0xe],5 [0x3][0x21],6 [0x4][0x1e],7 [0x5][0x10],8 [0x3][0x22],9 [0x2][0x30],10 [0x3][0x23],11 [0x2][0x31],12 [0x19][0x34],13 [0x1a][0x34],14 [0x1b][0x34],15 [0x1c][0x34],16 [0x1d][0x34],17 [0x1e][0x34],18 [0x1f][0x34],19 [0x20][0x34],20 [0x19][0x35],21 [0x2][0x32],22 [0x1a][0x35],23 [0x1b][0x35],24 [0x3][0x24],25 [0x3][0x25],26 [0x3][0x26],27 [0x1c][0x35],28 [0x3][0x27],29 [0x5][0x12],30 [0x3][0x28],31 [0x5][0x14],32 [0x5][0x16],33 [0x1d][0x35],34 [0x5][0x18],35 [0x5][0x1a],36 [0x3][0x29],37 [0x2][0x33],38 [0x3][0x2a],39 [0x3][0x2b],40 [0x5][0x1c],41 [0x7][0x8],42 [0x3][0x2c],43 [0x3][0x2d],44 [0x1e][0x35],45 [0x1f][0x35],46 [0x3][0x2e],47 [0x20][0x35],48 [0x19][0x36],49 [0x1a][0x36],50 [0x1b][0x36],51 [0x1c][0x36],52 [0x1d][0x36],53 [0x1e][0x36],54 [0x1f][0x36],55 [0x20][0x36],56 [0x3][0x2f]
0,"","",405,0,0,0,0,0,0,-1,0,0,false,false,false,false,false,false,false,false,false,0,true,true,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,false,false,0,false,false,false,true,true,true,false,false,true,0
1,"Schlüsselgegenstand","",405,8,83,0,85,1875,0,0,0,3,false,false,false,true,false,true,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,false,0,0,0,0,0,0,0,0,1,0,false,false,0,false,false,false,true,true,true,false,false,true,0
2,"Interaktion","",405,8,92,0,0,1875,0,0,0,3,false,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,false,50,0,0,0,0,0,0,0,1,0,false,false,0,false,false,false,true,true,true,false,false,true,0
3,"Sprint","",405,0,0,0,368,1875,0,0,0,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,6,0,0,0,0,false,0,300,56,0,0,0,0,0,1,0,false,false,0,false,false,false,true,true,true,false,false,true,0
4,"Reittier","",405,5,83,0,165,1875,0,0,0,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,false,10,0,0,0,0,0,0,0,1,0,false,false,0,false,false,false,true,true,true,false,false,true,0
5,"Teleport","",111,10,92,106,164,1875,0,0,0,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,false,50,0,0,0,0,0,0,4,1,0,false,false,0,false,false,false,true,true,true,false,false,true,0
6,"Rückführung","",112,10,92,107,163,1875,0,0,0,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,false,50,9000,57,0,0,0,0,1,1,0,false,false,0,false,false,false,true,true,true,false,false,true,0
7,"Attacke","",405,1,0,0,-1,1875,0,0,0,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,0,0,-1,7,0,0,0,1,0,false,false,0,false,false,false,true,true,true,false,false,true,0
8,"Schießen","Du führst eine Fernkampfattacke aus.\nDie Reaktivierungszeit variiert je nach Verzögerungswert deiner angelegten Hauptwaffe.",405,1,0,0,-2,1876,0,0,0,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,0,0,-1,7,0,0,0,0,0,false,false,0,false,false,false,true,true,true,false,false,true,0
9,"Vortexschnitt","Du führst eine physische Attacke aus.\nAttacke-Wert: 150",158,3,0,0,310,1875,0,1,1,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,70,0,0,0,false,0,25,58,-1,7,0,0,0,38,2,false,false,0,false,false,false,true,true,true,false,false,true,0
10,"Schutzwall","Du reduzierst erlittenen Schaden um <if:<if:<ERROR Parsing: ��E>>> %.\nDauer: 20 Sekunden",152,4,0,0,369,1875,0,1,2,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,900,5,0,0,0,0,0,38,1,false,false,0,false,false,false,true,true,true,false,false,true,0
11,"Schurkenschwert","Du führst eine physische Attacke aus.\nAttacke-Wert: 100\nZusatzeffekt: Erhöhte Feindseligkeit\nKombo-Bedingung: Vortexschnitt\nAttacke-Wert: 200",157,3,0,0,311,1875,206,1,4,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,9,false,0,25,58,-1,7,0,0,0,39,2,false,false,0,false,false,false,true,true,true,false,false,true,0
12,"Konvaleszenz","Du regenerierst um <if:<if:<ERROR Parsing: ��E>>> % mehr LP durch Zauber oder Kommandos.\nDauer: 20 Sekunden",162,4,0,0,370,1875,0,1,10,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,7,0,0,0,0,0,37,1,false,false,0,false,false,false,true,true,true,false,false,true,0
