Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x3][0x8],3 [0x19][0xa],4 [0x1a][0xa],5 [0x2][0x9]
0,"","",0,true,false,0
1,"general01f","general01_pf",0,true,false,0
2,"general02f","general02_pf",4,true,false,0
3,"gl_fan060_0f","gl_fan060_0pf",3,true,false,0
4,"gl_fan090_0f","gl_fan090_0pf",3,true,false,0
5,"gl_fan120_0f","gl_fan120_0pf",3,true,false,0
6,"m0096sp_05c1s","",2,true,false,0
7,"m0096sp_06c2s","",2,true,false,0
8,"m0098sp04cx0t","",2,true,false,0
9,"m0098sp07cx0t","",4,true,false,0
10,"m0077sp03o0m","",4,true,false,0
11,"m0077sp03o1m","",4,true,false,0
12,"gl_sircle_1907af","",2,true,false,0
13,"gl_sircle_3004af","",2,true,false,0
14,"gl_sircle_5003af","",2,true,false,0
15,"gl_fan270_0100af","",3,true,false,0
16,"gl_fan270_1005af","",3,true,false,0
17,"gl_fan270_1510af","",3,true,false,0
18,"sandpilr1o0c","",2,true,false,0
19,"m0063gt_loop_0m","",2,true,false,0
20,"m0057sp09cx0s","",2,true,false,0
21,"m0062sp_03o0s","",2,false,false,0
22,"taihuunome0m","",2,true,false,0
23,"tatumaki0m","",2,true,false,0
24,"m063sp019o0c","",4,true,false,0
25,"m0031sp03o0c","",4,true,false,0
26,"m0099sp_03o0t","",4,true,false,0
27,"gl_shipimpact0f","",2,true,false,0
28,"gl_fan150_0f","gl_fan150_0pf",3,true,false,0
29,"d1006_meteo1m","",2,true,false,0
30,"d1006_sp04o1m","",2,true,false,0
31,"m0172sp05o0c","",4,true,false,0
32,"m0095sp16o0c","",3,true,false,0
33,"m0073_mijingiri1m","",4,true,false,0
34,"m0073_wagiri1m","",3,true,false,0
35,"m0073_wagiri2m","",3,true,false,0
36,"m0073_wagiri3m","",3,true,false,0
37,"m0073_wagiri4m","",3,true,false,0
38,"m0073_ougigiri1m","",3,true,false,0
39,"m0073_jiraisin1m","",2,true,false,0
40,"undeadraise1o0h","",2,true,false,4
41,"rinsen_s_omen","",3,true,false,0
42,"rinsen_m_omen","",3,true,false,0
43,"rinsen_l_omen","",3,true,false,0
44,"leviathan_mizubakudan1t0h","",2,true,false,0
45,"neil_jiware_o0t","",3,true,false,0
46,"bahamut2_bomu_omen0s","",2,true,false,0
47,"m0171sp05o0c","",2,true,false,0
48,"d1006_delta1m","",3,true,false,0
49,"d1006_overpowaer1m","",3,true,false,0
50,"m0123_banrai_omen1s","",2,true,false,0
51,"m0212sp02o0c","",2,true,false,0
52,"kuraken_kanketu_gtkougeki_o0c","",2,true,false,0
53,"m0074sp04o0c","",2,true,false,0
54,"m7006sp01omen1s","",4,true,false,0
55,"m7006sp03omen1s","",4,true,false,0
56,"m0125sp05o0h","",3,true,false,0
57,"m0125_gardian_enerugihdan_0m","",2,true,false,0
58,"shiva_fuyuturara_raka_omen1m","",2,true,false,0
59,"shiva_fleezfloa_omen0m","",2,true,false,0
60,"m0070_fan120_0h","",3,true,false,0
61,"m0070_fan180_0h","",3,true,false,0
62,"phoenix_bluefire0t","",2,true,false,0
63,"m0118sp05o0t","",4,true,false,0
64,"m0117_gtae_01s","",2,true,false,0
65,"m0117_trap_01s","",2,true,false,0
66,"m0129sp01_omen_m","",3,true,false,0
67,"mokuyaku_genryu_bom1m","",2,true,false,0
68,"mokuyaku_genryu_bom2m","",2,true,false,0
69,"mokuyaku_genryu_bom3m","",2,true,false,0
70,"mokuyaku_genryu_o1m","",3,true,false,0
71,"mokuyaku_genryu_o2m","",3,true,false,0
72,"mokuyaku_genryu_o3m","",2,true,false,0
73,"m131om_setu0f","",4,true,false,0
74,"m131om_getu0f","",2,true,false,2
75,"m131om_hana0f","",3,true,false,0
76,"m070_fleezfloa_omen0f","",2,true,false,0
77,"m070_meteo1f","",2,true,false,0
78,"gl_sircle_1512af","",2,true,false,0
79,"m0272sp09o0c","",2,true,false,0
80,"m0260sp03o0c","",3,true,false,0
81,"m0227_sp03_omen1s","",2,true,false,0
82,"d1024_sp03_0s","",3,true,false,0
83,"fate_altema_madoufensu1t","",2,true,false,0
84,"m0248_freeze_o0c","",4,true,false,0
85,"m0248_center_o0c","",4,true,false,0
86,"m0248_side_o0c","",4,true,false,0
87,"d1015sp11o0c","",2,true,false,0
88,"m0244laser_o0t","",4,true,false,0
89,"m0244donut_o0t","",2,true,false,0
90,"d1025_sp012_bunsan01s","",2,true,false,0
91,"c0501_fan240af","",3,true,false,0
92,"d1025_sp11_zignzan0c","",2,true,false,0
93,"m0103sp03o0t","",2,true,false,0
94,"m0244en_o0t","",2,true,false,0
95,"m0066tatari_o0c","",2,true,false,0
96,"bismarck_mizubakudan1h","",2,true,false,0
97,"","",0,true,false,0
98,"","",0,true,false,0
99,"gl_fan030_0f","",3,true,false,0
100,"gl_fan060_1f","",3,true,false,0
101,"gl_fan120_1f","",3,true,false,0
102,"general01bf","",3,true,false,0
