Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x7][0x8]
0,"Pas d'objet","Touchez un coffre pour obtenir un objet!",70101
1,"Choco-potion","Restaure 10% de l'énergie.",70102
2,"Potion de frénésie","Empêche l'énergie de baisser pendant 10 secondes.",70104
3,"Sandales de course","Votre chocobo sprinte à vitesse maximale.",70105
4,"Choco-éther","Permet de réutiliser une aptitude déjà utilisée.",70108
5,"Eau de Bacchus","Inflige Fébrilité au chocobo situé devant le vôtre dans le classement.",70107
6,"Graviballe","Inflige Pesanteur au chocobo situé devant le vôtre dans le classement.",70109
7,"Couronne de ronces","Crée un champ de force autour du chocobo. Tout adversaire qui y pénètre perd de l'énergie.",70103
8,"Nectar d'héroïsme","Certaines caractéristiques de votre chocobo sont renforcées pendant 15 secondes, et toutes les altérations d'état deviennent ineffectives.",70106
9,"Choco-météores","Une pluie de météores s'abat sur tous les chocobos situés devant le vôtre dans le classement.",70110
10,"","",0
