Index,0 [0x0][0x0],1 [0x6][0x4],2 [0x3][0x8],3 [0x3][0x9],4 [0x2][0xa]
0,"",0,0,0,0
1,"武器",60102,0,0,0
2,"製作道具",60113,0,0,0
3,"採集道具",60120,0,0,0
4,"防具",60126,0,0,0
5,"アクセサリ",60135,0,0,0
6,"薬品・食品",60136,0,0,0
7,"素材",60137,0,0,0
8,"その他",60159,0,0,0
9,"格闘武器",60101,1,1,2
10,"片手剣",60102,1,0,1
11,"斧",60103,1,2,3
12,"弓",60105,1,4,5
13,"槍",60104,1,3,4
14,"呪具",60108,1,9,7
15,"幻具",60107,1,8,6
16,"魔道書",60109,1,10,26
17,"盾",60110,2,0,0
18,"投擲武器",60111,0,0,0
19,"木工道具",60112,1,12,8
20,"鍛冶道具",60113,1,13,9
21,"甲冑道具",60114,1,14,10
22,"彫金道具",60115,1,15,11
23,"革細工道具",60116,1,16,12
24,"裁縫道具",60117,1,17,13
25,"錬金道具",60118,1,18,14
26,"調理道具",60119,1,19,15
27,"採掘道具",60120,1,20,16
28,"園芸道具",60121,1,21,17
29,"漁道具",60122,1,22,18
30,"釣り餌",60123,1,23,18
31,"頭防具",60124,2,1,0
32,"胴下着",60125,0,0,0
33,"胴防具",60126,2,2,0
34,"脚下着",60127,0,0,0
35,"脚防具",60128,2,3,0
36,"手防具",60129,2,4,0
37,"足防具",60130,2,5,0
38,"帯防具",60131,2,6,0
39,"首飾り",60132,2,8,0
40,"耳飾り",60133,2,9,0
41,"腕輪",60134,2,10,0
42,"指輪",60135,2,11,0
43,"薬品",60136,3,0,0
44,"食材",60137,3,1,0
45,"調理品",60146,3,2,0
46,"水産物",60138,3,3,0
47,"石材",60139,3,4,0
48,"金属材",60140,3,5,0
49,"木材",60141,3,6,0
50,"布材",60142,3,7,0
51,"皮革材",60143,3,8,0
52,"骨材",60144,3,9,0
53,"錬金術材",60145,3,10,0
54,"染料",60147,3,11,0
55,"部品",60148,3,12,0
56,"調度品(一般)",60164,4,3,0
57,"マテリア",60150,3,13,0
58,"クリスタル",60151,3,14,0
59,"触媒",60152,3,15,0
60,"雑貨",60153,3,16,0
61,"ソウルクリスタル",60157,0,0,0
62,"矢",60153,0,0,0
63,"クエストアイテム",60158,0,0,0
64,"その他",60159,0,0,0
65,"外装建材",60160,4,0,0
66,"内装建材",60161,4,1,0
67,"庭具",60168,4,2,0
68,"調度品(椅子・寝台)",60165,4,4,0
69,"調度品(台座)",60162,4,5,0
70,"調度品(卓上)",60163,4,6,0
71,"調度品(壁掛)",60166,4,7,0
72,"調度品(敷物)",60167,4,8,0
73,"双剣",60106,1,5,29
74,"雑貨(シーズナル)",60154,3,17,0
75,"ミニオン",60155,3,18,0
76,"両手剣",60170,1,6,32
77,"銃",60172,1,7,31
78,"天球儀",60171,1,11,33
79,"飛空艇部品",60169,3,19,0
80,"",0,0,0,0
81,"",0,0,0,0
82,"",0,0,0,0
83,"",0,0,0,0
84,"",0,0,0,0
85,"",0,0,0,0
86,"",0,0,0,0
87,"",0,0,0,0
88,"",0,0,0,0
89,"",0,0,0,0
90,"",0,0,0,0
91,"",0,0,0,0
92,"",0,0,0,0
93,"",0,0,0,0
94,"",0,0,0,0
95,"",0,0,0,0
96,"",0,0,0,0
97,"",0,0,0,0
98,"",0,0,0,0
99,"",0,0,0,0
100,"",0,0,0,0
