Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x0][0x8],3 [0x3][0x1c],4 [0x19][0x24],5 [0x1a][0x24],6 [0x1b][0x24],7 [0x3][0x1d],8 [0x3][0x1e],9 [0x3][0x1f],10 [0x3][0x20],11 [0x3][0x21],12 [0x3][0x22],13 [0x7][0xc],14 [0x5][0x14],15 [0x5][0x16],16 [0x5][0x18],17 [0x7][0x10],18 [0x5][0x1a],19 [0x3][0x23]
0,"","","",0,false,false,false,0,1,0,0,0,0,0,0,0,0,0,0,0
1,"Duty Roulette: Leveling","A dungeon or trial will be selected at random from among those you have unlocked. Successful completion will earn you far greater rewards.

※Bonus EXP and gil will be awarded to compensate for the discrepancy between character and duty levels. A further percentage will then be added based on character level.
※The amount of bonus company seals awarded is determined by class/job level.
※Allagan tomestones are only awarded to level 50 characters.
※The standard reward for this duty roulette category and all related bonuses are available once per day. The "adventurer in need" reward is always available.","Duty Type: Light Party Dungeons & Trials",0,true,false,false,0,1,0,0,0,0,112034,0,100,5,0,0,3
2,"Duty Roulette: High Level","A high-level dungeon will be selected at random from among those you have unlocked. Successful completion will earn you far greater rewards.

※Bonus gil will be awarded to compensate for the discrepancy between character and duty levels. A further percentage will then be added based on character level.
※The standard reward for this duty roulette category and all related bonuses are available once per day. The "adventurer in need" reward is always available.
※Joining this duty as a party will nullify any "adventurer in need" bonus.","Duty Type: High-level Light Party Dungeons",0,true,true,false,90,4,1,1,1,1,112035,100,120,0,0,0,2
3,"Duty Roulette: Main Scenario","A main scenario duty for full parties (8 players) will be selected at random from among those you have unlocked. Successful completion will earn you far greater rewards.

※Bonus gil will be awarded to compensate for the discrepancy between character and duty levels. A further percentage will then be added based on character level.
※The standard reward for this duty roulette category and all related bonuses are available once per day. The "adventurer in need" reward is always available.","Duty Type: Full Party Dungeons",0,true,false,false,42,1,0,0,0,0,112036,120,0,0,0,0,5
4,"Duty Roulette: Guildhests","A guildhest will be selected at random from among those you have unlocked. Successful completion will earn you far greater rewards.

※Bonus EXP and gil will be awarded to compensate for the discrepancy between character and duty levels. A further percentage will then be added based on character level.
※The amount of bonus company seals awarded is determined by class/job level.
※The standard reward for this duty roulette category and all related bonuses are available once per day. The "adventurer in need" reward is always available.","Duty Type: Guildhests",0,true,false,false,0,1,0,0,0,0,112037,0,0,0,0,0,6
5,"Duty Roulette: Expert","An expert dungeon will be selected at random from among those you have unlocked. Successful completion will earn you far greater rewards.

※Bonus gil will be awarded to compensate for the discrepancy between character and duty levels. A further percentage will then be added based on character level.
※The standard reward for this duty roulette category and all related bonuses are available once per day. The "adventurer in need" reward is always available.
※Joining this duty as a party will nullify any "adventurer in need" bonus.","Duty Type: Light Party Expert Dungeons",0,true,true,false,145,4,1,1,1,1,112057,0,60,35,0,0,1
6,"Duty Roulette: Trials","A trial will be selected at random from among those you have completed. Successful completion will earn you far greater rewards.

※The standard reward for this duty roulette category and all related bonuses are available once per day. The "adventurer in need" reward is always available.","Duty Type: Trials",0,true,false,false,90,1,0,0,0,0,112056,0,60,10,0,0,4
7,"Duty Roulette: Frontline","A Frontline battle will be selected at random from among those available. Successful completion will earn you far greater rewards.

※The standard reward for this duty roulette category and all related bonuses are available once per day. The "adventurer in need" reward is always available.","Duty Type: Frontline",0,true,false,true,0,1,0,0,0,0,112083,0,50,20,400,600,7
8,"","","",0,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0
